name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,"8,000,000","3,000,000",,"2,000,000","8,143,984","4,345,446","5,009,772","5,081,795","17,385,804","25,100,000"
			Amortization,,,,,,,,,,,,,,,,,,"8,000,000","3,000,000",,"2,000,000","8,143,984","4,345,446","5,009,772","5,081,795",,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,"8,000,000","3,000,000",,"2,000,000","8,143,984","4,345,446","5,009,772","5,081,795",,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,"7,000,000",,"0",,,,,,,,,,,,
	OtherTaxes,,"39,000,000","37,000,000","35,000,000","35,000,000","27,000,000","27,000,000","25,000,000","22,000,000","17,000,000","21,000,000",,"15,000,000",,"12,000,000",,,,,,,,,,,,
	OtherOperatingExpenses,,"121,000,000","116,000,000","110,000,000","125,000,000","151,000,000","134,000,000","127,000,000","145,000,000","131,000,000","97,000,000",,"73,000,000",,"67,000,000",,,,,,,,,,,,
OperatingIncome,"3,882,000,000","3,849,000,000","3,860,000,000","3,755,000,000","3,325,000,000","2,724,000,000","2,696,000,000","2,659,000,000","2,520,000,000","2,368,000,000","2,329,000,000","1,979,000,000","1,909,000,000","2,013,000,000","1,779,000,000","1,460,000,000","1,374,000,000","1,151,000,000","852,000,000","599,000,000","456,000,000","293,116,053","218,644,196","178,547,907","137,514,586","60,499,053","22,855,226"
NetNonOperatingInterestIncomeExpense,,"431,000,000","191,000,000","194,000,000","190,000,000","240,000,000","300,000,000","407,000,000","380,000,000","402,000,000","447,000,000","356,000,000","329,000,000","374,000,000","250,000,000","164,000,000","186,000,000",,,,,,,,,,
	InterestIncomeNonOperating,,"487,000,000","226,000,000","221,000,000","216,000,000","264,000,000","300,000,000","407,000,000","380,000,000","402,000,000","447,000,000","356,000,000","329,000,000","374,000,000","250,000,000","164,000,000","186,000,000",,,,,,,,,,
	InterestExpenseNonOperating,,"56,000,000","35,000,000","27,000,000","26,000,000","24,000,000","0","0",,,,,,,,,,,,,,,,,,,
