Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth
PNC,13.1436,0,1.1483999999999999,9.200805725793863,3.1164666666666663,0.10869353291718421,0.012464056393328173,0.10286108813008517,-46.16227045075125,0.2266961368441284,0.47313143954157744,0.20532555543326145,0.5188269853095495,0.12117367820924929,0,0.22173083775230024
PRU,22.63453333333333,0,0.9334000000000001,4.4035039316596585,0.6439333333333335,0.07322558884349624,0.004244653343869363,0.1397254753354867,-31.024373956594324,0.10633949498495968,-0.035388881552884555,-0.342279467392949,-0.011735997344613428,0.030378521409054244,0,-0.27633690697823715
PYPL,46.541666666666664,27.20866666666667,6.5344444444444445,76106.50682500371,6.609444444444445,0.1410244784987327,0.04699557815640923,0.09822497308286868,-3.2328631526849794,0.9500667766517401,1.1309838472834068,0.36345971993730325,0.7734715285362158,0.4784483688965824,-0.6114473329576361,0.8985206332727744
RF,13.513933333333334,0,0.9314666666666667,5.644889695221866,2.421666666666667,0.0654655039753783,0.00816775496735098,0.12969711404866818,-8.151696606786428,0.21350757592915537,1.1309838472834068,0.04768450243652215,0.14142075737727872,0.06297561073167805,0,-0.16599368621980765
SCHW,27.921799999999998,0,3.6592666666666664,14.341161629675199,6.2612000000000005,0.13488875836476663,0.010541123381819494,0.44489983314856496,-5.882440035534498,0.9453813627662035,1.1309838472834068,1.0858697829489474,0.962742315831478,0.023693250921718163,0,1.1561913767596506
SEIC,20.501733333333334,10.918066666666668,4.867999999999999,17.440188046880625,5.125133333333333,0.2697339131422471,0.20940844448558885,0.060843943516869906,-5.438009241790829,0.40127912716726494,0.281500457793997,0.5874691614944819,0.4568432664360437,3.4417303084164352,0.02756287743251228,0.15484145789515727
TROW,18.41006666666667,10.662399999999998,4.214933333333334,17.868572024453936,5.4779333333333335,0.2700172092249392,0.21961793808561048,0.24352134914502638,-8.694854264123785,0.4854259436271654,0.1573464949655395,0.7702965797596669,0.8600372043796948,0.9018426468835778,-0.2696766206482592,0.23808268083897935
UBS,28.472799999999996,0,1.0977999999999999,2.535242628653111,2.058066666666667,0.10861918420541387,0.0047035857675818615,0.03627892609698003,-3.6763746022503296,0.4873623587369142,0.1573464949655395,0.6779962652776351,0.4491139328632455,0.12965063395229337,0,2.205572089964644
V,32.61973333333334,18.95606666666667,7.827066666666667,32.60768625107271,13.804133333333334,0.26156967889817,0.14565235050993153,0.0513481344942224,-13.314243924392438,1.0310215793861606,1.1041404140414042,0.28421943763524765,0.6708289126137591,2.8365655723348637,0.18848495292623985,1.2487539680185122
WFC,16.6956,0,1.3172000000000001,10.594177443142305,2.5544,0.10763227296868173,0.010855942790412626,0.0936283742557973,-107.63397422049398,-0.0016757775864947935,1.1041404140414042,0.10339852408900134,0.15791317083279965,0.1159471461157027,0,0.07085244059379021
