Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
NCLH,32.52385714,6.138181818,5.008636364,9.075166383,5.789181818,-0.125925771,-0.03542774463,-0.06991172787,0.3693508281,1.411679854,1.761921049,-0.9067355267,0.7003395261,0.5067496643,0.6688981043,2.940992075,,NCLH,0.7494092766
NKE,31.804,19.73073333,9.2792,36.69234403,3.054266667,0.3219341573,0.1519199283,0.9962178097,-4.303459875,0.4826083191,0.4780364316,0.2968315251,0.6162326131,0.1524966998,-0.07849345015,0.7624312014,,NKE,1.462896065
ORLY,23.22486667,13.8006,26.32573333,62.38011715,2.7868,0.8296488688,0.153758832,0.5420449805,-2.433182338,0.7899704365,0.7754055725,-2.235209505,0.8259446012,0.2836643406,0.411895135,0.7941974364,,ORLY,0.9810228787
PLNT,207.238375,24.71844444,130.221,31.06615862,7.771222222,-0.2264180944,0.04011298188,0.05132363546,-0.8983641711,1.074946046,1.131996738,-0.5251831643,1.160078824,0.7815693788,-0.207959868,1.276001595,,PLNT,0.5389315175
PTON,147.643,-115.0695,10.471,-4.168317662,4.9178,-1.360542148,-0.2540387775,-0.4814993723,5.377835052,0.309348332,0.6734863721,-2.083321742,-0.1486620738,0.5275993948,-1,-0.780989853,,PTON,-2.103395172
PZZA,30.6526,17.4578,9.643066667,25.62916888,1.2708,-2.515940211,0.1155089912,0.2337265698,-1.361320879,0.3040669518,0.03758175591,16.62529754,0.5422782769,0.4942056496,-0.2827274914,0.1050727944,,PZZA,3.802952074
SBUX,46.97466667,19.7684,9.627066667,31.14224223,3.430333333,1.878459327,0.1537089572,0.4552704752,-1.778428149,0.7554956849,0.6093683588,-7.408177878,0.9312712177,0.3376211847,-0.1183403816,0.6925646843,,SBUX,0.0549991592
SFIX,65.4875,-23.74266667,6.63,7.066952953,1.714666667,-0.1425186114,-0.07645181429,-0.008273723646,1.617971926,-0.05045547258,-0.05434088832,-0.1724258925,0.1030311299,9.24031519,-0.9177430224,-0.4205564105,,SFIX,-0.02757199714
SONY,24.1918,4.953,1.613666667,0.1148822797,0.7694666667,0.09723452695,0.01805435768,0.3909899758,-0.902952823,0.5343628194,0.5677954905,1.157230873,0.800643378,0.04617601166,0.4686048859,0.4077678511,,SONY,12.56231078
SWBI,17.30253333,6.567533333,2.9282,10.58200122,1.116866667,0.2307042706,0.1217903985,0.5301228041,-1.67154865,-0.1557967112,-0.317302869,0.5214445112,0.1659521854,0.2297399727,0.3345954341,-0.6432941373,,SWBI,1.245466234
