name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
	CashFlowFromContinuingFinancingActivities,"-2,490,000,000","-2,940,000,000","-9,948,000,000","-1,126,000,000","10,729,000,000","4,568,000,000","-2,801,000,000","-906,000,000","-3,497,000,000","-1,218,000,000","2,256,000,000","-8,907,000,000","35,000,000","9,382,000,000","13,381,000,000","-4,103,000,000","6,189,000,000","3,942,000,000","239,000,000","5,932,000,000","8,273,000,000","12,068,000,000","6,883,000,000","2,751,000,000","-1,400,000,000"
		NetIssuancePaymentsOfDebt,"398,000,000","791,000,000","928,000,000","-553,000,000","1,025,000,000","476,000,000","-1,847,000,000","2,584,000,000","-1,279,000,000","2,455,000,000","-1,937,000,000","-299,000,000","-340,000,000","-316,000,000","3,423,000,000","-5,224,000,000","-11,218,000,000","3,524,000,000","-845,000,000","2,688,000,000","-2,178,000,000","2,481,000,000","806,000,000","-730,000,000","-3,095,000,000"
			NetLongTermDebtIssuance,"398,000,000","791,000,000","928,000,000","-553,000,000","1,025,000,000","476,000,000","-1,847,000,000","2,584,000,000","-1,279,000,000","2,455,000,000","-1,862,000,000","-374,000,000","246,000,000","-696,000,000","4,029,000,000","3,386,000,000","-133,000,000","6,016,000,000","-500,000,000","1,727,000,000","1,706,000,000","171,000,000","797,000,000","1,228,000,000","88,000,000"
				LongTermDebtIssuance,"2,756,000,000","2,671,000,000","1,013,000,000","29,000,000","1,124,000,000","1,382,000,000","24,000,000","3,657,000,000","0","3,893,000,000","1,000,000,000","1,372,000,000","1,948,000,000","1,346,000,000","5,090,000,000","3,566,000,000","1,089,000,000","6,302,000,000","0","2,733,000,000","3,417,000,000","934,000,000","1,008,000,000","1,797,000,000","207,000,000"
				LongTermDebtPayments,"-2,358,000,000","-1,880,000,000","-85,000,000","-582,000,000","-99,000,000","-906,000,000","-1,871,000,000","-1,073,000,000","-1,279,000,000","-1,438,000,000","-2,862,000,000","-1,746,000,000","-1,702,000,000","-2,042,000,000","-1,061,000,000","-955,000,000","-1,222,000,000","-286,000,000","-500,000,000","-1,006,000,000","-119,000,000","-763,000,000","-211,000,000","-372,000,000","-124,000,000"
			NetShortTermDebtIssuance,,,,,,,,,"38,000,000","0","-75,000,000","75,000,000","-586,000,000","380,000,000","-606,000,000","-8,610,000,000","-11,085,000,000","-2,492,000,000","-345,000,000","961,000,000","-2,178,000,000","2,481,000,000","806,000,000","-730,000,000","-3,095,000,000"
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,"1,992,000,000",,,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,,,"-8,610,000,000","-13,077,000,000",,,,,,,,
		NetCommonStockIssuance,"-3,678,000,000","-3,103,000,000","-3,326,000,000","-4,303,000,000","-1,151,000,000","-2,285,000,000","-3,992,000,000","-2,927,000,000","-372,000,000","-1,930,000,000","0","1,000,000,000","1,000,000,000","2,950,000,000","3,529,000,000","1,035,000,000","2,011,000,000","-1,705,000,000","-500,000,000","0","-954,000,000","221,000,000","-471,000,000","-1,321,000,000","3,396,000,000"
			CommonStockIssuance,,,,,,,,,"0","0","1,000,000,000","1,000,000,000","1,000,000,000","2,950,000,000","3,529,000,000","1,035,000,000","3,261,000,000","0","83,000,000","72,000,000","46,000,000","318,000,000","0","0","4,009,000,000"
