name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2003
				OtherCurrentBorrowings,,"2,250,000,000","999,000,000","2,999,000,000",,,"1,749,000,000",,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,"0","1,300,000,000","0",,"81,000,000","82,000,000","60,000,000","59,000,000","63,000,000","42,000,000","39,000,000","37,000,000","9,000,000","184,850,000",
			CurrentDeferredRevenue,,,,,,,,,"81,000,000","82,000,000","60,000,000","59,000,000","63,000,000","42,000,000","39,000,000","37,000,000","9,000,000","184,850,000",
		OtherCurrentLiabilities,"11,182,000,000","8,441,000,000","7,503,000,000","6,026,000,000","5,645,000,000","4,159,000,000","3,195,000,000","3,460,000,000","2,589,000,000","2,256,000,000","2,065,000,000","1,904,000,000","1,684,000,000","1,702,000,000","1,096,000,000","2,314,000,000","256,000,000","215,590,000","814,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"28,668,000,000","29,067,000,000","29,568,000,000","30,199,000,000","24,475,000,000","23,914,000,000","25,223,000,000","23,077,000,000","4,170,000,000","5,150,000,000","4,751,000,000","4,429,000,000","4,872,000,000","4,896,000,000","4,646,000,000","5,539,000,000","1,571,000,000","988,141,000","1,357,000,000"
		LongTermDebtAndCapitalLeaseObligation,"20,463,000,000","20,200,000,000","19,978,000,000","21,071,000,000","16,729,000,000","16,630,000,000","16,618,000,000","15,882,000,000",,,,,,"32,000,000","44,000,000","55,000,000",,"41,280,000",
			LongTermDebt,"20,463,000,000","20,200,000,000","19,978,000,000","21,071,000,000","16,729,000,000","16,630,000,000","16,618,000,000","15,882,000,000",,,,,,"32,000,000","44,000,000","55,000,000",,"41,280,000",
		NonCurrentDeferredLiabilities,"5,114,000,000","5,332,000,000","6,128,000,000","5,237,000,000","4,807,000,000","4,618,000,000","7,284,000,000","6,033,000,000","3,273,000,000","4,145,000,000","4,149,000,000","4,058,000,000","4,205,000,000","4,181,000,000","3,807,000,000","3,811,000,000","0","3,320,000",
			NonCurrentDeferredTaxesLiabilities,"5,114,000,000","5,332,000,000","6,128,000,000","5,237,000,000","4,807,000,000","4,618,000,000","5,980,000,000","4,808,000,000","3,273,000,000","4,145,000,000","4,149,000,000","4,058,000,000","4,205,000,000","4,181,000,000","3,807,000,000","3,811,000,000","0",,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,,,,,"0","3,320,000",
		TradeandOtherPayablesNonCurrent,,,,,,,"1,092,000,000","911,000,000","752,000,000","855,000,000","453,000,000","171,000,000","468,000,000","423,000,000","304,000,000",,,,
		NonCurrentAccruedExpenses,,,,,,,,,,,,,"0","66,000,000","323,000,000","1,060,000,000","1,446,000,000","783,618,000",
		EmployeeBenefits,,,,,,,"62,000,000","137,000,000","77,000,000","92,000,000","86,000,000","93,000,000","106,000,000","76,000,000","119,000,000","99,000,000","80,000,000",,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,,,,"106,000,000","76,000,000","119,000,000","99,000,000","80,000,000",,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,"38,610,000","37,840,000",
		OtherNonCurrentLiabilities,"3,091,000,000","3,535,000,000","3,462,000,000","3,891,000,000","2,939,000,000","2,666,000,000","1,321,000,000","114,000,000","68,000,000","58,000,000","63,000,000","107,000,000","93,000,000","118,000,000","49,000,000","514,000,000","45,000,000","122,083,000","1,357,000,000"
TotalEquityGrossMinorityInterest,"38,733,000,000","35,581,000,000","37,589,000,000","36,210,000,000","34,684,000,000","34,006,000,000","32,760,000,000","32,912,000,000","29,842,000,000","27,413,000,000","26,870,000,000","27,630,000,000","26,437,000,000","25,014,000,000","23,193,000,000","22,277,000,000","-463,000,000","582,814,000","-440,000,000"
	StockholdersEquity,"38,733,000,000","35,581,000,000","37,589,000,000","36,210,000,000","34,684,000,000","34,006,000,000","32,760,000,000","32,912,000,000","29,842,000,000","27,413,000,000","26,870,000,000","27,630,000,000","26,437,000,000","25,011,000,000","23,189,000,000","22,277,000,000","-501,000,000","582,814,000","-440,000,000"
		CapitalStock,"22,150,000,000","21,869,000,000","21,935,000,000","5,086,000,000","5,462,000,000","5,470,000,000","5,526,000,000","5,717,000,000","0","0","0","0","0","0","0","1,136,000,000","0",,
			PreferredStock,,"2,324,000,000","3,080,000,000","5,086,000,000","5,462,000,000","5,470,000,000","5,526,000,000","5,717,000,000","0","0","0","0","0","0",,"0","0",,
			CommonStock,"22,150,000,000","21,869,000,000","21,935,000,000","0","0","0","0","0","0","0","0","0","0","0","0","1,136,000,000","0",,
		AdditionalPaidInCapital,,,"18,855,000,000","16,721,000,000","16,541,000,000","16,678,000,000","16,900,000,000","17,395,000,000","18,073,000,000","18,299,000,000","18,875,000,000","19,992,000,000","19,907,000,000","20,794,000,000","21,160,000,000","21,060,000,000","0",,
		RetainedEarnings,"18,040,000,000","16,116,000,000","15,351,000,000","14,088,000,000","13,502,000,000","11,318,000,000","9,508,000,000","10,462,000,000","11,843,000,000","9,131,000,000","7,974,000,000","7,809,000,000","6,706,000,000","4,368,000,000","2,219,000,000","186,000,000","-501,000,000","583,772,000",
		TreasuryStock,,,,,,,"0","170,000,000","0",,,,,"0","2,000,000","35,000,000","0",,
