name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
			GrossAccountsReceivable,,,,,,,,,,,,,"34,961,000","30,246,000","29,729,000","28,777,000","26,168,000","25,729,000","19,923,000","15,637,000","14,941,000","13,421,000","12,409,000","6,637,000","5,611,000","4,348,000","4,200,000","3,500,000","2,600,000","2,000,000","1,600,000","1,800,000",
	NetPPE,"421,791,000","398,100,000","372,597,000","325,335,000","310,309,000","241,528,000","177,348,000","176,198,000","194,030,000","179,175,000","167,671,000","158,989,000","158,872,000","152,492,000","140,921,000","133,949,000","123,749,000","112,243,000","79,952,000","55,732,000","53,251,000","47,215,000","51,159,000","25,016,000","24,670,000","17,382,000","13,600,000","11,300,000","7,500,000","6,800,000","6,100,000","5,700,000","3,200,000"
		GrossPPE,"622,950,000","582,951,000","546,244,000","484,890,000","458,682,000","378,765,000","305,224,000","295,946,000","304,726,000","278,584,000","260,615,000","249,227,000","240,789,000","228,751,000","209,717,000","195,496,000",,,,,,,,,,,,,,,,,
			LandAndImprovements,"76,557,000","74,285,000","75,110,000","56,842,000","52,738,000","47,511,000","31,370,000","29,648,000","30,108,000","27,605,000","27,260,000","25,027,000","25,022,000","24,933,000","23,315,000","20,633,000",,,,,,,,,,,,,,,,,
			BuildingsAndImprovements,"344,906,000","306,857,000","292,371,000","259,389,000","251,151,000","231,854,000","182,592,000","173,886,000","187,787,000","172,544,000","159,391,000","153,340,000","145,999,000","134,486,000","119,420,000","113,742,000",,,,,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"120,096,000","115,370,000","113,650,000","102,749,000","96,576,000","90,030,000","83,177,000","84,559,000","78,803,000","70,622,000","66,375,000","63,467,000","62,002,000","60,496,000","58,013,000","53,593,000",,,,,,,,,,,,,,,,,
			Leases,"16,328,000","15,394,000","14,935,000","13,364,000","11,144,000","9,370,000","8,085,000","7,853,000","8,028,000","7,813,000","7,589,000","7,393,000","7,766,000","8,836,000","8,969,000","7,528,000",,,,,,,,,,,,,,,,,
			OtherProperties,"65,063,000","71,045,000","50,178,000","52,546,000","47,073,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AccumulatedDepreciation,"-201,159,000","-184,851,000","-173,647,000","-159,555,000","-148,373,000","-137,237,000","-127,876,000","-119,748,000","-110,696,000","-99,409,000","-92,944,000","-90,238,000","-81,917,000","-76,259,000","-68,796,000","-61,547,000",,,,,,,,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"1,017,263,000","1,026,994,000","1,037,652,000","569,522,000","519,704,000","338,828,000","191,995,000","159,400,000","155,193,000","140,606,000","139,218,000","112,274,000","114,384,000","157,016,000","160,196,000","159,765,000","154,264,000","144,466,000","87,114,000","42,315,000","42,816,000","40,011,000","41,771,000","6,493,000","7,035,000","2,601,000","1,400,000","1,500,000",,,,,
		Goodwill,"985,393,000","985,393,000","985,393,000","514,013,000","456,418,000","289,586,000","177,811,000","147,053,000","140,638,000","129,706,000","129,706,000","106,100,000","106,100,000","146,259,000","146,259,000","146,752,000",,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"31,870,000","41,601,000","52,259,000","55,509,000","63,286,000","49,242,000","14,184,000","12,347,000","14,555,000","10,900,000","9,512,000","6,174,000","8,284,000","10,757,000","13,937,000","13,013,000",,,,,,,,,,,,,,,,,
	DeferredAssets,"159,070,000","193,187,000","27,693,000","0","2,037,000","23,564,000","38,344,000","67,121,000","58,475,000","41,737,000","43,549,000","20,394,000","31,081,000","40,284,000","41,082,000","14,292,000",,,,,,,,,,,,,,,,,
		DeferredTaxAssets,"159,070,000","193,187,000","27,693,000","0","2,037,000","23,564,000","38,344,000","67,121,000","58,475,000","41,737,000","43,549,000","20,394,000","31,081,000","40,284,000","41,082,000","14,292,000",,,,,,,,,,,,,,,,,
