name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalCapitalization,"35,158,000,000","29,283,000,000","21,388,774,000","20,569,476,000","22,601,156,000","23,495,951,000","23,970,478,000","24,895,763,000","24,927,866,000","19,942,855,000","15,014,402,000","13,410,351,000","14,557,435,000","14,572,845,000","16,367,922,000","17,234,879,000","15,178,200,000","12,146,835,000","11,698,379,000","12,078,173,000","11,252,635,000","7,705,853,000","6,401,220,000","6,115,001,000","3,572,100,000","3,169,900,000","1,458,100,000","1,083,700,000","1,039,100,000","817,200,000","798,900,000","701,800,000","544,400,000","439,400,000","418,300,000"
PreferredStockEquity,"2,011,000,000","2,011,000,000","1,750,000,000","1,250,000,000","1,250,000,000","1,231,500,000","1,231,500,000","1,231,500,000","1,231,500,000","1,231,500,000","881,500,000","872,500,000","864,585,000","740,657,000","730,235,000","567,463,000",,,,,,,,,,,,,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,
CommonStockEquity,"24,946,000,000","23,307,000,000","16,153,405,000","14,937,283,000","14,466,649,000","14,228,691,000","15,019,319,000","15,255,122,000","14,941,789,000","11,104,396,000","10,424,032,000","9,330,093,000","8,406,624,000","7,617,038,000","7,022,672,000","6,217,268,000","6,485,256,000","6,281,095,000","5,876,386,000","5,729,614,000","5,717,210,000","3,208,479,000","2,939,451,000","2,700,485,000","1,797,000,000","1,602,400,000","1,030,300,000","905,700,000","806,300,000","681,000,000","683,900,000","586,800,000","495,800,000","437,200,000","406,300,000"
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000","700,000","900,000","1,000,000","1,100,000"
NetTangibleAssets,"18,345,000,000","16,619,000,000","13,306,295,000","11,580,006,000","11,094,503,000","10,820,012,000","11,586,118,000","11,795,855,000","11,439,909,000","8,776,244,000","7,712,056,000","6,562,205,000","5,570,190,000","4,707,153,000","4,045,864,000","3,409,107,000","3,040,267,000","3,122,013,000","2,864,045,000","2,660,026,000","2,572,299,000","1,992,136,000","1,671,625,000","1,501,078,000","1,149,000,000","1,056,400,000","1,030,300,000","905,700,000","846,300,000","721,000,000","723,900,000","626,800,000","535,800,000","437,200,000","406,300,000"
InvestedCapital,"38,147,000,000","30,472,000,000","19,638,774,000","19,319,476,000","21,351,156,000","26,464,451,000","22,738,978,000","23,664,263,000","25,678,002,000","18,711,355,000","14,132,902,000","12,537,851,000","13,742,873,000","13,913,065,000","15,868,577,000","18,706,622,000","16,648,784,000","12,709,365,000","12,639,273,000","12,857,261,000","11,862,699,000","9,067,433,000","7,313,492,000","6,746,938,000","4,337,400,000","3,653,800,000","1,624,600,000","1,218,500,000","1,058,900,000","1,446,400,000","1,479,200,000","1,025,300,000","1,033,900,000","865,500,000","484,500,000"
TangibleBookValue,"16,334,000,000","14,608,000,000","11,556,295,000","10,330,006,000","9,844,503,000","9,588,512,000","10,354,618,000","10,564,355,000","10,208,409,000","7,544,744,000","6,830,556,000","5,689,705,000","4,705,605,000","3,966,496,000","3,315,629,000","2,841,644,000","3,040,267,000","3,122,013,000","2,864,045,000","2,660,026,000","2,572,299,000","1,992,136,000","1,671,625,000","1,501,078,000","1,149,000,000","1,056,400,000","1,030,300,000","905,700,000","806,300,000","681,000,000","683,900,000","586,800,000","495,800,000","437,200,000","406,300,000"
TotalDebt,"13,201,000,000","7,165,000,000","3,485,369,000","4,382,193,000","6,884,507,000","12,235,760,000","7,719,659,000","8,409,141,000","10,736,213,000","7,606,959,000","3,708,870,000","3,207,758,000","5,336,249,000","6,296,027,000","8,845,905,000","12,489,354,000","10,163,528,000","6,428,270,000","6,762,887,000","7,127,647,000","6,145,489,000","5,858,954,000","4,374,041,000","4,046,453,000","2,540,400,000","2,051,400,000","594,300,000","312,800,000","252,600,000","765,400,000","795,900,000","439,200,000","539,000,000","429,300,000","79,300,000"
NetDebt,,,,,,"2,525,124,000","1,219,868,000","2,087,954,000","1,773,823,000",,"484,371,000","1,094,198,000","3,731,742,000","5,286,050,000","7,486,347,000","10,932,266,000","8,425,588,000","4,816,125,000","5,275,240,000","5,782,777,000","4,254,801,000","4,887,326,000","3,404,036,000","3,293,092,000","1,946,500,000","1,327,800,000","206,700,000",,,"384,400,000","215,100,000",,"201,600,000",,
ShareIssued,"179,436,779","179,450,810","159,741,898","159,741,898","159,741,898","159,765,044","159,817,518","159,945,678","159,563,512","132,312,931","130,516,364","128,176,912","125,683,398","120,396,611","120,396,611","121,091,541","109,852,352","110,216,809","112,059,704","115,227,715","120,106,490","92,155,281","93,683,974","93,244,101","77,240,000","76,980,000","66,100,000","66,860,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000"
OrdinarySharesNumber,"166,136,481","169,285,391","128,689,053","128,315,156","130,567,496","138,509,769","150,084,403","156,180,936","159,563,512","132,312,931","130,516,364","128,176,912","124,989,424","119,702,637","118,222,695","111,060,239","109,852,352","110,216,809","112,059,704","115,227,715","120,106,490","92,155,281","93,683,974","93,244,101","77,240,000","76,980,000","66,100,000","66,860,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000","67,210,000"
PreferredSharesNumber,"10,000,000","10,000,000",,,,"381,500","381,500","381,500","781,500","781,500","431,500","431,500","431,500","778,000","778,000",,,,,,,,,,,,,,,,,,,,
TreasurySharesNumber,"13,300,298","10,165,419","31,052,845","31,426,742","29,174,402","21,255,275","9,733,115","3,764,742",,,,,"693,974","693,974","2,173,916","10,031,302",,,,,,,,,,,,,,,,,,,
