name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2003
OperatingIncome,"23,377,000,000","21,927,000,000","19,681,000,000","15,807,000,000","14,092,000,000","15,401,000,000","13,561,000,000","12,163,000,000","9,762,000,000","9,078,000,000","8,150,000,000","7,242,000,000","6,239,000,000","5,463,000,000","4,544,000,000","3,540,000,000","2,702,000,000","1,203,335,000","752,548,000","585,256,000","-1,418,000,000"
NetNonOperatingInterestIncomeExpense,"-648,000,000","-644,000,000","-538,000,000","-513,000,000","-516,000,000","-533,000,000","-612,000,000","-563,000,000","-427,000,000","-3,000,000","-8,000,000",,"29,000,000","-32,000,000","-72,000,000","-115,000,000","-143,000,000","-80,658,000","-89,539,000","-108,485,000",
	InterestExpenseNonOperating,"648,000,000","644,000,000","538,000,000","513,000,000","516,000,000","533,000,000","612,000,000","563,000,000","427,000,000","3,000,000","8,000,000",,,"32,000,000","72,000,000","115,000,000","143,000,000","80,658,000","89,539,000","108,485,000",
	TotalOtherFinanceCost,,,,,,"533,000,000","612,000,000","563,000,000",,,,,"-29,000,000",,"72,000,000",,,,,,
OtherIncomeExpense,"451,000,000","-246,000,000","-1,007,000,000","769,000,000","214,000,000","16,000,000","-143,000,000","94,000,000","-1,323,000,000","-80,000,000","-418,000,000","15,000,000","-4,032,000,000","193,000,000","166,000,000","575,000,000","-1,223,000,000","-2,510,095,000","58,807,000","-20,526,000","-38,000,000"
	GainOnSaleOfSecurity,"1,032,000,000","681,000,000","-139,000,000","772,000,000","225,000,000","416,000,000","464,000,000","113,000,000",,,,,"42,000,000","108,000,000","52,000,000","575,000,000","211,000,000","102,459,000","68,330,000","81,009,000",
	EarningsFromEquityInterest,,,,,,,,,,,,,,,"-7,000,000","0","1,000,000","40,276,000","13,355,000","30,799,000",
	SpecialIncomeCharges,"-581,000,000","-927,000,000","-868,000,000","-3,000,000","-11,000,000","-400,000,000","-607,000,000","-19,000,000","-1,879,000,000","-14,000,000","-453,000,000","-3,000,000","-4,100,000,000","-7,000,000","42,000,000","0","-1,435,000,000","-2,652,830,000","-22,878,000","-132,334,000","-38,000,000"
		WriteOff,,,,,,,,,,,,,"6,000,000",,"3,000,000",,,,,,
		OtherSpecialCharges,"581,000,000","927,000,000","868,000,000","3,000,000","11,000,000","400,000,000","607,000,000","19,000,000","1,879,000,000","14,000,000","453,000,000","3,000,000","4,100,000,000","7,000,000","-45,000,000",,"1,435,000,000","2,652,830,000","22,878,000","132,334,000",
