name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
		CashDividendsPaid,"-1,002,000,000","-955,000,000","-853,000,000","-747,000,000","-669,000,000","-621,000,000","-555,000,000","-476,000,000","-409,000,000","-331,000,000","-299,000,000","-75,000,000","0","0",,,"-3,447,000",,,,,
			CommonStockDividendPaid,"-1,002,000,000","-955,000,000","-853,000,000","-747,000,000","-669,000,000","-621,000,000","-555,000,000","-476,000,000","-409,000,000","-331,000,000","-299,000,000","-75,000,000","0","0",,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,"19,000,000","13,000,000","13,000,000","7,000,000","9,000,000","12,768,000","12,704,000","-40,798,000",,,,,
		NetOtherFinancingCharges,"-6,986,000,000","-65,380,000,000","-4,457,000,000","65,732,000,000","19,294,000,000","1,352,000,000","40,000,000","-183,000,000",,"-118,000,000","-132,000,000","-111,000,000","-8,000,000","-23,000,000","-10,046,000","-3,871,000","44,080,000","58,437,000","40,996,000","-194,000",,
	CashFromDiscontinuedFinancingActivities,,,,,,,,,"0","0","339,000,000","0","0",,,,,,,,,
EndCashPosition,"82,640,000,000","80,750,000,000","150,343,000,000","147,976,000,000","83,619,000,000","65,091,000,000","1,872,000,000","1,568,000,000","1,350,000,000","1,547,000,000","652,000,000","961,000,000","1,612,000,000","823,000,000","621,792,000","552,465,000","283,522,000","119,597,000","204,257,000","20,002,000","61,199,000","44,913,000"
	ChangesInCash,"-12,772,000,000","-69,600,000,000","2,390,000,000","64,363,000,000","18,520,000,000","495,000,000","315,000,000","206,000,000","-173,000,000","283,000,000","-288,000,000","-669,000,000","787,000,000","203,000,000","70,196,000","269,206,000","164,247,000","-84,848,000","181,400,000","-36,979,000","15,060,000","7,638,000"
	EffectOfExchangeRateChanges,"-4,000,000","7,000,000","-23,000,000","-6,000,000","8,000,000","4,000,000","-11,000,000","12,000,000","-24,000,000","-14,000,000","-21,000,000","18,000,000","2,000,000","-2,000,000","-869,000","-263,000","-322,000","188,000","2,855,000","-4,218,000","1,226,000","3,648,000"
	BeginningCashPosition,"95,412,000,000","150,343,000,000","147,976,000,000","83,619,000,000","65,091,000,000","64,592,000,000","1,568,000,000","1,350,000,000","1,547,000,000","1,278,000,000","961,000,000","1,612,000,000","823,000,000","622,000,000","552,465,000","283,522,000","119,597,000","204,257,000","20,002,000","61,199,000","44,913,000","33,627,000"
IncomeTaxPaidSupplementalData,"889,000,000","909,000,000","882,000,000","1,057,000,000","642,000,000","557,000,000","533,000,000","594,000,000","460,000,000","542,000,000","338,000,000","198,000,000","232,000,000","194,000,000","244,243,000","-164,600,000","129,879,000",,,,,
InterestPaidSupplementalData,"836,000,000","727,000,000","550,000,000","406,000,000","298,000,000","280,000,000","202,000,000","171,000,000","170,000,000","123,000,000","140,000,000","32,000,000","29,000,000","17,000,000","13,946,000","-13,076,000","10,963,000",,,,,
CapitalExpenditure,"-596,000,000","-489,000,000","-482,000,000","-452,000,000","-410,000,000","-305,000,000","-280,000,000","-357,000,000","-365,000,000","-277,000,000","-250,000,000","-179,000,000","-68,000,000","-87,000,000","-47,768,000","-44,742,000","-48,812,000","-104,365,000","-19,815,000","-8,610,000","-1,703,000","-6,782,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,"5,210,000","9,931,000","22,108,000","56,005,000","14,000","546,000"
IssuanceOfDebt,"3,172,000,000","2,400,000,000","7,891,000,000","0","10,700,000,000","370,000,000","2,213,000,000","984,000,000","0","4,158,000,000","0","3,833,000,000","295,000,000","1,301,000,000","620,000,000","200,000,000","195,000,000",,,,,"0"
RepaymentOfDebt,"-3,882,000,000","-2,286,000,000","-2,705,000,000","-1,246,000,000","-2,004,000,000","0","-600,000,000","-850,000,000","-949,000,000","-1,028,000,000","-552,000,000","-2,464,000,000","-50,000,000","-992,000,000","-349,000,000","-271,875,000","-39,401,000",,,,,"-1,870,000"
RepurchaseOfCapitalStock,"-101,000,000","-78,000,000","-705,000,000","-320,000,000","-1,321,000,000","-1,525,000,000","-1,278,000,000","-1,037,000,000","-104,000,000","-705,000,000","-690,000,000","-77,000,000","-72,000,000","-190,000,000","-104,202,000","-12,070,000","-300,000,000","-25,484,000",,,"-43,500,000","0"
FreeCashFlow,"3,346,000,000","3,053,000,000","3,072,000,000","2,671,000,000","2,471,000,000","2,354,000,000","2,253,000,000","1,728,000,000","1,784,000,000","1,034,000,000","1,264,000,000","556,000,000","665,000,000","626,000,000","485,990,000","441,851,000","326,300,000","183,416,000","126,109,000","41,202,000","38,458,000","20,311,000"
