name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
	CurrentLiabilities,,"2,375,000,000","2,496,000,000","2,222,000,000","1,912,000,000","2,099,000,000","2,063,300,000","2,428,200,000","1,218,500,000","1,199,700,000","1,141,300,000","1,164,900,000","1,134,000,000","933,800,000","1,236,000,000","1,393,100,000","1,349,200,000","700,000,000","578,900,000","850,500,000","443,000,000","462,000,000","359,300,000","253,100,000","375,500,000","1,352,700,000"
		PayablesAndAccruedExpenses,,"624,000,000","633,000,000","685,000,000","530,000,000","507,000,000","465,400,000","1,247,600,000","378,900,000","349,500,000","346,700,000","298,400,000","280,900,000","352,300,000","317,200,000","240,400,000","371,300,000","339,700,000","279,800,000","283,800,000","228,400,000","184,900,000","236,900,000","135,400,000","275,100,000",
			Payables,,"144,000,000","168,000,000","178,000,000","118,000,000","108,000,000","107,200,000","123,700,000","111,900,000","110,500,000","129,400,000","118,100,000","78,000,000","69,100,000","53,700,000","36,600,000","8,100,000","8,800,000","279,800,000","283,800,000","228,400,000","184,900,000","236,900,000","135,400,000","275,100,000",
				AccountsPayable,,"52,000,000","47,000,000","39,000,000","38,000,000","30,000,000","21,800,000","28,400,000","22,200,000","19,400,000","16,400,000","14,300,000","16,400,000","14,300,000","7,100,000","8,600,000","8,100,000","8,800,000","279,800,000","283,800,000","228,400,000","184,900,000","236,900,000","135,400,000","275,100,000",
				TotalTaxPayable,,"86,000,000","115,000,000","128,000,000","73,000,000","71,000,000","79,200,000","16,800,000","11,500,000","16,100,000","47,500,000","56,100,000","23,400,000","26,900,000","20,300,000","3,500,000",,,,,,,,,,
					IncomeTaxPayable,,"86,000,000","115,000,000","128,000,000","73,000,000","71,000,000","79,200,000","16,800,000","11,500,000","16,100,000","47,500,000","56,100,000","23,400,000","26,900,000","20,300,000","3,500,000",,,,,,,,,,
				DividendsPayable,,"6,000,000","6,000,000","11,000,000","7,000,000","7,000,000","6,200,000","78,500,000","78,200,000","75,000,000","65,500,000","47,700,000","38,200,000","27,900,000","26,300,000","24,500,000",,,,,,,,,,
				OtherPayable,,,,,"152,000,000","113,000,000","129,600,000","89,300,000","83,000,000","86,500,000","77,100,000","79,200,000","67,500,000",,,,,,,,,,,,,
			CurrentAccruedExpenses,,"480,000,000","465,000,000","507,000,000","412,000,000","399,000,000","358,200,000","1,123,900,000","267,000,000","239,000,000","217,300,000","180,300,000","202,900,000","283,200,000","263,500,000","203,800,000","363,200,000","330,900,000",,,,,,,,
				InterestPayable,,"144,000,000","85,000,000","82,000,000","63,000,000","71,000,000","73,900,000","59,200,000","59,400,000","45,000,000","36,300,000","23,400,000","44,800,000","17,600,000","9,600,000","10,200,000",,,,,,,,,,
