name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
		NetCommonStockIssuance,"-8,010,000","-160,139,000","-355,542,000","-195,421,000","-1,853,000","-1,675,000","-3,770,000","299,723,000","-3,304,000","103,143,000","-2,349,000","-1,370,000","-341,000","0","0","-2,650,000","0","546,000","824,000","974,000","977,000","1,580,000","1,787,000","41,000",,,,"13,200,000",
			CommonStockIssuance,,,,,,"0","0","299,723,000","0","110,000,000","0",,,,,,,,,,,,,,,,,,
			CommonStockPayments,"-8,010,000","-160,139,000","-355,542,000","-195,421,000","-1,853,000","-1,675,000","-3,770,000","0","-3,304,000","-6,857,000","-2,349,000","-1,370,000","-341,000",,,"-2,650,000",,,,,,,,,,,,,
		NetPreferredStockIssuance,,"0","0","338,980,000","0","0",,,,,,,,"0","0","-75,000,000","75,000,000",,,,,,,,,,,,
			PreferredStockIssuance,,"0","0","338,980,000","0","0",,,,,,,,,,,"75,000,000",,,,,,,,,,,,
			PreferredStockPayments,,,,,,,,,,,,,,,,"-75,000,000",,,,,,,,,,,,,
		CashDividendsPaid,"-186,355,000","-179,171,000","-168,856,000","-146,511,000","-139,255,000","-121,124,000","-102,218,000","-88,732,000","-62,173,000","-47,079,000","-36,130,000","-25,744,000","-17,293,000","-12,661,000","-10,170,000","-12,132,000","-8,418,000","-7,216,000","-6,684,000","-6,151,000","-4,914,000","-3,663,000","-2,369,000","-1,739,000","-1,587,000","-1,500,000","-900,000","-600,000","-900,000"
			CommonStockDividendPaid,"-170,168,000","-162,984,000","-152,235,000","-146,511,000","-139,255,000","-121,124,000","-102,218,000","-88,732,000","-62,173,000","-47,079,000","-36,130,000","-25,744,000","-17,293,000","-12,661,000","-10,170,000","-8,778,000","-8,418,000",,,,,,,,,,,,
			PreferredStockDividendPaid,"-16,187,000","-16,187,000","-16,621,000","0","0",,,,,,,,,"0","0","-3,354,000","0",,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"1,042,000","1,171,000","2,493,000","7,226,000","1,036,000","1,385,000","5,742,000","6,849,000","6,162,000","5,145,000","4,727,000","4,274,000","3,979,000","4,032,000","2,825,000","258,000","408,000",,,,,,,,,,,,
		NetOtherFinancingCharges,,"-440,000","-1,707,000",,,,,,"3,576,000","7,049,000","4,682,000","3,173,000","1,538,000","870,000","535,000","-2,484,000","1,061,000","420,000","879,000","1,864,000","2,397,000",,,,,"17,300,000",,"-100,000",
OtherCashAdjustmentInsideChangeinCash,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,"-100,000","-100,000",,"100,000"
