name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
			CommonStockIssuance,,,,,,,,,,,,,"0","0","970,000,000","1,391,000,000","0","221,000,000","166,000,000","169,000,000","797,000,000","53,000,000","1,000,000","4,167,000,000"
			CommonStockPayments,"-1,001,000,000","-1,012,000,000","-1,488,000,000","-2,500,000,000","-500,000,000","-2,500,000,000","-1,500,000,000","-1,250,000,000","-2,119,000,000","-1,664,000,000","-1,000,000,000","-738,000,000","-650,000,000","-999,000,000","0","0","-2,161,000,000","-3,000,000,000","-2,512,000,000","-2,095,000,000","-1,493,000,000","-1,007,000,000","-782,000,000",
		CashDividendsPaid,"-1,868,000,000","-1,846,000,000","-1,817,000,000","-1,814,000,000","-1,766,000,000","-1,641,000,000","-1,521,000,000","-1,296,000,000","-1,300,000,000","-1,117,000,000","-1,027,000,000","-847,000,000","-768,000,000","-704,000,000","-575,000,000","-347,000,000","-317,000,000","-533,000,000","-440,000,000","-394,000,000","-341,000,000","-275,000,000","-192,000,000",
			CommonStockDividendPaid,"-1,868,000,000","-1,846,000,000","-1,817,000,000","-1,814,000,000","-1,766,000,000","-1,641,000,000","-1,521,000,000","-1,296,000,000","-1,300,000,000","-1,117,000,000","-1,027,000,000","-847,000,000","-768,000,000","-704,000,000","-575,000,000","-347,000,000","-317,000,000","-533,000,000","-440,000,000","-394,000,000","-341,000,000","-275,000,000","-192,000,000",
		ProceedsFromStockOptionExercised,"156,000,000","126,000,000","163,000,000","200,000,000","153,000,000","133,000,000","132,000,000","246,000,000","426,000,000","209,000,000","269,000,000","348,000,000","150,000,000","122,000,000","98,000,000","64,000,000","105,000,000","221,000,000",,,,,,
		NetOtherFinancingCharges,"14,292,000,000","10,859,000,000","8,171,000,000","2,204,000,000","6,267,000,000","642,000,000","1,222,000,000","791,000,000","5,352,000,000","994,000,000","2,133,000,000","-538,000,000","-2,711,000,000","1,923,000,000","476,000,000","-2,470,000,000","10,945,000,000","740,000,000","2,183,000,000","1,762,000,000","1,205,000,000","191,000,000","-2,038,000,000","-2,243,000,000"
OtherCashAdjustmentInsideChangeinCash,,"0","2,071,000,000","-2,071,000,000","0",,,,,,,,,,,,,,,,,,,
EndCashPosition,"17,319,000,000","19,463,000,000","17,299,000,000","12,934,000,000","13,855,000,000","16,474,000,000","15,495,000,000","14,536,000,000","14,181,000,000","17,612,000,000","14,918,000,000","11,439,000,000","18,100,000,000","14,251,000,000","12,915,000,000","13,164,000,000","15,028,000,000","11,060,000,000","8,589,000,000","7,799,000,000","8,072,000,000","7,949,000,000","9,898,000,000","18,536,000,000"
	ChangesInCash,"2,625,000,000","2,127,000,000","4,524,000,000","-612,000,000","-2,959,000,000","963,000,000","817,000,000","245,000,000","-3,617,000,000","2,625,000,000","3,937,000,000","-5,647,000,000","4,184,000,000","1,181,000,000","-367,000,000","-2,152,000,000","3,871,000,000","2,501,000,000","750,000,000","-93,000,000","192,000,000","-2,106,000,000","-8,271,000,000","10,860,000,000"
	EffectOfExchangeRateChanges,"-188,000,000","37,000,000","-159,000,000","-309,000,000","340,000,000","16,000,000","142,000,000","110,000,000","50,000,000","69,000,000","-458,000,000","-1,014,000,000","-335,000,000","155,000,000","118,000,000","288,000,000","97,000,000","-30,000,000","40,000,000","-180,000,000","-69,000,000","157,000,000","-367,000,000",
	BeginningCashPosition,"14,694,000,000","17,299,000,000","12,934,000,000","13,855,000,000","16,474,000,000","15,495,000,000","14,536,000,000","14,181,000,000","17,748,000,000","14,918,000,000","11,439,000,000","18,100,000,000","14,251,000,000","12,915,000,000","13,164,000,000","15,028,000,000","11,060,000,000","8,589,000,000","7,799,000,000","8,072,000,000","7,949,000,000","9,898,000,000","18,536,000,000","7,676,000,000"
IncomeTaxPaidSupplementalData,,"895,000,000","1,090,000,000","1,668,000,000","287,000,000","1,348,000,000","760,000,000","185,000,000","770,000,000","1,083,000,000",,"1,279,000,000","501,000,000","809,000,000","893,000,000","109,000,000","508,000,000","653,000,000",,,,,,
InterestPaidSupplementalData,,"1,555,000,000","1,452,000,000","1,452,000,000","1,531,000,000","1,521,000,000","1,443,000,000","1,248,000,000","1,257,000,000","1,324,000,000",,"1,387,000,000","1,349,000,000","1,285,000,000","1,197,000,000","1,181,000,000","1,468,000,000","1,602,000,000",,,,,,
IssuanceOfCapitalStock,,,,,,,,,,,,,"0","0","970,000,000","1,391,000,000","0","221,000,000","166,000,000","169,000,000","797,000,000","53,000,000","1,000,000","4,167,000,000"
IssuanceOfDebt,"2,854,000,000","2,076,000,000","2,843,000,000","268,000,000","3,013,000,000","3,964,000,000","2,934,000,000","1,225,000,000","2,742,000,000","5,166,000,000","7,955,000,000","4,660,000,000","6,064,000,000","2,266,000,000","4,561,000,000","5,314,000,000","11,781,000,000","10,781,000,000","7,918,000,000","4,381,000,000","4,212,000,000","2,897,000,000","1,346,000,000","3,214,000,000"
RepaymentOfDebt,"-1,447,000,000","-2,318,000,000","-1,184,000,000","-1,708,000,000","-2,762,000,000","-2,067,000,000","-1,810,000,000","-1,827,000,000","-2,753,000,000","-4,957,000,000","-7,384,000,000","-3,939,000,000","-3,391,000,000","-1,739,000,000","-3,738,000,000","-9,807,000,000","-16,632,000,000","-6,670,000,000","-2,126,000,000","-1,496,000,000","-2,652,000,000","-3,248,000,000","-2,380,000,000","-720,000,000"
RepurchaseOfCapitalStock,"-1,001,000,000","-1,012,000,000","-1,488,000,000","-2,500,000,000","-500,000,000","-2,500,000,000","-1,500,000,000","-1,250,000,000","-2,119,000,000","-1,664,000,000","-1,000,000,000","-738,000,000","-650,000,000","-999,000,000","0","0","-2,161,000,000","-3,000,000,000","-2,512,000,000","-2,095,000,000","-1,493,000,000","-1,007,000,000","-782,000,000",
FreeCashFlow,"9,018,000,000","6,510,000,000","5,158,000,000","9,812,000,000","8,368,000,000","19,625,000,000","21,664,000,000","13,460,000,000","14,876,000,000","13,942,000,000","19,396,000,000","8,445,000,000","20,909,000,000","12,377,000,000","6,542,000,000","5,840,000,000","10,855,000,000","5,966,000,000","4,375,000,000","4,032,000,000","4,577,000,000","784,000,000","6,884,000,000","76,000,000"
