name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
			CommonStockDividendPaid,"-147,549,000","-146,690,000","-157,540,000","-145,557,000","-131,263,000","-124,468,000","-85,493,000","-111,720,000","-84,040,000","-79,456,000","-50,944,000","-44,232,000","-47,472,000","-37,395,000",,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,"0","140,000","265,000","993,000","2,896,000","24,000","0","-600,000","17,000","785,000","4,326,000","81,000","0","145,650,000","2,554,000","103,749,000",,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-1,476,000","-1,795,000","-1,704,000","-1,553,000","-1,082,000","-1,293,000","-1,214,000","-1,531,000","-600,000","-489,000","138,000","-223,000","-8,000",,"-4,000","75,000","1,325,000","1,745,000","1,217,000",,,,,"-8,000",,,,"300,000","100,000","300,000","18,000,000","-100,000","300,000",
OtherCashAdjustmentInsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,
EndCashPosition,"800,779,000","1,354,342,000","401,995,000","437,686,000","633,142,000","330,961,000","203,790,000","200,004,000","152,541,000","193,253,000","442,409,000","155,657,000","187,040,000","128,032,000","105,091,000","210,575,000","135,255,000","227,609,000","173,017,000","132,609,000","91,004,000","86,140,000","79,377,000","97,426,000","51,786,000","52,365,000","51,304,000","38,685,000","0","0","0","0","0","0"
	ChangesInCash,"-250,541,000","952,347,000","-35,691,000","-195,456,000","302,181,000","127,171,000","3,786,000","47,463,000","-40,712,000","-249,156,000","286,752,000","-31,383,000","59,008,000","22,941,000","-105,484,000","75,320,000","-92,354,000","54,592,000","40,408,000","41,605,000","4,864,000","6,763,000","-18,049,000","45,640,000","-579,000","493,000","-3,948,000","2,570,000","2,800,000","8,400,000","-4,700,000","2,400,000","4,000,000","2,700,000"
	BeginningCashPosition,"1,051,320,000","401,995,000","437,686,000","633,142,000","330,961,000","203,790,000","200,004,000","152,541,000","193,253,000","442,409,000","155,657,000","187,040,000","128,032,000","105,091,000","210,575,000","135,255,000","227,609,000","173,017,000","132,609,000","91,004,000","86,140,000","79,377,000","97,426,000","51,786,000","52,365,000","51,872,000","55,252,000","36,115,000","28,600,000","16,900,000","16,400,000","14,000,000","10,000,000","7,400,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,"-36,700,000","-26,400,000","-31,400,000","-25,300,000","-11,700,000","-16,400,000","-14,000,000","-10,100,000"
IncomeTaxPaidSupplementalData,"26,149,000","27,932,000","55,197,000","67,306,000","63,021,000","36,817,000","26,489,000","40,219,000","36,225,000","39,622,000","33,343,000","23,576,000","21,257,000","7,925,000","9,371,000","36,778,000",,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"442,513,000","204,397,000","39,339,000","19,779,000","28,822,000","42,461,000","35,174,000","30,000,000","29,576,000","30,103,000","26,398,000","30,111,000","36,865,000","45,913,000","54,318,000","59,408,000",,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-47,183,000","-49,283,000","-23,238,000","-9,436,000","-11,717,000","-16,398,000","-18,637,000","-10,128,000","-8,306,000","-18,224,000","-14,389,000","-8,977,000","-10,730,000","-17,492,000","-22,652,000","-11,859,000","-15,336,000","-18,033,000","-22,241,000","-17,359,000","-7,032,000","-7,579,000","-828,000","-53,131,000","-3,307,000","-5,799,000","-4,791,000","-2,135,000","-2,200,000","-1,300,000","-1,300,000","-800,000","-500,000","-300,000"
IssuanceOfDebt,"2,301,047,000","2,743,327,000","1,809,120,000","3,526,000","30,564,000","14,109,000","85,000,000","150,000,000","0","49,816,000","192,500,000","1,147,451,000","180,000","103,905,000","174,774,000","452,275,000","914,000,000","231,427,000","65,000,000",,"45,000,000",,,,,"87,971,000",,,"27,500,000",,,"18,000,000","260,800,000",
RepaymentOfDebt,"-2,738,265,000","-1,800,000,000","0","0","-38,589,000","-406,160,000","-6,257,000","-204,408,000","-46,088,000","-95,330,000","-315,671,000","-1,106,784,000","-72,033,000",,,,"-216,450,000",,"-131,219,000","-439,545,000",,,,"-143,000","-14,055,000","75,144,000","-28,593,000","-1,798,000",,,,,"-268,800,000","13,000,000"
FreeCashFlow,"239,948,000","451,432,000","447,422,000","562,613,000","177,828,000","210,251,000","262,074,000","244,613,000","184,781,000","158,547,000","168,345,000","325,118,000","173,063,000","169,351,000","171,291,000","84,878,000","71,879,000","70,427,000","45,481,000","59,625,000","62,758,000","87,707,000","15,788,000","-81,115,000","34,939,000","30,970,000","13,705,000","13,945,000","8,900,000","10,700,000","4,200,000","4,900,000","3,100,000","3,800,000"
