name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
	TotalNonCurrentLiabilitiesNetMinorityInterest,"218,286,565,000","190,698,349,000","175,313,338,000","35,513,281,000","27,795,330,000","23,253,064,000","22,384,083,000","19,485,776,000","19,386,702,000","11,784,539,000","3,202,522,000","1,821,970,000","1,866,295,000",,,
		LongTermProvisions,,,,,,,"58,369,000","51,964,000",,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"49,187,579,000","43,674,997,000","39,289,776,000","33,615,160,000","27,138,370,000","22,341,192,000","21,193,859,000","18,544,075,000","18,714,597,000","10,837,784,000","1,908,606,000","1,123,414,000","1,564,716,000","1,486,960,000","2,060,185,000","2,405,125,000"
			LongTermDebt,"48,633,161,000","43,132,095,000","38,878,207,000","33,423,596,000","27,013,284,000","22,341,192,000","21,193,859,000","18,544,075,000","18,714,597,000","10,837,784,000","1,908,606,000","1,123,414,000","1,564,716,000","1,486,960,000","2,060,185,000","2,405,125,000"
			LongTermCapitalLeaseObligation,"554,418,000","542,902,000","411,569,000","191,564,000","125,086,000","0",,,,,,,,,,
		NonCurrentDeferredLiabilities,"2,370,118,000","1,667,740,000","900,436,000","199,425,000","0",,"75,810,000","69,467,000","21,706,000","26,894,000","28,029,000","19,228,000","74,191,000",,,
			NonCurrentDeferredTaxesLiabilities,"2,370,118,000","1,667,740,000","900,436,000","199,425,000","0",,"58,369,000","51,964,000",,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,"0","68,050,000",,,
		EmployeeBenefits,"210,625,000","265,712,000","210,789,000","150,883,000","131,719,000","107,887,000","35,953,000","20,764,000","17,765,000","17,799,000","21,531,000","17,265,000","12,744,000",,,
		DerivativeProductLiabilities,"590,187,000","1,351,871,000","509,677,000","678,678,000","73,538,000","96,389,000","330,329,000","175,233,000","188,266,000","147,106,000","428,959,000","232,676,000","11,736,000",,,
		PreferredSecuritiesOutsideStockEquity,,,,,"0","1,122,641,000","610,540,000","632,348,000","188,629,000","300,098,000","627,807,000","462,564,000","275,507,000",,,
		OtherNonCurrentLiabilities,"165,928,056,000","143,738,029,000","134,402,660,000","869,135,000","451,703,000","707,596,000","823,942,000","676,237,000","444,368,000","754,956,000","815,397,000","429,387,000","202,908,000",,,
TotalEquityGrossMinorityInterest,"58,378,912,000","55,370,690,000","58,139,220,000","40,799,916,000","30,502,374,000","25,382,609,000","20,662,800,000","17,118,083,000","49,467,585,000","51,704,061,000","46,584,818,000","41,405,454,000","37,684,650,000","36,000,042,000","27,361,481,000","19,850,357,000"
	TotalPartnershipCapital,,,,,,,"7,185,936,000","5,939,833,000","5,547,182,000","5,382,691,000","2,722,010,000","2,004,359,000","1,328,698,000",,,
		LimitedPartnershipCapital,,,,,,,"7,205,417,000","5,939,833,000","5,547,182,000","5,403,095,000","2,727,909,000","2,008,965,000","1,330,887,000",,,
	StockholdersEquity,"22,858,694,000","18,807,767,000","17,582,164,000","13,716,818,000","10,807,490,000","8,649,610,000","0","0","0","0","0","0","0","1,326,493,000","1,013,849,000","151,879,000"
