name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
					AmortizationOfIntangibles,"7,766,000,000","7,946,000,000","7,689,000,000","7,718,000,000","5,805,000,000","1,553,000,000","1,294,000,000","1,076,000,000","764,000,000","419,000,000","403,000,000","509,000,000","625,000,000","764,000,000","708,000,000","372,211,000"
		DeferredTax,"-2,659,000,000","-2,889,000,000","-1,931,000,000","-898,000,000","-2,325,000,000","122,000,000","-1,093,000,000","1,242,000,000","0","0",,,,,,
			DeferredIncomeTax,"-2,659,000,000","-2,889,000,000","-1,931,000,000","-898,000,000","-2,325,000,000","122,000,000","-1,093,000,000","1,242,000,000","0","0",,,,,,
		AssetImpairmentCharge,"3,519,000,000","4,229,000,000","770,000,000","50,000,000","0","1,030,000,000","5,070,000,000","354,000,000","39,000,000","0",,,,,,
		ProvisionandWriteOffofAssets,"-298,000,000","-443,000,000","2,243,000,000","163,000,000","-31,000,000",,,,,,,,,,,
		StockBasedCompensation,"821,000,000","747,000,000","671,000,000","692,000,000","753,000,000","430,000,000","421,000,000","365,000,000","353,000,000","282,000,000","241,000,000","212,000,000","187,000,000","163,000,000","167,000,000","156,718,000"
		OtherNonCashItems,"3,454,000,000","4,811,000,000","3,144,000,000","3,999,000,000","7,992,000,000","3,624,000,000","1,186,000,000","1,180,000,000","898,000,000","769,000,000","1,536,000,000","372,000,000","354,000,000","673,000,000","313,000,000","-627,130,000"
		ChangeInWorkingCapital,"-65,000,000","2,813,000,000","-94,000,000","-1,231,000,000","106,000,000","-1,451,000,000","391,000,000","9,000,000","-1,689,000,000","504,000,000","-788,000,000","658,000,000","-621,000,000","706,000,000","-866,000,000","503,741,000"
			ChangeInReceivables,"-183,000,000","66,000,000","-1,455,000,000","-1,321,000,000","-929,000,000","-74,000,000","-591,000,000","-391,000,000","-71,000,000","-1,076,000,000","-172,000,000","681,000,000","223,000,000","-498,000,000","-60,000,000","-322,193,000"
				ChangesInAccountReceivables,"-183,000,000","66,000,000","-1,455,000,000","-1,321,000,000","-929,000,000","-74,000,000","-591,000,000","-391,000,000","-71,000,000","-1,076,000,000","-172,000,000",,"223,000,000","-497,739,000","-60,000,000","-322,193,000"
			ChangeInInventory,"-86,000,000","-417,000,000","-686,000,000","-142,000,000","-40,000,000","-231,000,000","-226,000,000","93,000,000","-38,000,000","-434,000,000","-203,000,000","-56,000,000","-203,000,000","-87,000,000","-73,000,000","165,347,000"
			ChangeInPrepaidAssets,"-164,000,000","-188,000,000","-264,000,000","-197,000,000","134,000,000","-225,000,000","-200,000,000","-118,000,000","-393,000,000","511,000,000","-220,000,000","459,000,000","90,000,000","-206,000,000","-38,000,000","450,263,000"
			ChangeInPayablesAndAccruedExpense,"1,380,000,000","3,840,000,000","1,769,000,000","1,719,000,000","1,514,000,000","97,000,000","734,000,000","425,000,000","-1,187,000,000","1,503,000,000","-193,000,000","-426,000,000","-731,000,000","1,497,000,000","-695,000,000","210,324,000"
				ChangeInPayable,"1,380,000,000","3,840,000,000","1,769,000,000","1,719,000,000","1,514,000,000","97,000,000","734,000,000","425,000,000","-1,187,000,000","1,503,000,000","-193,000,000","-426,000,000","-731,000,000","1,497,000,000","-695,000,000","210,324,000"
					ChangeInAccountPayable,"1,380,000,000","3,840,000,000","1,769,000,000","1,719,000,000","1,514,000,000","97,000,000","734,000,000","425,000,000","-1,187,000,000","1,503,000,000","-193,000,000","-426,000,000","-731,000,000","1,497,000,000","-695,000,000","210,324,000"
			ChangeInOtherWorkingCapital,"-1,012,000,000","-488,000,000","542,000,000","-1,290,000,000","-573,000,000","-1,018,000,000","674,000,000",,,,,,,,,
InvestingCashFlow,"-11,859,000,000","-2,009,000,000","-623,000,000","-2,344,000,000","-37,557,000,000","596,000,000","-1,006,000,000","-274,000,000","-6,074,000,000","-12,936,000,000","-926,000,000","879,000,000","-2,418,000,000","553,000,000","-5,031,000,000","-486,355,000"
	CashFlowFromContinuingInvestingActivities,"-11,859,000,000","-2,009,000,000","-623,000,000","-2,344,000,000","-37,557,000,000","596,000,000","-1,006,000,000","-274,000,000","-6,074,000,000","-12,936,000,000","-926,000,000","879,000,000","-2,418,000,000","553,000,000","-5,031,000,000","-486,355,000"
		NetPPEPurchaseAndSale,"-858,000,000","-777,000,000","-695,000,000","-787,000,000","-798,000,000","-552,000,000","-638,000,000","-529,000,000","-479,000,000","-532,000,000","-612,000,000","-491,000,000","-333,000,000","-356,000,000","-448,000,000","-312,565,000"
			PurchaseOfPPE,"-858,000,000","-777,000,000","-695,000,000","-787,000,000","-798,000,000","-552,000,000","-638,000,000","-529,000,000","-479,000,000","-532,000,000","-612,000,000","-491,000,000","-333,000,000","-356,000,000","-448,000,000","-312,565,000"
		NetBusinessPurchaseAndSale,"-10,942,000,000","-1,223,000,000","-794,000,000","-1,902,000,000","-39,610,000,000","-1,135,000,000","-736,000,000","-308,000,000","-2,757,000,000","-12,452,000,000","-622,000,000","-405,000,000","-688,000,000","-273,000,000","-2,621,000,000","-170,000,000"
			PurchaseOfBusiness,"-10,942,000,000","-1,223,000,000","-794,000,000","-1,902,000,000","-39,610,000,000","-1,135,000,000","-736,000,000","-308,000,000","-2,757,000,000","-12,452,000,000","-622,000,000","-405,000,000","-688,000,000","-273,000,000","-2,621,000,000","-170,000,000"
		NetInvestmentPurchaseAndSale,"-36,000,000","-22,000,000","92,000,000","-21,000,000","1,464,000,000","2,116,000,000","368,000,000","563,000,000","-2,956,000,000","48,000,000","308,000,000","1,775,000,000","-1,397,000,000","-688,000,000","-92,000,000","-4,207,000"
