name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,03/31/1987,03/31/1986
			LongTermCapitalLeaseObligation,"320,000,000","349,000,000","416,000,000","479,000,000","435,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"606,000,000","548,000,000","784,000,000","964,000,000","1,096,000,000","2,140,000,000","3,277,000,000","5,413,000,000","1,748,000,000","1,101,000,000","1,247,000,000","1,849,000,000","2,610,000,000","1,348,000,000","1,241,000,000","1,723,000,000","459,000,000","486,000,000","219,000,000","212,000,000","34,600,000","43,700,000","39,032,000","64,866,000","39,134,000","33,200,000","13,800,000","14,500,000","10,200,000","9,100,000","11,500,000","10,800,000","7,900,000","5,900,000","5,900,000","5,900,000",,
			NonCurrentDeferredTaxesLiabilities,"606,000,000","548,000,000","784,000,000","964,000,000","1,096,000,000","2,140,000,000","3,277,000,000","5,413,000,000","1,748,000,000","1,101,000,000","1,247,000,000","1,849,000,000","2,610,000,000","1,348,000,000","1,241,000,000","1,723,000,000","459,000,000","486,000,000","219,000,000","212,000,000","34,600,000","43,700,000","39,032,000","64,866,000","39,134,000","33,200,000","13,800,000","14,500,000","10,200,000","9,100,000","11,500,000","10,800,000","7,900,000","5,900,000","5,900,000","5,900,000",,
		TradeandOtherPayablesNonCurrent,,"3,847,000,000","2,578,000,000","2,240,000,000","2,640,000,000","1,727,000,000","1,843,000,000","1,639,000,000","1,195,000,000","1,109,000,000","1,273,000,000","1,293,000,000","1,277,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,,,,,,,,,,,,,,"221,000,000","170,000,000",,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,,,,,"221,000,000","170,000,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"4,019,000,000","3,944,000,000",,"1,000,000","2,640,000,000","1,727,000,000","1,843,000,000","1,639,000,000","1,195,000,000","1,109,000,000","1,273,000,000","1,293,000,000","1,277,000,000","777,000,000","727,000,000","803,000,000","475,000,000","152,000,000","85,000,000","303,000,000","74,900,000","63,200,000","53,282,000","40,122,000","32,904,000","3,898,000","4,300,000","8,900,000","10,100,000","3,900,000","3,600,000","4,300,000","4,900,000","17,100,000","13,700,000","12,600,000","17,700,000","20,500,000"
TotalEquityGrossMinorityInterest,"8,126,000,000","8,598,000,000","11,244,000,000","11,061,000,000","15,063,000,000","15,794,000,000","18,745,000,000","34,993,000,000","29,927,000,000","23,355,000,000","22,636,000,000","22,867,000,000","22,343,000,000","22,002,000,000","19,259,000,000","16,360,000,000","13,760,000,000","11,177,000,000","6,050,000,000","5,400,000,000","3,296,100,000","1,834,300,000","1,382,841,000","1,152,983,000","747,243,000","659,600,000","612,800,000","535,200,000","487,200,000","342,400,000","267,900,000","223,100,000","183,000,000","135,600,000","119,400,000","99,100,000","57,800,000","49,900,000"
	StockholdersEquity,"7,506,000,000","7,804,000,000","10,278,000,000","10,026,000,000","13,972,000,000","14,707,000,000","17,359,000,000","33,337,000,000","29,769,000,000","23,313,000,000","22,565,000,000","22,768,000,000","22,195,000,000","21,947,000,000","19,222,000,000","16,300,000,000","13,724,000,000","11,142,000,000","6,042,000,000","5,389,000,000","3,289,400,000","1,829,400,000","1,380,677,000","1,151,346,000","747,226,000","658,800,000","612,000,000","534,200,000","482,500,000","342,000,000","267,500,000","222,300,000","182,400,000","135,600,000","119,400,000","99,100,000","57,800,000","49,900,000"
		CapitalStock,"57,000,000","57,000,000","57,000,000","57,000,000","56,000,000","56,000,000","3,685,000,000","3,674,000,000","3,343,000,000","50,000,000","50,000,000","50,000,000","50,000,000","49,000,000","49,000,000","48,000,000","46,000,000","46,000,000","43,000,000","42,000,000","34,300,000","33,900,000","31,034,000","31,030,000","30,958,000","175,400,000","173,100,000","170,200,000","166,800,000","121,500,000",,,,,,,,
