name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
FinancingCashFlow,"-3,308,000,000","-3,342,000,000","-4,368,000,000","-6,321,000,000","-1,693,000,000","-2,734,000,000","-2,227,000,000","-3,084,000,000","-2,069,000,000","-3,453,000,000","-968,000,000","3,619,000,000","-956,000,000","-1,905,000,000","-1,841,000,000","-421,000,000","178,000,000","-1,470,000,000","379,000,000","-583,000,000","-91,000,000","-109,000,000","-155,200,000","181,700,000","-125,500,000","76,400,000","22,400,000","304,200,000","635,000,000","-102,100,000","-62,900,000"
	CashFlowFromContinuingFinancingActivities,"-3,308,000,000","-3,342,000,000","-4,368,000,000","-6,321,000,000","-1,693,000,000","-2,734,000,000","-2,227,000,000","-3,084,000,000","-2,069,000,000","-3,453,000,000","-968,000,000","3,619,000,000","-956,000,000","-1,905,000,000","-1,841,000,000","-421,000,000","178,000,000","-1,470,000,000","379,000,000","-583,000,000","-91,000,000","-109,000,000","-155,200,000","181,700,000","-125,500,000","76,400,000","22,400,000","304,200,000","635,000,000","-102,100,000","-62,900,000"
		NetIssuancePaymentsOfDebt,"-20,000,000","56,000,000","-277,000,000","-1,150,000,000","-540,000,000","-298,000,000","-16,000,000","-948,000,000","393,000,000","-1,725,000,000","-402,000,000","3,724,000,000","255,000,000","-30,000,000","-41,000,000","-219,000,000","695,000,000","-162,000,000","966,000,000","-24,000,000","-268,000,000","-17,000,000","-142,500,000","196,600,000","-32,800,000","112,100,000","-106,800,000","231,000,000","572,000,000","-18,500,000","-21,100,000"
			NetLongTermDebtIssuance,"-20,000,000","56,000,000","-277,000,000","-1,150,000,000","-540,000,000","-298,000,000","-13,000,000","-765,000,000","223,000,000","-1,598,000,000","-350,000,000","3,776,000,000","655,000,000","-430,000,000","-41,000,000","-218,000,000","695,000,000",,,,,,,,,,,,,,
				LongTermDebtIssuance,"0","991,000,000","997,000,000","498,000,000","500,000,000","0","1,099,000,000","1,522,000,000","1,824,000,000","0","3,000,000","4,124,000,000","1,798,000,000","0","1,689,000,000","0","699,000,000",,,,,,,,,,,,,,
				LongTermDebtPayments,"-20,000,000","-935,000,000","-1,274,000,000","-1,648,000,000","-1,040,000,000","-298,000,000","-1,112,000,000","-2,287,000,000","-1,601,000,000","-1,598,000,000","-353,000,000","-348,000,000","-1,143,000,000","-430,000,000","-1,730,000,000","-218,000,000","-4,000,000",,,,,,,,,,,,,,
			NetShortTermDebtIssuance,"0","0","0","0","0","0","-3,000,000","-183,000,000","170,000,000","-127,000,000","-52,000,000","-52,000,000","-400,000,000","400,000,000","0","-1,000,000","0",,,,,,,,,,,,,,
				ShortTermDebtIssuance,"21,260,000,000","19,964,000,000","8,450,000,000","11,192,000,000","6,323,000,000","21,437,000,000","37,265,000,000","20,542,000,000","8,294,000,000","1,561,000,000","3,100,000,000","6,080,000,000","2,225,000,000","400,000,000","1,000,000,000","5,000,000","3,630,000,000",,,,,,,,,,,,,,
				ShortTermDebtPayments,"-21,260,000,000","-19,964,000,000","-8,450,000,000","-11,192,000,000","-6,323,000,000","-21,437,000,000","-37,268,000,000","-20,725,000,000","-8,124,000,000","-1,688,000,000","-3,152,000,000","-6,132,000,000","-2,625,000,000","0","-1,000,000,000","-6,000,000","-3,630,000,000",,,,,,,,,,,,,,
		NetCommonStockIssuance,"-2,745,000,000","-2,909,000,000","-3,475,000,000","-3,296,000,000","-650,000,000","-1,821,000,000","-1,564,000,000","-1,577,000,000","-2,191,000,000","-1,489,000,000","-298,000,000","47,000,000","-1,048,000,000","-1,707,000,000","-1,683,000,000","212,000,000","-405,000,000","-1,344,000,000","-604,000,000","-390,000,000","223,000,000","-64,000,000","53,800,000","43,900,000","-27,000,000","26,200,000","224,900,000","147,800,000","-78,200,000","-43,500,000","10,400,000"
