name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
CommonStockEquity,"46,667,000,000","59,342,000,000","67,655,000,000","56,598,000,000","55,474,000,000","78,614,000,000","74,168,000,000","74,832,000,000","77,046,000,000","70,766,000,000","74,343,000,000","69,137,000,000","65,844,000,000","63,196,000,000","57,387,000,000","50,288,000,000","49,223,000,000","41,111,000,000","32,990,000,000","31,177,000,000","30,429,000,000","28,269,000,000","25,495,000,000","22,840,000,000","23,368,000,000","22,816,860,465.116"
CapitalLeaseObligations,"1,828,000,000","1,789,000,000","1,896,000,000","2,005,000,000","1,949,000,000",,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-3,553,000,000","-1,603,000,000","3,878,000,000","-10,210,000,000","163,000,000","4,601,000,000","12,421,000,000","12,512,000,000","11,655,000,000","17,623,000,000","15,476,000,000","7,716,000,000","3,932,000,000","-1,727,000,000","35,017,000,000","29,469,000,000","27,974,000,000","19,881,000,000","19,696,000,000","25,548,000,000","25,721,000,000","23,874,000,000","21,543,000,000","19,228,000,000","21,350,000,000","20,887,354,651.163"
WorkingCapital,"4,091,000,000","8,254,000,000","15,510,000,000","-3,386,000,000","1,240,000,000","5,956,000,000","4,805,000,000","2,722,000,000","-863,000,000","10,588,000,000","4,174,000,000","3,953,000,000","936,000,000","2,027,000,000","14,221,000,000","4,377,000,000","10,789,000,000","5,170,000,000","6,115,000,000","12,071,000,000","12,953,000,000","12,543,000,000","12,053,000,000","13,197,000,000","10,841,000,000","10,874,273,255.814"
InvestedCapital,"71,187,000,000","85,462,000,000","96,784,000,000","92,448,000,000","82,673,000,000","110,704,000,000","102,593,000,000","98,518,000,000","98,947,000,000","91,125,000,000","92,258,000,000","88,863,000,000","86,073,000,000","86,139,000,000","71,295,000,000","57,323,000,000","54,816,000,000","48,327,000,000","41,199,000,000","37,735,000,000","35,900,000,000","33,508,000,000","30,061,000,000","26,596,000,000","29,599,000,000","29,295,058,139.535"
TangibleBookValue,"-3,553,000,000","-1,603,000,000","3,878,000,000","-10,210,000,000","163,000,000","4,601,000,000","12,421,000,000","12,512,000,000","11,655,000,000","17,623,000,000","15,476,000,000","7,716,000,000","3,932,000,000","-1,727,000,000","35,017,000,000","29,469,000,000","27,974,000,000","19,881,000,000","19,696,000,000","25,548,000,000","25,721,000,000","23,874,000,000","21,543,000,000","19,228,000,000","21,350,000,000","20,887,354,651.163"
TotalDebt,"26,348,000,000","27,909,000,000","31,025,000,000","37,855,000,000","29,148,000,000","32,090,000,000","28,425,000,000","23,686,000,000","21,901,000,000","20,359,000,000","17,915,000,000","19,726,000,000","20,229,000,000","22,943,000,000","13,908,000,000","7,035,000,000","5,593,000,000","7,216,000,000","8,209,000,000","6,558,000,000","5,471,000,000","5,239,000,000","4,566,000,000","3,756,000,000","6,231,000,000","6,478,197,674.419"
NetDebt,"11,127,000,000","18,603,000,000","16,722,000,000","26,192,000,000","16,087,000,000","18,819,000,000","19,565,000,000","16,679,000,000","17,227,000,000","7,336,000,000","11,228,000,000","14,174,000,000","16,520,000,000","17,624,000,000","11,014,000,000","4,997,000,000","233,000,000","3,401,000,000","1,888,000,000","475,000,000","324,000,000",,,,"2,287,000,000","1,644,622,093.023"
ShareIssued,"2,277,477,752","2,403,721,252","2,434,439,948","2,467,022,048","2,527,308,488","2,311,171,429","2,616,756,499","2,627,114,820","2,676,993,000","2,706,193,000","2,706,193,000","2,706,193,000","2,745,623,000","2,637,623,000","2,637,623,000","2,264,852,842","2,264,453,332","2,348,231,459","2,335,916,500","2,426,810,076","2,467,768,660","2,474,970,619","2,548,180,260","2,606,675,600","2,624,734,400","2,739,218,160"
OrdinarySharesNumber,"2,044,033,986","2,119,609,057","2,234,939,948","2,256,822,048","2,265,008,488","2,311,171,429","2,317,456,499","2,374,059,013","2,373,894,817","2,398,626,257","2,426,084,308","2,420,620,174","2,406,693,857","2,289,445,178","2,274,353,351","2,264,852,842","2,264,453,332","2,348,231,459","2,335,916,500","2,426,810,076","2,467,768,660","2,474,970,619","2,548,180,260","2,606,675,600","2,624,734,400","2,739,218,160"
TreasurySharesNumber,"233,443,766","284,112,195","199,500,000","210,200,000","262,300,000",,"299,300,000","253,055,807","303,098,183","307,566,743","280,108,692","285,572,826","338,929,143","348,177,822","363,269,649",,,,,,,,,,,
