name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
			GrossPPE,"12,839,000,000","11,639,000,000","11,001,000,000","10,330,000,000","10,911,000,000","8,845,000,000","8,987,000,000","9,173,000,000","8,631,000,000","9,066,000,000","8,843,000,000","9,383,000,000","8,381,000,000","8,260,000,000","8,895,000,000","9,449,000,000","10,214,000,000","10,144,000,000","9,984,000,000","10,009,000,000","9,442,000,000","8,706,000,000","7,972,000,000","7,926,000,000","7,841,000,000","7,508,000,000","7,001,000,000","6,646,000,000","6,264,000,000","5,836,000,000","5,236,000,000","5,032,000,000","4,718,000,000","4,271,000,000","3,804,000,000","3,346,000,000","2,950,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
				LandAndImprovements,"162,000,000","162,000,000","169,000,000","189,000,000","187,000,000","104,000,000","100,000,000","107,000,000","107,000,000","109,000,000","109,000,000","114,000,000","137,000,000","133,000,000","142,000,000","149,000,000","185,000,000","254,000,000","280,000,000","290,000,000","241,000,000","233,000,000","216,000,000","167,000,000",,,,,,,,,,,,,
				BuildingsAndImprovements,"6,495,000,000","5,920,000,000","5,897,000,000","5,732,000,000","6,336,000,000","5,231,000,000","4,848,000,000","4,930,000,000","4,515,000,000","4,830,000,000","4,748,000,000","4,963,000,000","4,545,000,000","4,565,000,000","4,350,000,000","4,506,000,000","4,696,000,000","4,630,000,000","4,560,000,000","4,497,000,000","3,917,000,000","3,389,000,000","3,154,000,000","3,142,000,000",,,,,,,,,,,,,
				MachineryFurnitureEquipment,"3,717,000,000","3,284,000,000","3,252,000,000","3,063,000,000","3,157,000,000","2,962,000,000","3,059,000,000","3,287,000,000","3,347,000,000","3,774,000,000","3,699,000,000","3,695,000,000","3,437,000,000","3,423,000,000","3,563,000,000","4,007,000,000","4,418,000,000","4,540,000,000","4,574,000,000","4,686,000,000","4,197,000,000","3,897,000,000","3,748,000,000","4,059,000,000",,,,,,,,,,,,,
				OtherProperties,"1,390,000,000","1,220,000,000","919,000,000","859,000,000","704,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"1,075,000,000","1,053,000,000","764,000,000","487,000,000","527,000,000","548,000,000","980,000,000","849,000,000","662,000,000","353,000,000","287,000,000","611,000,000","262,000,000","139,000,000","840,000,000","787,000,000","915,000,000","720,000,000","570,000,000","536,000,000","1,087,000,000","1,187,000,000","854,000,000","558,000,000",,,,,,,,,,,,,
			AccumulatedDepreciation,"-4,803,000,000","-4,164,000,000","-4,033,000,000","-3,585,000,000","-3,955,000,000","-3,818,000,000","-3,986,000,000","-4,193,000,000","-4,219,000,000","-4,649,000,000","-4,264,000,000","-4,050,000,000","-3,860,000,000","-3,596,000,000","-3,840,000,000","-4,044,000,000","-4,564,000,000","-4,471,000,000","-4,291,000,000","-4,244,000,000","-3,730,000,000","-3,372,000,000","-3,085,000,000","-3,378,000,000","-3,220,000,000","-3,079,000,000","-2,845,000,000","-2,682,000,000","-2,504,000,000","-2,170,000,000","-1,862,000,000","-1,891,000,000","-1,782,000,000","-1,640,000,000","-1,454,000,000","-1,158,000,000","-1,023,000,000"
		GoodwillAndOtherIntangibleAssets,"48,654,000,000","57,504,000,000","63,277,000,000","73,996,000,000","86,457,000,000","7,629,000,000","8,073,000,000","8,260,000,000","8,300,000,000","8,780,000,000","9,414,000,000","16,413,000,000","8,710,000,000","8,603,000,000","8,083,000,000","5,978,000,000","6,328,000,000","6,681,000,000","6,744,000,000","7,165,000,000","6,568,000,000","6,740,000,000","7,203,000,000","1,820,000,000","1,502,000,000","1,587,000,000","1,625,000,000","1,508,000,000","1,219,000,000","939,000,000","191,000,000","153,000,000","170,000,000","192,000,000","224,000,000","228,000,000","209,000,000"
			Goodwill,"21,169,000,000","21,149,000,000","20,502,000,000","20,547,000,000","22,488,000,000","6,538,000,000","6,863,000,000","6,875,000,000","6,881,000,000","7,027,000,000","7,096,000,000","7,635,000,000","5,586,000,000","5,233,000,000","5,218,000,000","4,827,000,000","4,998,000,000","4,829,000,000","4,823,000,000","4,905,000,000","4,836,000,000","4,836,000,000","5,119,000,000","1,436,000,000",,,,,,,,,,,,,
