name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"-3,560,000","-1,000","-1,000",,,"2,147,000","2,854,000"
OperatingIncome,"22,815,000","-73,379,000","-223,596,000","-170,439,000","-286,586,000","-246,545,000","-247,444,000","-292,410,000","-272,815,000","-164,612,000","-93,230,000","-38,297,000","-20,886,000","-22,852,000","15,094,000","-45,468,000","-66,978,000","-62,654,000","-49,054,000","-35,806,000","-26,095,000","-13,740,000","-12,625,900","-15,279,000","-11,269,000"
NetNonOperatingInterestIncomeExpense,"20,749,000","17,234,000","6,610,000","591,000","6,610,000","11,165,000","5,348,000","4,126,000","2,763,000","499,000","755,000","349,000","37,000","87,000","45,000","323,000","2,734,000",,,,,,,,
	InterestIncomeNonOperating,"20,749,000","17,234,000","6,610,000","591,000","6,610,000","11,165,000","5,348,000","4,126,000","2,763,000","499,000","755,000","349,000","37,000","87,000","45,000","409,000","2,915,000",,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,"86,000","181,000",,,,,,,,
	TotalOtherFinanceCost,"-11,165,000",,,,,"-11,165,000","-5,348,000","-4,126,000","-2,763,000","-499,000","-755,000","-349,000","-37,000","-87,000","-45,000","-323,000",,,,,,,,,
OtherIncomeExpense,"2,180,000","5,109,000","3,542,000","2,329,000","-997,000","997,000","-1,840,000",,,,,,,,,,,,"3,560,000",,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,"0",,"3,560,000",,,,,,
	OtherNonOperatingIncomeExpenses,"2,180,000","5,109,000","3,542,000","2,329,000","-997,000","997,000","-1,840,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"45,744,000","-51,036,000","-213,444,000","-167,519,000","-280,973,000","-234,383,000","-243,936,000","-288,284,000","-270,052,000","-164,113,000","-92,475,000","-37,948,000","-20,849,000","-22,765,000","15,139,000",,,,,,,,,,
TaxProvision,"15,179,000","10,250,000","2,531,000","351,000","611,000","876,000","1,256,000","1,119,000","1,341,000","330,000","0",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"30,565,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000","-245,192,000","-289,403,000","-271,393,000","-164,443,000","-92,475,000","-37,948,000","-20,849,000","-22,765,000","15,139,000","-45,145,000","-64,244,000","-56,390,000","-45,048,000","-34,135,000","-34,504,000","-26,371,900","-22,490,400","-3,614,000","-2,040,000"
	NetIncome,"30,565,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000","-245,192,000","-289,403,000","-271,393,000","-164,443,000","-92,475,000","-37,948,000","-20,849,000","-22,765,000","15,139,000","-45,145,000","-64,244,000","-56,390,000","-45,048,000","-34,135,000","-25,917,000","-14,092,600","-12,868,200","-14,406,000","-10,194,000"
		NetIncomeIncludingNoncontrollingInterests,"30,565,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000","-245,192,000","-289,403,000","-271,393,000","-164,443,000","-92,475,000","-37,948,000","-20,849,000","-22,765,000","15,139,000","-45,145,000","-64,244,000","-56,390,000","-45,048,000","-34,135,000","-25,917,000","-14,092,600","-12,868,200","-14,406,000","-10,194,000"
