name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		AssetsHeldForSaleCurrent,,,,,,"0","6,133,000","6,257,000","9,299,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"42,285,000","44,123,000","46,310,000","43,212,000","43,830,000","36,054,000","9,494,000","9,038,000","8,941,000","9,828,000","9,226,000","7,767,000","5,555,000","4,489,000","3,748,000","5,275,000","5,581,000","7,368,000","2,039,000","2,303,000","0","0","0","12,244,000","10,400,000","7,000,000","6,300,000","4,300,000","3,000,000","1,900,000","1,300,000","200,000"
	TotalNonCurrentAssets,"643,987,000","613,188,000","630,695,000","566,363,000","549,175,000","399,620,000","385,559,000","366,990,000","341,468,000","356,795,000","339,251,000","319,782,000","295,558,000","298,024,000","309,696,000","311,120,000","328,156,000","295,096,000","258,554,000","285,343,000","284,756,000","308,036,000","322,308,000","330,143,000","326,000,000","251,700,000","204,000,000","163,800,000","90,500,000","53,300,000","20,700,000","4,600,000"
		NetPPE,"478,710,000","447,159,000","421,019,000","365,845,000","369,353,000","226,894,000","234,331,000","230,473,000","214,044,000","219,457,000","212,097,000","196,661,000","181,910,000","185,371,000","194,242,000","189,992,000","198,957,000","197,722,000","178,447,000","196,795,000","203,818,000","223,599,000","238,945,000","245,874,000","227,800,000","172,900,000","112,600,000","80,700,000","56,700,000","27,900,000","10,400,000","4,200,000"
			GrossPPE,"1,038,589,000","987,659,000","947,257,000","857,465,000","834,018,000","665,172,000","640,499,000","617,357,000","575,562,000","557,041,000","526,786,000","487,964,000","445,715,000","424,689,000","412,237,000","388,080,000","408,074,000","386,397,000","345,506,000","358,841,000","352,753,000","350,817,000","340,159,000","329,309,000","261,400,000","222,900,000","145,300,000","101,500,000","68,600,000","33,800,000","13,000,000","5,400,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
				LandAndImprovements,"28,584,000","31,679,000","31,032,000","33,381,000","33,349,000","33,833,000","33,994,000","34,009,000","32,795,000","32,880,000","33,000,000","32,776,000","32,735,000","32,701,000","32,876,000","31,450,000","31,659,000","31,601,000","31,505,000","33,220,000","33,891,000","109,269,000","105,751,000",,,,,,,,,
				BuildingsAndImprovements,"91,448,000","91,462,000","91,508,000","91,335,000","91,514,000","91,665,000","91,809,000","90,892,000","87,010,000","86,892,000","86,763,000","86,219,000","85,907,000","84,960,000","83,765,000","79,586,000","79,726,000","156,302,000","149,679,000","157,496,000","155,919,000","82,168,000","82,164,000",,,,,,,,,
				MachineryFurnitureEquipment,,"498,792,000","465,813,000","436,678,000","423,556,000","402,991,000","378,509,000","357,242,000","333,884,000","320,480,000","280,381,000","249,055,000","231,059,000","217,199,000","199,993,000","190,913,000","203,532,000","193,117,000","162,853,000","164,405,000","159,775,000","155,526,000","147,948,000",,,,,,,,,
				OtherProperties,"738,506,000","696,158,000","662,976,000","601,628,000","581,168,000","402,991,000","378,509,000","357,242,000","333,884,000","320,480,000","280,381,000","249,055,000","231,059,000","0","89,272,000","82,319,000","0","0","0","0","0","0","0",,,,,,,,,
				ConstructionInProgress,"25,610,000","32,265,000","23,725,000","7,954,000","6,860,000","11,491,000","10,983,000","22,399,000","10,970,000","6,466,000","20,155,000","23,262,000","5,159,000","4,599,000","6,331,000","3,812,000","8,420,000","5,377,000","1,469,000","3,720,000","3,168,000","3,854,000","4,296,000",,,,,,,,,
				Leases,"154,441,000","136,095,000","138,016,000","123,167,000","121,127,000","125,192,000","125,204,000","112,815,000","110,903,000","110,323,000","106,487,000","96,652,000","90,855,000","85,230,000",,"82,319,000","84,737,000",,,,,,,,,,,,,,,
