name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"6,699,000,000","6,667,000,000","5,891,000,000","3,028,000,000","2,066,000,000","5,020,000,000","4,454,000,000","4,462,000,000","4,265,000,000","4,328,000,000","4,415,000,000","4,184,000,000","3,949,000,000","3,698,000,000","3,527,000,000","3,330,000,000","3,837,000,000","3,738,000,000"
	OperatingRevenue,"3,378,000,000","3,356,000,000","3,029,000,000","1,371,000,000","752,000,000","2,456,000,000","2,470,000,000","2,682,000,000","2,538,000,000","2,506,000,000","2,633,000,000","2,484,000,000","2,328,000,000","2,167,000,000","2,114,000,000","3,330,000,000","3,837,000,000","3,738,000,000"
CostOfRevenue,"5,393,000,000","5,350,000,000","4,603,000,000","2,603,000,000","2,067,000,000","4,077,000,000","3,475,000,000","3,477,000,000","3,356,000,000","3,377,000,000","3,433,000,000","3,283,000,000","3,121,000,000","2,957,000,000","2,864,000,000","2,751,000,000","2,934,000,000","2,847,000,000"
GrossProfit,"1,306,000,000","1,317,000,000","1,288,000,000","425,000,000","-1,000,000","943,000,000","979,000,000","985,000,000","909,000,000","951,000,000","982,000,000","901,000,000","828,000,000","741,000,000","663,000,000","579,000,000","903,000,000","891,000,000"
OperatingExpense,"971,000,000","995,000,000","874,000,000","698,000,000","631,000,000","746,000,000","647,000,000","725,000,000","641,000,000","628,000,000","703,000,000","668,000,000","669,000,000","588,000,000","555,000,000","530,000,000","539,000,000","506,000,000"
	SellingGeneralAndAdministration,"612,000,000","615,000,000","464,000,000","366,000,000","321,000,000","417,000,000","320,000,000","377,000,000","315,000,000","308,000,000","349,000,000","323,000,000","316,000,000","283,000,000","276,000,000","261,000,000","290,000,000","292,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"376,000,000","397,000,000","426,000,000","310,000,000","310,000,000","329,000,000","327,000,000","348,000,000","326,000,000","320,000,000","354,000,000","345,000,000","353,000,000","305,000,000","279,000,000","269,000,000","249,000,000","214,000,000"
		DepreciationAndAmortizationInIncomeStatement,"376,000,000","397,000,000","426,000,000","310,000,000","310,000,000","329,000,000","327,000,000","348,000,000","326,000,000","320,000,000","354,000,000","345,000,000","353,000,000","305,000,000","279,000,000","269,000,000","249,000,000","214,000,000"
	ProvisionForDoubtfulAccounts,,"-17,000,000","-16,000,000","22,000,000",,,,,,,,,,,,,,
OperatingIncome,"335,000,000","322,000,000","414,000,000","-273,000,000","-632,000,000","197,000,000","332,000,000","260,000,000","268,000,000","323,000,000","279,000,000","233,000,000","159,000,000","153,000,000","108,000,000","49,000,000","364,000,000","385,000,000"
NetNonOperatingInterestIncomeExpense,"-71,000,000","-71,000,000","-106,000,000","-135,000,000","-98,000,000","-50,000,000","-48,000,000","30,000,000","-48,000,000","-60,000,000","-60,000,000","-48,000,000","-47,000,000","-34,000,000","-33,000,000","-56,000,000","-75,000,000","-43,000,000"
	InterestIncomeNonOperating,"88,000,000","74,000,000","44,000,000","28,000,000","30,000,000","25,000,000","28,000,000","110,000,000","28,000,000","8,000,000","11,000,000","17,000,000","23,000,000","23,000,000","21,000,000",,,
	InterestExpenseNonOperating,"159,000,000","145,000,000","150,000,000","163,000,000","128,000,000","75,000,000","76,000,000","80,000,000","76,000,000","68,000,000","71,000,000","65,000,000","70,000,000","57,000,000","54,000,000","56,000,000","75,000,000","43,000,000"
	TotalOtherFinanceCost,,,,,,"-18,000,000","-11,000,000","-10,000,000","-3,000,000",,,,,,,,,
OtherIncomeExpense,"849,000,000","59,000,000","55,000,000","452,000,000","-230,000,000","859,000,000","667,000,000","432,000,000","62,000,000","-69,000,000","306,000,000","136,000,000","-17,000,000","-36,000,000","13,000,000","-44,000,000","-85,000,000","132,000,000"
