name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
		AssetImpairmentCharge,,,"0","0","1,607,797,000","0","0","6,705,000","18,930,000","4,070,000","15,628,000","36,357,000","2,358,000","0","6,410,000","6,744,000","128,775,000","2,565,000","8,000,000","0","14,500,000"
		ProvisionandWriteOffofAssets,"7,891,000","6,190,000","13,609,000","19,284,000","31,756,000","3,884,000","5,570,000","2,431,000","3,866,000","5,029,000","0","0",,,,,,,,,
		StockBasedCompensation,"91,181,000","118,940,000","113,563,000","124,077,000","111,297,000","95,055,000","115,983,000","87,039,000","66,414,000","42,209,000","14,617,000","23,075,000","5,160,000","1,211,000","2,520,000","4,075,000","865,000",,,,
		OtherNonCashItems,"-6,731,000","-6,852,000","-2,300,000","-9,486,000","17,853,000","-4,152,000",,,,"-45,047,000",,,"6,000,000",,"6,410,000","22,677,000","108,299,000","843,000","1,347,000","3,359,000","440,000"
		ChangeInWorkingCapital,"454,788,000","809,373,000","1,358,382,000","-204,010,000","-1,075,379,000","165,159,000","429,486,000","199,057,000","79,276,000","130,651,000","-55,583,000","65,869,000","-1,562,000","20,209,000","205,991,000","-117,129,000","-100,534,000","19,858,000","114,837,000","61,037,000","43,155,000"
			ChangeInReceivables,"-389,000","39,649,000","828,661,000","-1,159,998,000","30,797,000","-14,104,000","-15,886,000","15,050,000","-20,983,000","-14,803,000","-7,256,000","-3,198,000","-4,592,000","-280,000","-11,000","-532,000","2,126,000","2,071,000","1,447,000","-885,000","-7,559,000"
				ChangesInAccountReceivables,"-389,000","39,649,000","828,661,000","-1,159,998,000","30,797,000","-14,104,000","-15,886,000","15,050,000","-20,983,000","-14,803,000","-7,256,000","-3,198,000","-4,592,000","-280,000","-11,000","-532,000","2,126,000","2,071,000","1,447,000","-885,000","-7,559,000"
			ChangeInInventory,"2,102,000","-11,042,000","-33,609,000","-37,481,000","10,555,000","-6,155,000","-9,052,000","-17,129,000","-9,184,000","-4,408,000","-261,000","-4,034,000","-3,447,000","-3,471,000","-3,898,000","629,000","12,503,000","-8,605,000","-3,932,000","-10,732,000","23,000"
			ChangeInPrepaidAssets,"-35,141,000","410,266,000","-602,258,000","26,690,000","-89,528,000","-74,295,000","-29,519,000","-22,714,000","-13,363,000","-10,325,000","-6,373,000","-15,667,000","-3,490,000","-4,264,000","128,993,000","-95,059,000","-15,323,000","8,013,000","-535,000","-1,300,000","15,518,000"
			ChangeInPayablesAndAccruedExpense,"68,399,000","-133,178,000","236,641,000","444,869,000","-215,357,000","-87,663,000","221,340,000","69,838,000","-12,165,000","-58,073,000","-17,746,000","33,587,000","-4,335,000","52,000","42,159,000","-26,961,000","-17,676,000","-373,000","80,451,000","23,391,000","12,570,000"
				ChangeInPayable,"19,153,000","-50,976,000","-16,196,000","152,026,000","-21,419,000","-58,635,000","106,387,000","14,047,000","-5,755,000","-52,723,000","960,000","7,662,000","-1,228,000","15,928,000","36,023,000","-42,036,000","-18,303,000","-373,000","80,451,000","23,391,000","-1,640,000"
					ChangeInAccountPayable,"19,153,000","-50,976,000","-16,196,000","152,026,000","-21,419,000","-58,635,000","106,387,000","14,047,000","-5,755,000","-52,723,000","960,000","7,662,000","-1,228,000","15,928,000","36,023,000","-42,036,000","-18,303,000","-28,232,000","43,944,000","3,128,000","-1,640,000"
				ChangeInAccruedExpense,"49,246,000","-82,202,000","252,837,000","292,843,000","-193,938,000","-29,028,000","114,953,000","55,791,000","-6,410,000","-5,350,000","-18,706,000","25,925,000","-3,107,000","-15,876,000","6,136,000","15,075,000","627,000",,,"20,083,000","14,210,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,"-21,990,000","-19,634,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,"38,748,000",,,"18,752,000","37,406,000","50,563,000","42,237,000"
			ChangeInOtherWorkingCapital,"419,817,000","503,678,000","928,947,000","521,910,000","-811,846,000","347,376,000","262,603,000","154,012,000","134,971,000","218,260,000","-23,947,000","55,181,000","14,302,000","28,172,000","38,748,000","4,794,000","-82,164,000",,,,
InvestingCashFlow,"-2,525,813,000","-2,897,143,000","-1,755,904,000","-1,004,044,000","-975,362,000","-1,680,192,000","-1,502,708,000","-1,404,898,000","-1,128,914,000","-1,206,253,000","-1,796,660,000","-894,851,000","-303,840,000","-184,797,000","-977,466,000","-161,838,000","-166,236,000","-581,578,000","-756,245,000","-678,309,000","-743,281,000"
	CashFlowFromContinuingInvestingActivities,"-2,525,813,000","-2,897,143,000","-1,755,904,000","-1,004,044,000","-975,362,000","-1,680,192,000","-1,502,708,000","-1,404,898,000","-1,128,914,000","-1,206,253,000","-1,796,660,000","-894,851,000","-303,840,000","-184,797,000","-977,466,000","-161,838,000","-166,236,000","-581,578,000","-756,245,000","-678,309,000","-743,281,000"
		CapitalExpenditureReported,,,,,,,,,,,,,,,,,,"-582,837,000","-809,403,000","-658,795,000","-740,838,000"
