name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
		NonCurrentDeferredLiabilities,,,,,"74,903,000","134,894,000","120,932,000","120,852,000","137,314,000","162,637,000","228,184,000","261,608,000","267,595,000","302,332,000","325,247,000","317,351,000","22,491,000","30,394,000","38,496,000","50,032,000","31,236,000","15,189,000","1,165,000",,,,,
			NonCurrentDeferredTaxesLiabilities,,,,,"74,903,000","58,760,000","2,612,000",,,,,,"4,123,000","33,515,000","47,142,000","34,085,000","22,491,000","30,394,000","38,496,000","50,032,000","31,236,000","15,189,000","1,165,000",,,,,
		NonCurrentAccruedExpenses,,,,,"0","71,341,000","80,532,000","82,241,000","90,445,000","99,108,000","114,001,000","119,057,000","114,136,000","95,838,000","87,147,000","77,312,000",,,,,,,,,,,,
		OtherNonCurrentLiabilities,"88,683,000","94,118,000","86,089,000","104,693,000","178,536,000","105,044,000","26,708,000","45,236,000","41,180,000","25,934,000","30,371,000","33,725,000","46,709,000","31,531,000","60,970,000","58,143,000","383,681,000","301,749,000","264,551,000","238,221,000","183,156,000","13,044,000","10,368,000",,,,"7,501,000","933,000"
TotalEquityGrossMinorityInterest,"1,049,987,000","706,569,000","837,324,000","949,312,000","1,071,178,000","1,218,621,000","1,252,471,000","1,252,039,000","1,295,722,000","1,389,701,000","1,729,493,000","1,818,268,000","1,931,335,000","1,890,784,000","1,827,917,000","1,845,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","58,775,000","11,238,000"
	StockholdersEquity,"1,035,160,000","694,841,000","826,090,000","936,628,000","1,058,810,000","1,208,900,000","1,242,379,000","1,243,435,000","1,291,063,000","1,389,701,000","1,729,493,000","1,818,268,000","1,931,335,000","1,890,784,000","1,827,917,000","1,845,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","58,775,000","11,238,000"
		CapitalStock,"1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","0","511,000","511,000"
			CommonStock,"1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","1,033,000","0","511,000","511,000"
		AdditionalPaidInCapital,"421,609,000","416,255,000","413,190,000","401,283,000","404,983,000","405,379,000","406,351,000","396,590,000","407,029,000","434,137,000","433,620,000","403,271,000","369,171,000","349,258,000","339,453,000","328,488,000","319,451,000","289,732,000","161,678,000","140,251,000","139,139,000","142,577,000","141,394,000","136,490,000","147,305,000","144,100,000","117,972,000","117,980,000"
		RetainedEarnings,"2,643,629,000","2,368,815,000","2,386,156,000","2,149,470,000","2,313,745,000","2,418,544,000","2,420,552,000","2,474,703,000","2,530,196,000","2,550,673,000","2,556,270,000","2,567,261,000","2,389,614,000","2,272,317,000","2,183,690,000","2,244,936,000","2,051,463,000","1,646,290,000","1,357,791,000","1,076,023,000","906,085,000","714,475,000","519,540,000","350,868,000","192,735,000","43,100,000","-58,931,000","-107,253,000"
