name,ttm,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006
	EffectOfExchangeRateChanges,"-56,641,000","-75,830,000","-94,821,000","106,173,000","-29,026,000","-66,123,000","42,992,000","-23,546,000","-35,749,000","3,274,000","-8,427,000","14,014,000","4,453,000","12,057,000","-83,000","1,537,000","6,372,000","-5,104,000","-10,000"
	BeginningCashPosition,"1,431,001,000","1,194,527,000","1,632,127,000","919,424,000","1,418,227,000","986,765,000","644,670,000","713,130,000","531,298,000","371,593,000","417,166,000","428,261,000","317,260,000","281,104,000","254,772,000","208,440,000","204,396,000","34,222,000","42,116,000"
IncomeTaxPaidSupplementalData,,"55,195,000","53,049,000","144,377,000","135,678,000","75,346,000","57,005,000","36,665,000","32,037,000","23,896,000","26,987,000","12,525,000","11,178,000","7,977,000","5,823,000","7,426,000","3,100,000",,
InterestPaidSupplementalData,,"798,000","5,048,000","4,219,000","4,665,000","833,000","0",,,,,,,,,"0","0",,
CapitalExpenditure,,"-143,045,000","-150,738,000","-436,348,000","-309,548,000","-276,878,000","-219,612,000","-105,736,000","-64,401,000","-55,318,000","-31,703,000","-61,468,000","-71,690,000","-49,553,000","-19,558,000","-15,998,000","-11,360,000","-8,131,000","-11,959,000"
IssuanceOfCapitalStock,,"0","0","1,512,640,000","0","233,347,000","0","0",,,,,"945,000","6,432,000","12,446,000","5,322,000","8,274,000","150,682,000","1,259,000"
IssuanceOfDebt,,"0","0","297,083,000","20,000,000","96,457,000","0","0",,,,,,"0","0","8,000","0",,"5,106,000"
RepaymentOfDebt,,"-48,764,000","-221,997,000","-120,000,000","0",,,,,,,,,,,"0","0",,"-18,621,000"
RepurchaseOfCapitalStock,,"-191,628,000","0","0","0","-55,962,000","0","0",,"-59,420,000","-21,487,000","-28,511,000","0","0","-29,996,000","-35,455,000","-27,535,000",,
FreeCashFlow,"1,024,372,000","827,963,000","-1,431,191,000","693,737,000","494,907,000","528,770,000","561,515,000","516,958,000","459,912,000","318,827,000","329,642,000","222,160,000","177,614,000","166,266,000","122,332,000","81,184,000","65,348,000","51,409,000","13,253,000"
