name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
		PrepaidAssets,,,,,"1,236,225,000,000","805,964,000,000","833,788,000,000","796,297,000,000","1,333,345,000,000","805,393,000,000","672,014,000,000","527,034,000,000","516,378,000,000","517,454,000,000","511,284,000,000","632,543,000,000","526,853,000,000","519,823,251,840","444,797,558,550","502,278,716,240","503,023,378,750","454,904,736,320","412,153,258,790","329,398,719,240",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,"0","967,607,000,000","978,179,000,000","866,386,000,000","749,398,000,000","718,687,000,000","605,884,000,000","632,164,000,000","605,331,000,000","563,220,000,000","551,516,917,920","520,480,233,900","476,006,665,540","450,896,603,750","377,986,196,880","432,355,546,870","361,430,600,820",,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","967,607,000,000","978,179,000,000","866,386,000,000","749,398,000,000","718,687,000,000","605,884,000,000","632,164,000,000","605,331,000,000","563,220,000,000","551,516,917,920","520,480,233,900","476,006,665,540","450,896,603,750","377,986,196,880","432,355,546,870","361,430,600,820",,,,,,,,,,,,
		OtherCurrentAssets,"1,031,099,000,000","886,885,000,000","791,947,000,000","745,069,000,000","679,802,000,000","507,655,000,000","833,788,000,000","796,297,000,000","1,333,345,000,000","805,393,000,000","672,014,000,000","527,034,000,000","516,378,000,000","517,454,000,000",,,,,"50,376,648,600",,,,,"49,813,359,150","484,997,936,000","728,712,627,850","877,968,441,840","2,126,912,421,004","2,232,383,565,951","1,919,639,618,561","2,353,211,589,623","2,026,525,492,376","2,168,887,128,687","2,193,319,894,080","2,375,492,720,385","1,111,805,268,760"
	TotalNonCurrentAssets,"55,400,016,000,000","47,843,399,000,000","43,966,480,000,000","39,490,338,000,000","35,009,043,000,000","34,237,955,000,000","32,155,593,000,000","30,916,491,000,000","29,218,044,000,000","29,793,433,000,000","25,719,767,000,000","21,698,427,000,000","18,329,776,000,000","17,988,411,000,000","17,275,683,000,000","17,763,108,000,000","20,372,093,000,000","20,791,869,690,720","17,994,232,853,550","14,902,150,554,200","13,012,511,096,800","11,317,170,994,600","11,204,295,297,000","10,335,704,529,660","9,828,811,985,200","10,025,247,007,300","9,388,438,307,100","6,852,775,191,272","6,409,447,726,086","5,480,780,587,331","4,955,603,667,795","4,866,369,219,327","4,403,366,591,148","4,144,865,935,968","3,267,232,813,335","2,814,607,962,480"
		NetPPE,"14,790,622,000,000","13,125,342,000,000","12,775,052,000,000","11,801,296,000,000","10,871,352,000,000","11,080,936,000,000","10,267,673,000,000","10,197,109,000,000","9,740,417,000,000","9,295,719,000,000","7,641,298,000,000","6,851,239,000,000","6,235,380,000,000","6,309,160,000,000","6,710,901,000,000","7,401,681,000,000","7,812,002,000,000","8,061,030,653,760","7,065,795,775,950","5,798,402,438,780","5,281,901,857,200","5,107,532,586,680","5,094,033,521,330","4,537,429,524,600","4,511,713,850,400","4,902,107,844,450","4,679,938,591,185","4,086,782,706,388","3,513,375,612,414","3,049,032,014,938","2,630,782,096,304","2,554,144,690,559","2,476,695,571,875","1,988,282,875,008","1,554,830,050,785","1,377,448,937,900"
			GrossPPE,"32,892,527,000,000","29,800,461,000,000","28,423,942,000,000","26,367,934,000,000","24,823,493,000,000","25,341,382,000,000","24,043,989,000,000","23,649,094,000,000","22,776,641,000,000","22,364,429,000,000","19,764,791,000,000","18,223,620,000,000","16,849,282,000,000","16,611,349,000,000","17,093,748,000,000","17,192,939,000,000","17,396,236,000,000","17,522,473,631,040","15,855,932,444,400","14,065,841,479,060","13,180,672,072,950","12,256,237,825,800","12,200,587,082,840","10,996,519,724,460","10,367,755,666,200","10,761,224,134,300","10,143,657,795,825","8,848,591,409,360","7,930,847,344,572","7,113,339,557,205","6,105,222,210,627","5,723,573,028,173","5,352,505,524,516","4,542,947,086,752","3,864,344,049,495","3,444,241,325,880"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,
				LandAndImprovements,"1,502,199,000,000","1,491,087,000,000","1,429,718,000,000","1,391,905,000,000","1,357,622,000,000","1,385,854,000,000","1,404,611,000,000","1,379,991,000,000","1,352,904,000,000","1,354,815,000,000","1,314,040,000,000","1,303,611,000,000","1,243,261,000,000","1,237,620,000,000","1,261,349,000,000","1,257,409,000,000","1,262,034,000,000","1,233,225,289,440","1,215,748,606,050","1,183,314,610,100","1,120,204,394,750","1,044,416,916,660","1,029,785,052,920","862,716,936,570",,,,,,,,,,,,
				BuildingsAndImprovements,"6,226,157,000,000","5,798,509,000,000","5,590,153,000,000","5,284,808,000,000","4,994,763,000,000","5,171,141,000,000","4,659,753,000,000","4,470,996,000,000","4,311,895,000,000","4,282,839,000,000","4,073,335,000,000","3,874,279,000,000","3,660,912,000,000","3,635,605,000,000","3,693,972,000,000","3,633,954,000,000","3,580,607,000,000","3,444,948,336,480","3,156,191,196,750","2,936,679,103,960","2,763,970,117,600","2,474,488,289,500","2,415,768,343,040","2,112,212,537,730",,,,,,,,,,,,
				MachineryFurnitureEquipment,"16,469,032,000,000","14,796,619,000,000","13,982,362,000,000","12,753,951,000,000","11,979,449,000,000","11,956,773,000,000","11,535,381,000,000","11,357,340,000,000","10,945,267,000,000","10,945,377,000,000","10,381,285,000,000","9,716,180,000,000","9,094,399,000,000","8,947,350,000,000","11,912,215,000,000","12,037,974,000,000","12,192,975,000,000","12,494,844,936,000","11,086,982,277,750","9,730,953,113,560","9,062,552,594,400","8,529,699,752,440","6,941,213,782,750","7,876,816,234,200",,,,,,,,,,,,
				OtherProperties,"7,654,951,000,000","6,867,380,000,000","6,856,181,000,000","6,261,395,000,000","5,974,199,000,000","6,171,547,000,000","5,934,393,000,000","5,966,579,000,000","5,652,622,000,000","5,199,986,000,000","3,709,560,000,000","3,038,011,000,000","2,575,353,000,000","2,491,946,000,000",,,,,,,,,"1,580,164,493,310",,,,,,,,,,,,,
				ConstructionInProgress,"1,040,188,000,000","846,866,000,000","565,528,000,000","675,875,000,000","517,460,000,000","656,067,000,000","509,851,000,000","474,188,000,000","513,953,000,000","581,412,000,000","286,571,000,000","291,539,000,000","275,357,000,000","298,828,000,000","226,212,000,000","263,602,000,000","360,620,000,000","349,455,069,120","397,010,363,850","214,894,651,440","233,944,966,200","207,632,867,200","233,655,410,820","144,774,015,960",,,,,,,,,,,,
			AccumulatedDepreciation,"-18,101,905,000,000","-16,675,119,000,000","-15,648,890,000,000","-14,566,638,000,000","-13,952,141,000,000","-14,260,446,000,000","-13,776,316,000,000","-13,451,985,000,000","-13,036,224,000,000","-13,068,710,000,000","-12,123,493,000,000","-11,372,381,000,000","-10,613,902,000,000","-10,302,189,000,000","-10,382,847,000,000","-9,791,258,000,000","-9,584,234,000,000","-9,461,442,977,280","-8,790,136,668,450","-8,267,439,040,280","-7,898,770,215,750","-7,148,705,239,120","-7,106,553,561,510","-6,459,090,199,860","-5,856,041,815,800","-5,859,116,289,850","-5,463,719,204,640","-4,761,808,702,972","-4,417,471,732,158","-4,064,307,542,267","-3,474,440,114,323","-3,169,428,337,614","-2,875,809,952,641","-2,554,664,211,744","-2,309,513,998,710","-2,066,792,387,980"
		GoodwillAndOtherIntangibleAssets,"1,355,326,000,000","1,249,122,000,000","1,191,966,000,000","1,108,634,000,000","1,000,257,000,000","908,737,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,355,326,000,000","1,249,122,000,000","1,191,966,000,000","1,108,634,000,000","1,000,257,000,000","908,737,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"17,100,665,000,000","15,783,776,000,000","14,355,162,000,000","13,244,717,000,000","12,199,081,000,000","11,236,982,000,000","11,162,240,000,000","10,525,567,000,000","10,071,411,000,000","10,323,586,000,000","9,194,821,000,000","7,279,865,000,000","5,974,559,000,000","5,398,518,000,000","4,135,599,000,000","3,929,249,000,000","3,429,238,000,000",,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"5,710,106,000,000","5,227,345,000,000","4,837,895,000,000","4,160,803,000,000","4,297,564,000,000","3,467,242,000,000","3,162,917,000,000","2,845,639,000,000","2,631,612,000,000","2,691,460,000,000","2,429,778,000,000","2,103,283,000,000","1,920,987,000,000","1,827,331,000,000",,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"4,616,598,000,000","4,169,573,000,000","3,926,267,000,000","3,467,503,000,000","3,703,848,000,000","3,119,740,000,000","3,162,917,000,000","2,845,639,000,000","2,631,612,000,000","2,691,460,000,000","2,429,778,000,000","2,103,283,000,000","1,920,987,000,000","1,827,331,000,000",,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"1,093,508,000,000","1,057,773,000,000","911,628,000,000","693,300,000,000","593,716,000,000","347,502,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"11,390,559,000,000","10,556,431,000,000","9,517,267,000,000","9,083,914,000,000","7,901,517,000,000","7,769,740,000,000","7,999,323,000,000","7,679,928,000,000","7,439,799,000,000","7,632,126,000,000","6,765,043,000,000","5,176,582,000,000","4,053,572,000,000","3,571,187,000,000",,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"11,390,559,000,000","10,556,431,000,000","9,517,267,000,000","9,083,914,000,000","7,901,517,000,000","7,769,740,000,000","7,999,323,000,000","7,679,928,000,000","7,439,799,000,000","7,632,126,000,000","6,765,043,000,000","5,176,582,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"20,637,090,000,000","16,491,045,000,000","14,583,130,000,000","12,449,525,000,000","10,417,797,000,000","10,281,028,000,000","9,504,180,000,000","9,037,409,000,000","8,675,945,000,000","9,247,737,000,000","8,147,260,000,000","6,997,507,000,000","5,658,986,000,000","5,618,904,000,000",,"69,523,000,000","70,776,000,000",,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,"5,556,746,000,000","5,630,680,000,000","5,655,545,000,000","5,974,756,000,000",,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"502,230,000,000","387,427,000,000","342,202,000,000","336,224,000,000","326,364,000,000","446,383,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"502,230,000,000","387,427,000,000","342,202,000,000","336,224,000,000","326,364,000,000","446,383,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,014,083,000,000","806,687,000,000","718,968,000,000","549,942,000,000","194,192,000,000","283,889,000,000","1,221,500,000,000","1,156,406,000,000","730,271,000,000","926,391,000,000","736,388,000,000","569,816,000,000","460,851,000,000","661,829,000,000","798,503,000,000","776,633,000,000","3,085,321,000,000","12,730,839,036,960","10,928,437,077,600","9,103,748,115,420","7,730,609,239,600","6,209,638,407,920","6,110,261,775,670","5,798,275,005,060","5,317,098,134,800","5,123,139,162,850","4,708,499,715,915","2,765,992,484,884","2,896,072,113,672","2,431,748,572,393","2,324,821,571,491","2,312,224,528,768","1,926,671,019,273","2,156,583,060,960","1,712,402,762,550","1,437,159,024,580"
TotalLiabilitiesNetMinorityInterest,"54,874,958,000,000","45,038,967,000,000","40,533,951,000,000","37,978,811,000,000","32,633,351,000,000","32,761,195,000,000","30,878,147,000,000","30,567,110,000,000","29,819,190,000,000","30,082,501,000,000","26,218,486,000,000","22,710,461,000,000","19,584,487,000,000","18,898,142,000,000","19,418,844,000,000","18,461,300,000,000","19,932,126,000,000","20,111,575,163,040","17,579,567,122,200","14,792,451,338,420","13,233,007,355,050","12,480,858,836,680","11,719,985,282,200","9,931,270,497,270","9,039,868,308,800","8,898,416,008,000","8,180,007,271,110","6,941,402,215,432","6,015,544,305,075","5,413,777,534,676","4,795,835,986,005","4,608,049,318,257","4,841,214,918,153","4,397,033,623,872","4,182,350,833,965","3,450,301,582,990"
	CurrentLiabilities,"29,177,909,000,000","23,959,715,000,000","21,842,161,000,000","21,460,466,000,000","18,142,209,000,000","18,482,362,000,000","17,796,891,000,000","17,318,965,000,000","16,124,456,000,000","16,431,496,000,000","14,680,685,000,000","12,912,520,000,000","11,781,574,000,000","10,790,990,000,000","10,686,214,000,000","10,589,293,000,000","11,940,742,000,000","11,767,893,561,600","10,027,542,525,300","8,231,194,333,600","7,494,683,455,950","6,923,258,415,700","6,655,059,004,880","5,652,366,001,170","4,995,992,509,800","5,060,616,834,100","4,568,182,876,200","4,671,659,175,464","3,697,544,927,178","3,135,466,384,862","2,820,160,448,878","2,582,889,581,657","2,981,570,357,328","2,629,750,714,560","2,694,001,765,020","1,962,558,844,670"
		PayablesAndAccruedExpenses,"8,339,659,000,000","6,943,259,000,000","6,639,353,000,000","5,793,959,000,000","4,967,100,000,000","5,527,701,000,000","7,201,460,000,000","6,864,721,000,000","6,499,237,000,000","6,341,053,000,000","5,966,633,000,000","5,176,646,000,000","4,833,977,000,000","3,968,432,000,000","4,418,272,000,000","3,562,068,000,000","4,931,843,000,000","3,880,176,598,560","3,550,494,404,250","3,147,713,372,440","2,804,003,480,800","2,546,923,846,580","2,342,800,868,330","2,141,722,223,910","1,256,062,451,200","1,223,055,840,500","1,050,745,944,750","1,040,253,507,040","836,012,592,531","870,884,164,857","762,346,801,039","745,862,703,201","817,878,785,574","688,722,572,736","681,216,983,790",
			Payables,"6,475,899,000,000","5,390,914,000,000","5,118,907,000,000","4,396,819,000,000","3,710,306,000,000","4,177,449,000,000","4,097,200,000,000","3,726,894,000,000","3,773,117,000,000","3,672,387,000,000","3,653,473,000,000","2,991,109,000,000","3,005,454,000,000","2,195,199,000,000","2,682,342,000,000","2,021,387,000,000","3,324,879,000,000","2,211,723,047,040","2,086,393,628,700","1,857,702,066,640","1,686,092,664,150","1,503,096,796,020","1,416,951,271,190","1,313,054,925,240","1,256,062,451,200","1,223,055,840,500","1,050,745,944,750","1,040,253,507,040","836,012,592,531","870,884,164,857","762,346,801,039","745,862,703,201","817,878,785,574","688,722,572,736","681,216,983,790",
				AccountsPayable,"3,828,068,000,000","3,819,334,000,000","3,168,084,000,000","2,953,716,000,000","2,354,425,000,000","2,674,520,000,000","2,586,657,000,000","2,566,382,000,000","2,389,515,000,000","2,410,588,000,000","2,213,218,000,000","2,113,778,000,000","2,242,583,000,000","1,503,072,000,000","1,956,505,000,000","1,299,455,000,000","2,212,773,000,000","2,211,723,047,040","2,086,393,628,700","1,857,702,066,640","1,686,092,664,150","1,503,096,796,020","1,416,951,271,190","1,313,054,925,240","1,256,062,451,200","1,223,055,840,500","1,050,745,944,750","1,040,253,507,040","836,012,592,531","870,884,164,857","762,346,801,039","745,862,703,201","817,878,785,574","688,722,572,736","681,216,983,790",
				TotalTaxPayable,"1,224,542,000,000","404,606,000,000","826,815,000,000","350,880,000,000","212,276,000,000","321,316,000,000","462,327,000,000","223,574,000,000","343,325,000,000","348,786,000,000","594,829,000,000","156,266,000,000","133,778,000,000","112,801,000,000","153,387,000,000","51,298,000,000","305,592,000,000",,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"1,224,542,000,000","404,606,000,000","826,815,000,000","350,880,000,000","212,276,000,000","321,316,000,000","462,327,000,000","223,574,000,000","343,325,000,000","348,786,000,000","594,829,000,000","156,266,000,000","133,778,000,000","112,801,000,000","153,387,000,000","51,298,000,000","305,592,000,000",,,,,,,,,,,,,,,,,,,
				OtherPayable,"1,423,289,000,000","1,166,974,000,000","1,124,008,000,000","1,092,223,000,000","1,143,605,000,000","1,181,613,000,000","1,048,216,000,000","936,938,000,000","1,040,277,000,000","913,013,000,000","845,426,000,000","721,065,000,000","629,093,000,000","579,326,000,000","572,450,000,000","670,634,000,000","806,514,000,000",,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,863,760,000,000","1,552,345,000,000","1,520,446,000,000","1,397,140,000,000","1,256,794,000,000","1,350,252,000,000","3,104,260,000,000","3,137,827,000,000","2,726,120,000,000","2,668,666,000,000","2,313,160,000,000","2,185,537,000,000","1,828,523,000,000","1,773,233,000,000","1,735,930,000,000","1,540,681,000,000","1,606,964,000,000","1,668,453,551,520","1,464,100,775,550","1,290,011,305,800","1,117,910,816,650","1,043,827,050,560","925,849,597,140","828,667,298,670",,,,,,,,,,,,
