Date,Open,High,Low,Close,Adj Close,Volume
2010-04-20,2.482400,2.504600,2.440000,2.481600,2.481600,27335000
2010-04-21,2.475800,2.535000,2.471200,2.535000,2.535000,49650000
2010-04-22,2.725400,2.902200,2.660200,2.894400,2.894400,139345000
2010-04-23,2.900000,2.900000,2.815400,2.859600,2.859600,50075000
2010-04-26,2.859000,2.907800,2.836600,2.839600,2.839600,25480000
2010-04-27,2.837400,2.870000,2.780000,2.780800,2.780800,31830000
2010-04-28,2.839000,2.839000,2.694800,2.705400,2.705400,44125000
2010-04-29,2.720000,2.804600,2.720000,2.782600,2.782600,32915000
2010-04-30,2.793800,2.856800,2.697400,2.698200,2.698200,25805000
2010-05-03,2.705400,2.795800,2.698200,2.778000,2.778000,36000000
2010-05-04,2.751000,2.766200,2.660000,2.667800,2.667800,36850000
2010-05-05,2.626600,2.743000,2.560400,2.700000,2.700000,36500000
2010-05-06,2.699600,2.740400,2.480000,2.630400,2.630400,49390000
2010-05-07,2.607800,2.667000,2.527200,2.576600,2.576600,46935000
2010-05-10,2.699800,2.752000,2.682600,2.738400,2.738400,27785000
2010-05-11,2.721400,2.824800,2.715000,2.761200,2.761200,30180000
2010-05-12,2.790000,2.855600,2.785200,2.847400,2.847400,26490000
2010-05-13,2.878000,2.977400,2.823800,2.837000,2.837000,53225000
2010-05-14,2.828400,2.839800,2.721600,2.772200,2.772200,33360000
2010-05-17,2.784200,2.817400,2.686800,2.780600,2.780600,25125000
2010-05-18,2.805000,2.889800,2.747800,2.793200,2.793200,35205000
2010-05-19,2.761600,2.815800,2.718200,2.778200,2.778200,34230000
2010-05-20,2.680000,2.740800,2.655400,2.676800,2.676800,35185000
2010-05-21,2.632000,2.748600,2.581400,2.715400,2.715400,38575000
2010-05-24,2.735400,2.818800,2.715600,2.749600,2.749600,28080000
2010-05-25,2.720000,2.734800,2.600800,2.725600,2.725600,33600000
2010-05-26,2.785800,2.848000,2.749400,2.761800,2.761800,33010000
2010-05-27,2.815400,2.879800,2.792000,2.879800,2.879800,33820000
2010-05-28,2.896000,2.920000,2.841000,2.845600,2.845600,25535000
2010-06-01,2.827000,2.874200,2.805400,2.825000,2.825000,28470000
2010-06-02,2.847200,2.953600,2.808000,2.952200,2.952200,38920000
2010-06-03,2.969000,3.055800,2.955800,2.978000,2.978000,59925000
2010-06-04,2.940800,2.999600,2.867000,2.876200,2.876200,51770000
2010-06-07,2.925000,2.925000,2.771800,2.781400,2.781400,38420000
2010-06-08,2.794400,2.844200,2.707200,2.840600,2.840600,49055000
