name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
	ChangesInCash,"337,000,000","-146,000,000","-16,000,000","-169,000,000","178,000,000","440,000,000","-135,000,000","186,000,000","-6,000,000","-224,000,000","239,000,000","45,000,000","-114,000,000","-566,000,000","-225,000,000","905,000,000","-13,000,000","-377,000,000"
	EffectOfExchangeRateChanges,"0","-2,000,000","18,000,000","-3,000,000","-4,000,000","1,000,000","5,000,000","-7,000,000","12,000,000","-4,000,000","-8,000,000","-4,000,000","-7,000,000","-10,000,000","8,000,000","-6,000,000","25,000,000","-14,000,000"
	BeginningCashPosition,"931,000,000","1,067,000,000","1,065,000,000","1,237,000,000","1,063,000,000","622,000,000","752,000,000","573,000,000","567,000,000","685,000,000","454,000,000","413,000,000","534,000,000","1,110,000,000","1,327,000,000","428,000,000","416,000,000","807,000,000"
IncomeTaxPaidSupplementalData,"125,000,000","153,000,000","101,000,000",,"63,000,000","175,000,000","292,000,000","175,000,000","95,000,000","145,000,000","267,000,000","119,000,000","50,000,000","60,000,000","63,000,000","60,000,000","198,000,000",
InterestPaidSupplementalData,"130,000,000","115,000,000","138,000,000","145,000,000","105,000,000","79,000,000","73,000,000","80,000,000","75,000,000","69,000,000","71,000,000","66,000,000","68,000,000","49,000,000","57,000,000","50,000,000","62,000,000",
CapitalExpenditure,"-204,000,000","-208,000,000","-201,000,000","-111,000,000","-122,000,000","-369,000,000","-297,000,000","-298,000,000","-211,000,000","-269,000,000","-253,000,000","-232,000,000","-301,000,000","-331,000,000","-310,000,000","-325,000,000","-286,000,000","-617,000,000"
IssuanceOfCapitalStock,,"0","0","575,000,000","0","0",,,,,,,,"0","0","1,482,000,000","0","500,000,000"
IssuanceOfDebt,"1,426,000,000","596,000,000","0","1,949,000,000","2,035,000,000","400,000,000","416,000,000","670,000,000","620,000,000","12,000,000","249,000,000","385,000,000","10,000,000","519,000,000","0","1,173,000,000","175,000,000","1,386,000,000"
RepaymentOfDebt,"-642,000,000","-660,000,000","-711,000,000","-1,218,000,000","-406,000,000","-409,000,000","-231,000,000","-782,000,000","-438,000,000","-5,000,000","-399,000,000","-368,000,000","0","-54,000,000","-39,000,000","-1,562,000,000","-169,000,000","-1,158,000,000"
RepurchaseOfCapitalStock,"-761,000,000","-453,000,000","-369,000,000","0","-69,000,000","-421,000,000","-946,000,000","-743,000,000","-272,000,000","-715,000,000","-443,000,000","-275,000,000","-136,000,000","-396,000,000","0","0","0","-1,101,000,000"
FreeCashFlow,"644,000,000","592,000,000","473,000,000","204,000,000","-733,000,000","27,000,000","44,000,000","289,000,000","251,000,000","269,000,000","220,000,000","224,000,000","198,000,000","62,000,000","140,000,000","-49,000,000","5,000,000","-231,000,000"
