name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		RetainedEarnings,"6,056,985,000","4,828,248,000","3,929,147,000","3,276,163,000","2,921,448,000","2,573,617,000","2,397,064,000","2,220,811,000","2,197,873,000","1,722,271,000","1,276,897,000","949,459,000","671,459,000","456,514,000","277,533,000","150,688,000","72,486,000","2,972,000","-38,451,000","-76,147,000",,,
		TreasuryStock,"4,944,656,000","4,282,014,000","3,356,102,000","2,802,075,000","2,699,119,000","2,500,556,000","2,334,409,000","2,049,389,000","1,234,612,000","748,759,000","660,421,000","521,518,000","304,426,000","240,918,000","114,316,000","30,227,000","0",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-6,657,000","-7,888,000","-5,354,000","-4,229,000","-5,363,000","-6,236,000","-3,659,000","-8,162,000","-8,273,000","-429,000","1,620,000","1,024,000","197,000","606,000","29,000","-193,000","0","7,000","-28,186,000","-45,976,000",,,
			OtherEquityAdjustments,"-6,657,000","-7,888,000","-5,354,000","-4,229,000","-5,363,000","-6,236,000","-3,659,000","-8,162,000","-8,273,000","-429,000","1,620,000","1,024,000","197,000",,,,,,,,,,
TotalCapitalization,"3,062,207,000","2,368,023,000","2,297,374,000","2,020,135,000","1,683,026,000","1,441,339,000","1,364,445,000","1,402,493,000","2,127,974,000","2,012,369,000","1,538,288,000","1,245,926,000","1,044,226,000","810,873,000","703,461,000","622,590,000","562,110,000","473,957,000","309,354,000","262,566,000","191,508,000","161,254,000","123,697,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,"204,000",,,
CommonStockEquity,"3,062,207,000","2,368,023,000","2,297,374,000","2,020,135,000","1,683,026,000","1,441,339,000","1,364,445,000","1,402,493,000","2,127,974,000","2,012,369,000","1,538,288,000","1,245,926,000","1,044,226,000","810,873,000","703,461,000","622,590,000","562,110,000","473,957,000","309,354,000","262,362,000","191,508,000","161,254,000","123,697,000"
CapitalLeaseObligations,"4,051,625,000","3,731,410,000","3,520,314,000","3,157,052,000","2,851,513,000","0",,,,,,"3,529,000","3,662,000","121,000","3,878,000","3,960,000","4,036,000",,,,,,
NetTangibleAssets,"3,040,268,000","2,346,084,000","2,275,435,000","1,998,196,000","1,661,087,000","1,419,400,000","1,342,506,000","1,380,554,000","2,106,035,000","1,990,430,000","1,516,349,000","1,223,987,000","1,022,287,000","788,934,000","681,522,000","600,651,000","540,171,000","456,219,000","291,616,000","236,323,000","191,508,000","161,254,000","123,697,000"
WorkingCapital,"590,088,000","253,957,000","507,882,000","598,038,000","405,611,000","364,804,000","305,642,000","240,581,000","534,705,000","613,801,000","467,079,000","359,755,000","343,739,000","283,167,000","195,301,000","134,284,000","128,543,000","117,636,000","-24,158,000","-28,331,000","-30,433,000","-585,000","-4,094,000"
InvestedCapital,"3,062,207,000","2,368,023,000","2,297,374,000","2,020,135,000","1,683,026,000","1,441,339,000","1,364,445,000","1,402,493,000","2,127,974,000","2,012,369,000","1,538,288,000","1,245,926,000","1,044,226,000","810,873,000","703,461,000","622,590,000","562,110,000","474,028,000","309,411,000","266,793,000","191,508,000","161,254,000","123,697,000"
TangibleBookValue,"3,040,268,000","2,346,084,000","2,275,435,000","1,998,196,000","1,661,087,000","1,419,400,000","1,342,506,000","1,380,554,000","2,106,035,000","1,990,430,000","1,516,349,000","1,223,987,000","1,022,287,000","788,934,000","681,522,000","600,651,000","540,171,000","456,219,000","291,616,000","236,119,000","191,508,000","161,254,000","123,697,000"
TotalDebt,"4,051,625,000","3,731,410,000","3,520,314,000","3,157,052,000","2,851,513,000","0",,,,,,"3,529,000","3,662,000","121,000","3,878,000","3,960,000","4,036,000","71,000","57,000","4,431,000",,,
NetDebt,,,,,,,,,,,,,,,,,,,,"4,431,000",,,
ShareIssued,"1,874,150,000","1,866,000,000","1,856,600,000","1,835,200,000","1,816,150,000","1,798,650,000","1,792,600,000","1,791,650,000","1,789,500,000","1,769,700,000","1,762,250,000","1,745,600,000","1,717,850,000","1,697,950,000","1,673,650,000","1,643,900,000","1,640,250,000","1,627,200,000","1,626,880,200","1,626,880,200","1,626,880,200","1,626,880,200","1,626,880,200"
OrdinarySharesNumber,"1,371,300,000","1,381,350,000","1,404,000,000","1,400,050,000","1,387,750,000","1,384,850,000","1,401,300,000","1,440,700,000","1,529,200,000","1,551,350,000","1,551,650,000","1,554,650,000","1,562,600,000","1,553,700,000","1,574,150,000","1,609,300,000","1,640,250,000","1,627,200,000","1,626,880,200","1,626,880,200","1,626,880,200","1,626,880,200","1,626,880,200"
TreasurySharesNumber,"502,850,000","484,650,000","452,600,000","435,150,000","428,400,000","413,800,000","391,300,000","350,950,000","260,300,000","218,350,000","210,600,000","190,950,000","155,250,000","144,250,000","99,500,000","34,600,000",,,,,,,
