name,ttm,06/30/2024,06/30/2023,06/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989
		NetOtherFinancingCharges,"-4,967,000","-4,967,000","-4,115,000","-14,030,000","-22,566,000","-9,143,000","-10,854,000","-9,388,000","-22,830,000","-764,309,000","-31,920,000","-168,090,000","87,370,000","-42,944,000","-14,479,000","-35,144,000","75,849,000","-383,338,000","1,102,673,000","8,800,000","-36,228,000","-27,322,000","-2,344,000","140,000","2,049,000","-33,322,000",,,,"1,000",,"100,000",,"-5,000,000","-200,000","300,000",
	CashFromDiscontinuedFinancingActivities,,,,,,,,,,,,,,,"0","0","4,783,000","-64,439,000","52,421,000",,,,,,,,,,,,,,,,,,
EndCashPosition,"1,075,193,000","1,075,193,000","1,015,316,000","1,050,713,000","1,062,920,000","2,873,020,000","1,707,727,000","1,663,678,000","1,117,539,000","1,000,911,000","2,007,190,000","2,185,307,000","1,747,584,000","1,944,334,000","1,677,844,000","1,804,045,000","1,654,663,000","664,897,000","921,838,000","673,827,000","1,071,226,000","1,072,745,000","875,353,000","436,145,000","271,813,000","379,901,000","193,240,000","900,856,000","457,079,000","685,660,000","90,248,000","41,300,000","0","0","0","0","0"
	ChangesInCash,"62,691,000","62,691,000","-30,540,000","-525,350,000","-1,828,418,000","1,170,578,000","47,712,000","547,282,000","121,092,000","-1,087,661,000","-168,131,000","455,341,000","-198,370,000","268,854,000","-132,045,000","137,704,000","989,766,000","907,708,000","248,011,000","-397,399,000","28,072,000","159,452,000","439,208,000","248,529,000","-108,088,000","186,661,000","-707,616,000","443,777,000","52,060,000","595,412,000","48,905,000","-2,100,000","30,000,000","-23,200,000","-6,400,000","8,400,000","-17,400,000"
	EffectOfExchangeRateChanges,"-2,814,000","-2,814,000","-4,857,000","-8,101,000","18,318,000","-5,285,000","-3,663,000","-1,143,000","-4,464,000","-10,590,000","-9,986,000","-17,618,000","1,620,000","-2,364,000","5,844,000","11,678,000","0",,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"1,015,316,000","1,015,316,000","1,050,713,000","1,584,164,000","2,873,020,000","1,707,727,000","1,663,678,000","1,117,539,000","1,000,911,000","2,099,162,000","2,185,307,000","1,747,584,000","1,944,334,000","1,677,844,000","1,804,045,000","1,654,663,000","664,897,000","816,917,000","673,827,000","1,071,226,000","1,043,154,000","913,293,000","436,145,000","187,616,000","379,901,000","193,240,000","900,856,000","457,079,000","405,019,000","90,248,000","41,343,000","43,400,000","13,500,000","36,700,000","43,200,000","34,800,000","52,100,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,"-295,933,000","-1,059,728,000",,,,,,,,,,,,,,"-41,300,000","-43,500,000","-13,500,000","-36,800,000","-43,200,000","-34,700,000"
IncomeTaxPaidSupplementalData,"131,173,000","131,173,000",,"31,689,000","236,459,000","89,204,000","132,982,000","8,276,000","163,539,000","165,154,000","236,624,000","155,735,000","155,617,000","218,444,000","244,917,000","359,559,000","1,593,000","238,803,000",,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"75,694,000","75,694,000","69,554,000","81,960,000","103,855,000","87,426,000","82,442,000","84,320,000","87,185,000","59,058,000","44,847,000","55,221,000","79,224,000","76,524,000","82,332,000","88,461,000","103,545,000","217,682,000",,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-63,678,000","-63,678,000","-69,698,000","-61,955,000","-52,792,000","-81,685,000","-95,490,000","-98,583,000","-89,255,000","-99,923,000","-123,158,000","-147,011,000","-113,239,000","-82,457,000","-62,959,000","-90,515,000","-97,880,000","-101,554,000","-161,091,000","-250,510,000","-209,458,000","-123,826,000","-150,897,000","-111,775,000","-90,033,000","-141,856,000","-78,823,000","-46,803,000","-44,277,000","-264,491,000","-123,337,000","-83,700,000","-71,900,000","-55,800,000","-38,300,000","-28,400,000","-26,600,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,"0","0","141,415,000","0","25,703,000","108,507,000","136,102,000","119,956,000","126,325,000","195,233,000","19,550,000","36,958,000","79,961,000","58,881,000","3,439,000","531,991,000","57,997,000","50,300,000","62,200,000","55,800,000","30,600,000","37,700,000","15,600,000"
IssuanceOfDebt,"1,025,000,000","1,025,000,000","970,000,000","705,000,000","1,922,965,000","3,335,000,000","720,000,000","830,000,000","1,700,000,000","2,461,831,000","1,049,136,000","316,000,000","1,711,423,000","664,167,000","4,818,766,000","5,648,740,000","4,733,294,000","13,237,999,000",,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-1,025,000,000","-1,025,000,000","-970,000,000","-1,205,000,000","-3,925,000,000","-1,335,000,000","-720,000,000","-830,000,000","-1,700,000,000","-1,465,000,000","-1,449,136,000","-316,000,000","-1,850,859,000","-689,167,000","-4,868,766,000","-5,656,247,000","-4,762,294,000","-14,180,705,000",,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-379,569,000","-379,569,000","-568,952,000","-563,174,000","-191,294,000","-256,214,000","-189,912,000","-9,147,000","-322,850,000","-2,018,338,000","-10,449,000","-6,106,000","-340,413,000","-180,592,000","-283,534,000","-254,250,000","-106,189,000","-7,280,000","-188,802,000","-260,312,000","-530,022,000","-519,862,000","-317,570,000","-462,938,000","-222,895,000","-50,654,000","-492,945,000","-18,351,000",,"-71,897,000","-114,900,000","-68,900,000","-94,800,000","-86,500,000","-24,200,000","-38,800,000",
FreeCashFlow,"657,182,000","657,182,000","752,143,000","746,582,000","573,136,000","27,276,000","511,048,000","751,420,000","462,942,000","444,630,000","503,450,000","662,570,000","383,869,000","279,592,000","449,544,000","496,954,000","926,559,000","157,206,000","-745,815,000","343,632,000","304,939,000","728,637,000","539,928,000","629,671,000","205,482,000","348,722,000","141,953,000","138,200,000","44,154,000","-53,747,000","1,026,000","204,100,000","272,600,000","288,800,000","156,000,000","89,000,000","11,000,000"
