name,ttm,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990
PretaxIncome,"3,307,370,000","3,167,614,000","3,079,091,000","2,749,190,000","2,216,514,000","2,031,333,000","1,636,329,000","1,925,489,000","1,912,714,000","1,802,612,000","1,662,714,000","1,587,683,000","1,452,986,000","1,324,246,000","1,160,505,000","1,033,746,000","1,007,389,000","936,150,000","902,036,000","873,224,000","905,902,000","833,007,000","691,148,000","287,026,000","435,190,000","387,800,000","364,100,000","312,500,000","267,000,000","228,300,000","193,000,000","143,200,000","104,500,000","72,100,000","38,300,000"
TaxProvision,"682,310,000","639,188,000","649,487,000","578,876,000","483,542,000","414,112,000","298,793,000","644,620,000","671,707,000","642,371,000","592,970,000","571,203,000","522,613,000","475,272,000","422,194,000","376,697,000","365,783,000","340,478,000","332,761,000","302,202,000","339,700,000","315,403,000","263,000,000","111,500,000","167,600,000","143,000,000","136,200,000","117,500,000","99,800,000","89,500,000","76,600,000","56,300,000","41,200,000","28,100,000","15,000,000"
NetIncomeCommonStockholders,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
	NetIncome,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
		NetIncomeIncludingNoncontrollingInterests,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
			NetIncomeContinuousOperations,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
DilutedNIAvailtoComStockholders,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
BasicEPS,"148.6","136.6","120.83","97.6","73.62","64.78","49.59","45.05","41.52","36.76","32.16","28.28","24.04","19.91","15.23","11.89","10.14","8.62","7.57","7.27","7.111","5.835","4.1","1.56","2.202","1.64","1.5","1.29","1.13","0.93","0.78","0.59","0.43","0.33","0.19"
DilutedEPS,"144.37","132.36","117.19","95.19","71.93","63.43","48.77","44.07","40.7","36.03","31.57","27.79","23.48","19.47","14.97","11.73","10.04","8.53","7.5","7.18","6.56","5.34","4","1.54","2","1.63","1.48","1.28","1.11","0.93","0.78","0.59","0.43","0.33","0.19"
BasicAverageShares,"17,560,500","18,510,000","20,107,000","22,237,000","23,540,000","24,966,000","26,970,000","28,430,000","29,889,000","31,560,000","33,267,000","35,943,000","38,696,000","42,632,000","48,488,000","55,282,000","63,295,000","69,101,000","75,237,000","78,530,000","86,432,000","97,307,000","104,446,000","112,834,000","137,855,000","149,268,293","151,933,333","151,162,791","147,964,602","149,247,312","149,230,769","147,288,136","147,209,302","133,333,333","122,631,579"
