name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
				OtherProperties,"7,327,000,000","5,142,000,000","4,204,000,000","3,369,000,000","2,711,000,000","1,398,000,000","1,255,952,000","818,341,000","550,902,000","295,906,000","230,385,000","172,584,000","16,584,000","7,963,000",,,
				ConstructionInProgress,"5,804,000,000","4,281,000,000","5,598,000,000","1,694,000,000","841,000,000","875,000,000","2,785,435,000","2,608,245,000","693,207,000","572,125,000","76,294,000","75,129,000","227,461,000","58,917,000","2,619,000","0","0"
				Leases,"3,168,000,000","2,366,000,000","1,826,000,000","1,421,000,000","1,087,000,000","961,000,000","789,751,000","505,295,000","338,392,000","230,270,000","94,763,000","39,224,000","27,901,000","13,993,000","5,325,000","3,881,000","1,793,000"
			AccumulatedDepreciation,"-15,080,000,000","-11,499,000,000","-8,691,000,000","-6,518,000,000","-4,863,000,000","-3,653,000,000","-2,677,204,000","-1,417,142,000","-787,626,000","-375,690,000","-159,642,000","-57,543,000","-32,222,000","-21,993,000","-12,730,000","-6,826,000","-3,198,000"
		GoodwillAndOtherIntangibleAssets,"615,000,000","593,000,000","1,717,000,000","520,000,000","537,000,000","350,000,000","421,739,000","376,145,000","12,816,000",,"13,930,000","14,267,000","14,508,000",,,,
			Goodwill,"253,000,000","194,000,000","200,000,000","207,000,000","198,000,000","68,000,000","60,237,000","0",,,,,,,,,
			OtherIntangibleAssets,"362,000,000","399,000,000","1,517,000,000","313,000,000","339,000,000","282,000,000","361,502,000","376,145,000","12,816,000",,"13,930,000","14,267,000","14,508,000",,,,
		NonCurrentNoteReceivables,,,,,"393,000,000","422,000,000","456,652,000","506,302,000","0",,,,,,,,
		NonCurrentDeferredAssets,"6,733,000,000","328,000,000",,,,,,,,,"7,315,000","5,759,000","6,407,000",,,,
			NonCurrentDeferredTaxesAssets,"6,733,000,000","328,000,000",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"4,531,000,000","3,865,000,000","2,138,000,000","1,536,000,000","1,470,000,000","970,000,000","714,845,000","484,916,000","78,380,000","54,583,000","30,072,000","7,096,000","9,524,000","27,597,000","6,330,000","1,479,000","531,000"
TotalLiabilitiesNetMinorityInterest,"43,009,000,000","36,440,000,000","30,548,000,000","28,469,000,000","26,199,000,000","23,427,000,000","23,023,050,000","16,758,951,000","6,984,235,000","4,918,957,000","1,749,810,000","989,490,000","489,403,000","179,034,000","383,947,000","251,413,000","152,683,000"
