name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,"4,404,855",,"7,628,310",,,"17,427,000"
OperatingIncome,"2,299,374,000","2,207,177,000","1,726,141,000","1,374,749,000","849,828,000","889,110,000","705,836,000","494,526,000","421,152,000","369,076,000","376,033,000","391,358,000","376,439,000","286,958,000","180,391,000","86,925,000","56,564,166","51,551,207","16,223,648","3,726,708","40,748,376","761,000"
NetNonOperatingInterestIncomeExpense,,,,,,,,,,,,,,,,,,,,,,"4,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,"-4,000"
OtherIncomeExpense,"-5,552,000","-31,442,000","-393,570,000","-40,880,000","-30,478,000","8,283,000","9,414,000","-34,528,000","1,577,000","-581,000","7,102,000","5,768,000","4,957,000","2,500,000","2,886,000","-215,000","-3,583,443","1,029,118","-7,123,906",,,
	SpecialIncomeCharges,,"-74,501,000","-397,733,000","-41,394,000","-29,842,000","0","0","-38,525,000","0","0",,,,"0","1,114,000","-379,000","-3,583,443","1,029,118","-7,123,906",,,
		RestructuringAndMergernAcquisition,,"30,315,000","0","41,394,000","29,842,000","0","0","26,932,000","0","0",,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"44,186,000","407,913,000","0","0","0","0","11,593,000","0","0",,,,"0","1,772,000","379,000",,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,"-2,886,000","-164,000",,,,,,
		GainOnSaleOfPPE,,"0","10,180,000","0","0",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"68,949,000","43,059,000","4,163,000","514,000","-636,000","8,283,000","9,414,000","3,997,000","1,577,000","-581,000","7,102,000","5,768,000","4,957,000","2,500,000","2,886,000","164,000",,,,,,
PretaxIncome,"2,293,822,000","2,175,735,000","1,332,571,000","1,333,869,000","819,350,000","897,393,000","715,250,000","459,998,000","422,729,000","368,495,000","383,135,000","397,126,000","381,396,000","289,458,000","183,277,000","86,710,000","57,385,578","52,580,325","16,728,052","3,730,250",,"757,000"
TaxProvision,"661,297,000","625,545,000","477,771,000","358,547,000","230,437,000","251,797,000","231,449,000","201,336,000","119,348,000","102,448,000","144,102,000","117,579,000","109,965,000","104,494,000","61,080,000","28,429,000","16,883,986","20,464,444","8,751,675","2,336,146",,
NetIncomeCommonStockholders,"1,632,525,000","1,550,190,000","854,800,000","975,322,000","588,913,000","645,596,000","483,801,000","258,662,000","303,381,000","266,047,000","239,033,000","279,547,000","270,556,000","184,063,000","121,847,000","58,281,000","39,363,227","30,842,452","7,666,331","1,394,104","-1,411,032","319,000"
	NetIncome,"1,632,525,000","1,550,190,000","854,800,000","975,322,000","588,913,000","645,596,000","483,801,000","258,662,000","303,381,000","266,047,000","239,033,000","279,547,000","270,556,000","184,063,000","121,847,000","58,281,000","39,363,227","30,842,452","7,666,331","1,394,104","-1,411,032","319,000"
		NetIncomeIncludingNoncontrollingInterests,"1,632,525,000","1,550,190,000","854,800,000","975,322,000","588,913,000","645,596,000","483,801,000","258,662,000","303,381,000","266,047,000","239,033,000","279,547,000","271,431,000","184,964,000","122,197,000","58,281,000","39,363,227","30,842,452","7,666,331","1,394,104","-1,411,032","319,000"
			NetIncomeContinuousOperations,"1,632,525,000","1,550,190,000","854,800,000","975,322,000","588,913,000","645,596,000","483,801,000","258,662,000","303,381,000","266,047,000","239,033,000","279,547,000","271,431,000","184,964,000","122,197,000","58,281,000","40,501,592","32,115,881","7,976,377","1,394,104","-1,411,032","319,000"
