name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
		CapitalExpenditureReported,"-19,700,000","-19,700,000","-82,400,000","-337,300,000","-252,300,000","-156,500,000",,,
		NetPPEPurchaseAndSale,"31,900,000","31,900,000","0","0","-241,000,000","-156,400,000","-83,000,000","-28,000,000","-10,200,000"
			PurchaseOfPPE,,,,,"-241,000,000","-156,400,000","-83,000,000","-28,000,000","-10,200,000"
			SaleOfPPE,"31,900,000","31,900,000","0","0",,,,,
		NetIntangiblesPurchaseAndSale,,,,,"-11,200,000","-3,500,000","-600,000",,
			PurchaseOfIntangibles,,,,,"-11,200,000","-3,500,000","-600,000",,
		NetBusinessPurchaseAndSale,"14,600,000","14,600,000","12,400,000","-11,000,000","-478,200,000","-45,000,000","-100,000","-28,700,000","0"
			PurchaseOfBusiness,"0","0","0","-11,000,000","-478,200,000","-45,000,000","-100,000","-28,700,000","0"
			SaleOfBusiness,"14,600,000","14,600,000","12,400,000","0",,,,,
		NetInvestmentPurchaseAndSale,"0","0","0","517,700,000","223,500,000","-539,900,000","-213,800,000","0","0"
			PurchaseOfInvestment,,,"0","0","-449,100,000","-1,199,600,000","-249,800,000","0","0"
			SaleOfInvestment,"0","0","0","517,700,000","672,600,000","659,700,000","36,000,000","0","0"
		NetOtherInvestingChanges,,,"100,000","-16,100,000","-78,100,000","100,000",,,
FinancingCashFlow,"-94,400,000","-94,400,000","76,800,000","2,015,100,000","916,800,000","1,240,200,000","417,200,000","3,100,000","143,600,000"
	CashFlowFromContinuingFinancingActivities,"-94,400,000","-94,400,000","76,900,000","2,015,100,000","916,800,000","1,240,100,000","417,200,000","3,100,000","143,600,000"
		NetIssuancePaymentsOfDebt,"-138,700,000","-138,700,000","-9,800,000","694,700,000","976,400,000","0","0","-3,100,000","-2,500,000"
			NetLongTermDebtIssuance,"-138,700,000","-138,700,000","-9,800,000","694,700,000","976,400,000","0","0","-3,100,000","-13,000,000"
				LongTermDebtIssuance,"1,329,200,000","1,329,200,000","0","696,400,000","977,200,000","0","0",,
				LongTermDebtPayments,"-1,467,900,000","-1,467,900,000","-9,800,000","-1,700,000","-800,000","0","0","-3,100,000","-13,000,000"
			NetShortTermDebtIssuance,,,,"696,400,000","0","0","0","0","10,500,000"
				ShortTermDebtIssuance,,,,"696,400,000","0","0","0","0","10,500,000"
		NetCommonStockIssuance,"0","0","0","1,218,800,000","0","1,195,700,000","-130,300,000","0","-170,000,000"
			CommonStockIssuance,"0","0","0","1,218,800,000","0","1,195,700,000","0","0",
			CommonStockPayments,,,,,"0","0","-130,300,000","0","-170,000,000"
		NetPreferredStockIssuance,,,,,"0","0","539,100,000","0","315,600,000"
			PreferredStockIssuance,,,,,"0","0","539,100,000","0","315,600,000"
		ProceedsFromStockOptionExercised,"44,300,000","44,300,000","86,700,000","101,600,000","75,600,000","44,400,000","9,300,000","7,400,000","700,000"
		NetOtherFinancingCharges,,,"-100,000",,"-135,200,000","100,000","-900,000","-1,200,000","-200,000"
EndCashPosition,"750,900,000","750,900,000","885,500,000","1,257,600,000","1,135,700,000","1,037,000,000","163,000,000","151,600,000","155,500,000"
	ChangesInCash,"-133,600,000","-133,600,000","-380,700,000","148,400,000","92,000,000","875,200,000","11,200,000","-3,900,000","114,800,000"
	EffectOfExchangeRateChanges,"-1,000,000","-1,000,000","8,600,000","-26,500,000","6,700,000","-1,200,000","200,000","0","0"
	BeginningCashPosition,"885,500,000","885,500,000","1,257,600,000","1,135,700,000","1,037,000,000","163,000,000","151,600,000","155,500,000","40,700,000"
IncomeTaxPaidSupplementalData,"0","0","14,900,000","15,200,000","3,500,000","4,100,000","0","0",
InterestPaidSupplementalData,"95,600,000","95,600,000","79,000,000","1,000,000","1,300,000","1,900,000","1,100,000","300,000","200,000"
CapitalExpenditure,"-19,700,000","-19,700,000","-82,400,000","-337,300,000","-252,300,000","-156,500,000","-83,600,000","-28,000,000","-10,200,000"
IssuanceOfCapitalStock,"0","0","0","1,218,800,000","0","1,195,700,000","539,100,000","0","315,600,000"
IssuanceOfDebt,"1,329,200,000","1,329,200,000","0","696,400,000","977,200,000","0","0","0","10,500,000"
RepaymentOfDebt,"-1,467,900,000","-1,467,900,000","-9,800,000","-1,700,000","-800,000","0","0","-3,100,000","-13,000,000"
RepurchaseOfCapitalStock,,,,,"0","0","-130,300,000","0","-170,000,000"
FreeCashFlow,"-85,800,000","-85,800,000","-470,000,000","-2,357,300,000","-492,000,000","219,900,000","-192,200,000","21,700,000","-28,800,000"
