name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012
				ConstructionInProgress,"375,305,000","250,160,000","128,673,000","170,061,000","58,759,000","24,767,000","28,155,000","37,145,000","15,815,000","21,478,000","35,996,000","19,041,000","8,755,000"
				Leases,"996,994,000","881,695,000","828,095,000","772,825,000","761,561,000","694,145,000","604,470,000","561,371,000","511,036,000","466,940,000","432,644,000","405,199,000","374,378,000"
			AccumulatedDepreciation,"-1,952,950,000","-1,717,890,000","-1,651,447,000","-1,498,655,000","-1,362,282,000","-1,290,203,000","-1,190,287,000","-1,127,337,000","-1,027,184,000","-932,895,000","-825,304,000","-722,870,000","-616,947,000"
		GoodwillAndOtherIntangibleAssets,"285,064,000","285,064,000","285,064,000","285,064,000","285,064,000","449,388,000","474,011,000","498,244,000","523,817,000","551,461,000","577,617,000","607,145,000","644,967,000"
			Goodwill,"47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000","47,064,000"
			OtherIntangibleAssets,"238,000,000","238,000,000","238,000,000","238,000,000","238,000,000","402,324,000","426,947,000","451,180,000","476,753,000","504,397,000","530,553,000","560,081,000","597,903,000"
		NonCurrentDeferredAssets,"2,436,000","3,205,000","3,959,000","4,422,000","4,678,000","4,361,000","6,952,000","7,973,000","0",,,,
			NonCurrentDeferredTaxesAssets,"2,436,000","3,205,000","3,959,000","4,422,000","4,678,000","4,361,000","6,952,000","7,973,000","0",,,,
		OtherNonCurrentAssets,"79,223,000","83,599,000","62,136,000","72,761,000","85,731,000","99,818,000","96,661,000","90,495,000","96,444,000","115,206,000","124,298,000","112,978,000","112,973,000"
TotalLiabilitiesNetMinorityInterest,"6,709,908,000","6,474,692,000","6,329,096,000","6,316,338,000","5,065,710,000","2,756,462,000","2,726,055,000","2,624,295,000","2,670,835,000","2,690,520,000","2,771,560,000","3,587,540,000","3,497,033,000"
	CurrentLiabilities,"2,028,786,000","1,911,951,000","1,947,647,000","1,683,996,000","1,461,901,000","1,247,742,000","1,119,631,000","996,834,000","886,588,000","933,117,000","903,816,000","740,055,000","505,287,000"
		PayablesAndAccruedExpenses,"956,350,000","955,793,000","1,080,802,000","862,638,000","759,107,000","848,561,000","736,252,000","640,326,000","598,199,000","621,682,000","542,987,000","500,406,000","276,285,000"
			Payables,"956,350,000","955,793,000","1,080,802,000","862,638,000","759,107,000","848,561,000","736,252,000","640,326,000","598,199,000","621,682,000","542,987,000","500,406,000","276,285,000"
				AccountsPayable,"956,350,000","955,793,000","1,080,802,000","862,638,000","759,107,000","848,561,000","736,252,000","640,326,000","598,199,000","621,682,000","542,987,000","500,406,000","276,285,000"
		CurrentDebtAndCapitalLeaseObligation,"425,098,000","414,745,000","373,150,000","308,528,000","305,762,000","2,924,000","13,164,000","1,638,000","1,403,000","1,167,000","59,026,000","784,000","7,659,000"
			CurrentDebt,"13,703,000","13,634,000","14,357,000","3,899,000","3,577,000","2,924,000","13,164,000","1,638,000","1,403,000","1,167,000","59,026,000","784,000","7,659,000"
				OtherCurrentBorrowings,"13,703,000","13,634,000","14,357,000","3,899,000","3,577,000","2,924,000",,,,,,,
			CurrentCapitalLeaseObligation,"411,395,000","401,111,000","358,793,000","304,629,000","302,185,000","0",,,,,,,
