name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991
		DeferredTax,"-31,175,000","-29,085,000","-23,823,000","2,535,000","-13,061,000","-2,557,000","23,639,000","63,381,000","7,114,000","-7,436,000","-248,000","-28,344,000","-9,029,000","14,210,000","23,566,000","-23,595,000","5,107,000","-31,951,000","-50,751,000","-20,791,000","-6,254,000","-6,472,000","-2,516,000","-6,726,000","4,815,000","-7,000","500,000","3,200,000","-300,000","100,000","1,300,000","-200,000","-800,000","-2,800,000",
			DeferredIncomeTax,"-31,175,000","-29,085,000","-23,823,000","2,535,000","-13,061,000","-2,557,000","23,639,000","63,381,000","7,114,000","-7,436,000","-248,000","-28,344,000","-9,029,000","14,210,000","23,566,000","-23,595,000","5,107,000","-31,951,000","-50,751,000","-20,791,000","-6,254,000","-6,472,000","-2,516,000","-6,726,000","4,815,000","-7,000","500,000","3,200,000","-300,000","100,000","1,300,000","-200,000","-800,000","-2,800,000",
		AmortizationOfSecurities,,,,,,,,,,,,,,,"-37,115,000","-36,799,000","-31,266,000","-29,400,000",,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,"6,071,000","840,000","5,453,000","30,533,000",,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"85,441,000","84,754,000","90,268,000","95,240,000","73,185,000","64,163,000","59,802,000","42,988,000","51,116,000","41,357,000","44,632,000","38,788,000","31,042,000","24,336,000","26,630,000","24,989,000","12,131,000","26,812,000",,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-1,664,000","98,000","392,000","74,000","42,000","494,000","-789,000","714,000","1,059,000","3,922,000",,,,,,,,,,,,,,,,,
		OtherNonCashItems,"255,186,000","252,490,000","229,011,000","212,894,000","210,321,000","208,070,000","-26,778,000","-25,507,000","-25,635,000","-24,572,000","-23,824,000","-25,382,000","-26,694,000","-27,530,000","-37,115,000","-36,799,000","-416,000","30,734,000","29,358,000",,,,,,,,,"100,000","400,000","300,000","-100,000","2,100,000","100,000","-600,000","-300,000"
		ChangeInWorkingCapital,"-197,479,000","167,893,000","-609,807,000","-262,961,000","102,669,000","-207,958,000","-3,378,000","-25,669,000","11,390,000","52,412,000","-32,792,000","37,172,000","-30,805,000","-90,540,000","-5,474,000","263,035,000","42,239,000","-65,002,000","-1,822,000","27,775,000","15,863,000","-44,441,000","89,381,000","51,608,000","66,023,000","-8,441,000","-9,600,000","900,000","66,700,000","-15,900,000","-11,800,000","6,000,000","-6,400,000","-7,900,000","-17,200,000"
			ChangeInReceivables,"4,434,000","-7,461,000","15,687,000","11,896,000","-31,503,000","-5,034,000","-15,329,000","149,000","-9,794,000","-12,849,000","-9,366,000","786,000","-16,408,000","-4,763,000","3,477,000","-6,620,000","9,579,000","2,091,000","1,070,000","-6,829,000","-10,900,000","2,796,000","-2,121,000","6,025,000","-15,754,000","-2,345,000","-4,800,000","-3,300,000","1,200,000","-7,600,000","-2,400,000","600,000","100,000","700,000","200,000"
				ChangesInAccountReceivables,"4,434,000","-7,461,000","15,687,000","11,896,000","-31,503,000","-5,034,000","-15,329,000","149,000","-9,794,000","-12,849,000","-9,366,000","786,000","-16,408,000","-4,763,000","3,477,000","-6,620,000","9,579,000","2,091,000",,,,,,,,,,,,,,,,,
