name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
			CommonStock,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","5,550,000,000","4,914,000,000"
		AdditionalPaidInCapital,"4,028,000,000","3,989,000,000","3,939,000,000","3,897,000,000","1,645,000,000","1,639,000,000","1,649,000,000","1,633,000,000","1,653,000,000","1,700,000,000","1,699,000,000","1,723,000,000","1,758,000,000",,
		RetainedEarnings,"8,162,000,000","5,608,000,000","5,077,000,000","4,550,000,000","2,890,000,000","2,511,000,000","2,118,000,000","1,980,000,000","1,627,000,000","1,548,000,000","1,446,000,000","856,000,000","110,000,000",,
		GainsLossesNotAffectingRetainedEarnings,"-645,000,000","-791,000,000","-672,000,000","-545,000,000","-719,000,000","-694,000,000","-471,000,000","-1,215,000,000","-1,033,000,000","-741,000,000","-237,000,000","-237,000,000","-183,000,000","91,000,000","24,000,000"
			OtherEquityAdjustments,"-645,000,000","-791,000,000",,,,,,,,,,,,,
	MinorityInterest,"296,000,000","285,000,000","214,000,000","195,000,000","192,000,000","211,000,000","218,000,000","362,000,000","483,000,000","503,000,000","523,000,000","485,000,000","483,000,000","458,000,000","428,000,000"
TotalCapitalization,"17,743,000,000","15,257,000,000","12,406,000,000","11,916,000,000","7,790,000,000","7,497,000,000","7,431,000,000","6,354,000,000","6,206,000,000","4,902,000,000","5,262,000,000","4,669,000,000","3,684,000,000","5,641,000,000","4,938,000,000"
CommonStockEquity,"11,548,000,000","8,809,000,000","8,347,000,000","7,905,000,000","3,819,000,000","3,459,000,000","3,299,000,000","2,401,000,000","2,250,000,000","2,510,000,000","2,911,000,000","2,345,000,000","1,688,000,000","5,641,000,000","4,938,000,000"
CapitalLeaseObligations,"588,000,000","488,000,000","396,000,000","400,000,000","423,000,000","0",,,,,,,,,
NetTangibleAssets,"3,998,000,000","1,118,000,000","4,872,000,000","4,234,000,000","226,000,000","-445,000,000","136,000,000","-249,000,000","-672,000,000","1,126,000,000","1,692,000,000","1,069,000,000","1,092,000,000","4,976,000,000","4,188,000,000"
WorkingCapital,"3,439,000,000","2,919,000,000","4,229,000,000","3,419,000,000","1,265,000,000","1,083,000,000","2,101,000,000","1,271,000,000","1,194,000,000","1,335,000,000","1,858,000,000","1,568,000,000","1,789,000,000","3,947,000,000","3,409,000,000"
InvestedCapital,"17,747,000,000","15,282,000,000","12,414,000,000","12,006,000,000","8,183,000,000","7,803,000,000","7,448,000,000","6,364,000,000","6,258,000,000","4,936,000,000","5,323,000,000","4,809,000,000","3,791,000,000","5,859,000,000","5,240,000,000"
TangibleBookValue,"3,998,000,000","1,118,000,000","4,872,000,000","4,234,000,000","226,000,000","-445,000,000","136,000,000","-249,000,000","-672,000,000","1,126,000,000","1,692,000,000","1,069,000,000","1,092,000,000","4,976,000,000","4,188,000,000"
TotalDebt,"6,787,000,000","6,961,000,000","4,463,000,000","4,501,000,000","4,787,000,000","4,344,000,000","4,149,000,000","3,963,000,000","4,008,000,000","2,426,000,000","2,412,000,000","2,464,000,000","2,103,000,000","218,000,000","302,000,000"
NetDebt,"4,559,000,000","4,942,000,000","928,000,000","1,280,000,000","3,952,000,000","3,777,000,000","2,553,000,000","3,226,000,000","3,473,000,000","1,567,000,000","1,023,000,000","1,359,000,000","740,000,000",,
ShareIssued,"279,033,365","270,949,579","270,514,140","270,025,374","255,288,240","259,991,022","265,839,794","269,789,959","278,208,470","291,619,411","306,389,149","315,299,183","328,244,510","328,244,510","328,244,510"
OrdinarySharesNumber,"279,033,365","270,949,579","270,514,140","270,025,374","255,288,240","259,991,022","265,839,794","269,789,959","278,208,470","291,619,411","306,389,149","315,299,183","328,244,510","328,244,510","328,244,510"
PreferredSharesNumber,"11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000",,
