name,ttm,03/31/2024,03/31/2023,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
		CashDividendsPaid,,,,,,,"0","0","-2,927,000","0","0",,,,,,,,,"-5,000,000",,"-3,640,000"
			CommonStockDividendPaid,,,,,,,"0","0","-2,927,000","0","0",,,,,,,,,,,
		ProceedsFromStockOptionExercised,"2,966,000","3,193,000","3,776,000","3,688,000","4,744,000","7,472,000","2,580,000","11,540,000","15,485,000","10,310,000","15,776,000","15,103,000","14,776,000","14,645,000","7,335,000","5,128,000","1,990,000","3,182,000",,,,
		NetOtherFinancingCharges,"-12,723,000","-6,883,000","-5,151,000","83,855,000","-56,644,000","-6,725,000","-2,448,000","-2,781,000","-23,295,000","-13,675,000","35,252,000","17,163,000","16,851,000","7,936,000","4,189,000","3,773,000","2,131,000","6,892,000","11,169,000","-11,656,000","-33,000","11,634,000"
EndCashPosition,"913,679,000","876,917,000","726,745,000","1,682,870,000","1,528,515,000","796,008,000","566,060,000","318,135,000","252,725,000","129,852,000","593,175,000","347,489,000","341,841,000","175,384,000","203,870,000","187,297,000","102,042,000","40,588,000","70,655,000","62,977,000","1,085,000","667,000"
	ChangesInCash,"193,815,000","169,947,000","-289,327,000","177,746,000","716,062,000","224,848,000","235,458,000","61,232,000","131,598,000","-451,501,000","249,027,000","8,763,000","165,127,000","-28,411,000","15,572,000","82,694,000","62,831,000","-30,564,000","8,165,000","61,951,000","470,000","-127,000"
	EffectOfExchangeRateChanges,"-10,518,000","-19,775,000","-5,315,000","-23,391,000","16,445,000","5,100,000","12,467,000","4,178,000","-8,725,000","-11,822,000","-3,341,000","-3,115,000","1,330,000","-75,000","1,001,000","2,561,000","-1,377,000","497,000","-487,000","-59,000","-52,000","0"
	BeginningCashPosition,"719,864,000","726,745,000","1,021,387,000","1,528,515,000","796,008,000","566,060,000","318,135,000","252,725,000","129,852,000","593,175,000","347,489,000","341,841,000","175,384,000","203,870,000","187,297,000","102,042,000","40,588,000","70,655,000","62,977,000","1,085,000","667,000","794,000"
IncomeTaxPaidSupplementalData,,,,,"24,443,000","8,084,000",,"36,921,000","135,959,000","99,708,000","103,284,000","85,570,000","57,739,000","56,940,000","38,773,000","40,834,000","29,561,000","30,502,000",,,,
InterestPaidSupplementalData,,"4,428,000","19,218,000","25,226,000","28,626,000","18,031,000","28,586,000","29,750,000","21,412,000","11,176,000","4,146,000","1,505,000","3,306,000","2,305,000","992,000","1,273,000","1,444,000","525,000",,,,
CapitalExpenditure,"-163,461,000","-150,333,000","-158,066,000","-69,759,000","-92,291,000","-145,802,000","-170,385,000","-281,339,000","-386,746,000","-298,928,000","-140,528,000","-87,830,000","-50,650,000","-56,228,000","-30,182,000","-19,845,000","-39,194,000","-34,084,000","-15,115,000","-10,887,000","-8,724,000","-2,285,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,"3,182,000","3,544,000","124,490,000","78,000",
IssuanceOfDebt,,,"0","0","1,288,753,000","25,000,000","505,000,000","763,000,000","1,327,601,000","650,000,000","250,000,000","100,000,000","50,000,000","60,644,000","5,262,000","7,649,000","53,214,000","25,841,000",,,,"10,395,000"
RepaymentOfDebt,"-80,919,000","0","0","-506,280,000","-800,000,000","-162,817,000","-695,000,000","-665,000,000","-1,170,750,000","-265,202,000","-118,722,000","-5,471,000","-69,330,000","-37,418,000","-9,543,000","-33,017,000","-21,954,000","-17,767,000",,,,"-6,529,000"
RepurchaseOfCapitalStock,"-115,000,000","-75,000,000","-125,000,000","0","0",,,,,,,,,,,,,,,"-12,000,000",,
FreeCashFlow,"349,491,000","203,637,000","-197,952,000","595,070,000","120,573,000","363,229,000","457,845,000","-43,879,000","-20,123,000","-284,387,000","78,505,000","32,240,000","149,111,000","-41,010,000","19,932,000","99,196,000","30,322,000","-48,712,000","-4,414,000","4,908,000","-17,575,000","-11,987,000"
