name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
			CurrentDeferredRevenue,"67,115,000","62,214,000","71,067,000","49,869,000",,,,,,,,,,"35,725,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"35,578,000","59,995,000","24,267,000","191,608,000","138,159,000","401,029,000","86,027,000","188,224,000","92,030,000","51,794,000","26,968,000","36,622,000","22,013,000","19,326,000",,,"140,149,000","1,071,000","78,990,000",,,"5,916,000","12,635,000",,"405,069,000","367,100,000","446,000,000","440,200,000","427,400,000","359,100,000","297,300,000","267,500,000","255,400,000","232,900,000","193,700,000","154,500,000","208,200,000","242,200,000","177,800,000","102,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"6,497,619,000","7,534,009,000","6,496,456,000","8,487,388,000","4,752,033,000","3,396,665,000","3,484,385,000","3,494,502,000","3,012,966,000","2,312,991,000","2,600,353,000","2,670,404,000","2,775,184,000","3,121,919,000","1,486,762,000","1,564,789,000","1,864,441,000","1,735,469,000","1,185,673,000","1,210,715,000","1,118,823,000","1,422,388,000","970,459,000","1,176,387,000","1,160,143,000","711,900,000","703,500,000","660,000,000","683,100,000","783,700,000","669,600,000","654,600,000","862,900,000","670,300,000","674,700,000","745,000,000","433,400,000","481,100,000","579,600,000","161,000,000"
		LongTermDebtAndCapitalLeaseObligation,"5,859,142,000","6,882,955,000","5,608,020,000","6,945,610,000","3,628,920,000","2,115,884,000","2,212,555,000","2,187,789,000","2,039,180,000","1,401,820,000","1,413,847,000","1,426,829,000","1,429,166,000","1,831,781,000","935,882,000","938,494,000","1,141,546,000","1,144,810,000","635,359,000","647,728,000","556,639,000","956,383,000","602,287,000","904,035,000","905,036,000","517,800,000","521,700,000","516,200,000","519,100,000","614,200,000","516,700,000","527,600,000","767,600,000","583,200,000","585,100,000","637,500,000","302,300,000","322,900,000","436,500,000","124,300,000"
			LongTermDebt,"4,702,284,000","5,711,014,000","4,584,261,000","5,709,149,000","2,608,269,000","2,115,884,000","2,212,555,000","2,187,789,000","2,039,180,000","1,401,820,000","1,413,847,000","1,426,829,000","1,429,166,000","1,831,781,000","935,882,000","938,494,000","1,141,546,000","1,144,810,000","635,359,000","647,728,000","556,639,000","956,383,000","602,287,000","904,035,000","905,036,000","517,800,000","521,700,000","516,200,000","519,100,000","614,200,000","516,700,000","527,600,000","767,600,000","583,200,000","585,100,000","637,500,000","302,300,000","322,900,000","436,500,000","124,300,000"
			LongTermCapitalLeaseObligation,"1,156,858,000","1,171,941,000","1,023,759,000","1,236,461,000","1,020,651,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"91,183,000","184,974,000","264,781,000","482,462,000","265,881,000","341,738,000","326,934,000","345,009,000","421,955,000","549,601,000","583,856,000","783,201,000","639,496,000","691,740,000","248,622,000","302,941,000","213,279,000",,,,,,,,,,,,,,,,,,,,,,,"32,700,000"
			NonCurrentDeferredTaxesLiabilities,"10,080,000","107,546,000","150,401,000","342,712,000","161,371,000","107,997,000","40,887,000","58,036,000","147,281,000","241,409,000","229,464,000","452,506,000","366,804,000","415,852,000","7,936,000","73,006,000","9,434,000",,,,,,,,,,,,,,,,,,,,,,,"32,700,000"
			NonCurrentDeferredRevenue,,,,,,,,,,,,,,,"49,954,000","46,970,000","47,307,000",,,,,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"356,099,000","273,955,000","394,472,000","553,684,000","578,298,000","613,332,000","632,321,000","628,713,000","181,629,000","79,975,000","123,891,000","129,257,000","121,516,000","118,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccruedExpenses,"48,373,000","41,111,000","41,745,000","48,691,000","47,534,000","49,301,000","49,689,000","49,733,000","49,879,000","49,564,000","47,821,000","42,352,000","36,590,000","30,936,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"78,628,000","72,825,000","111,173,000","166,750,000","170,507,000","163,963,000","176,582,000","189,191,000","165,642,000","157,434,000","364,304,000","214,431,000","474,175,000","394,753,000","201,499,000","247,583,000","405,517,000",,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"78,628,000","72,825,000","111,173,000","166,750,000","170,507,000","163,963,000","176,582,000","189,191,000","165,642,000","157,434,000","364,304,000","214,431,000","474,175,000","394,753,000","201,499,000","247,583,000","405,517,000",,,,,,,,,,,,,,,,,,,,,,,
		DerivativeProductLiabilities,"4,656,000","12,658,000","3,456,000","7,904,000","3,153,000","3,747,000","10,087,000","12,833,000","7,000,000","2,256,000","4,801,000","10,169,000","7,455,000","4,187,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,,,"23,326,000","26,053,000","29,987,000","36,902,000","45,631,000","48,483,000",,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,,,"0","45,900,000","0",,"87,961,000","10,915,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"59,538,000","65,531,000","72,809,000","282,287,000","57,740,000","62,800,000","1,271,830,000","81,234,000","59,720,000","61,426,000","61,833,000","64,165,000","66,786,000","50,431,000","100,759,000","75,771,000","104,099,000","590,659,000","550,314,000","539,661,000","536,131,000","436,018,000","331,270,000","226,721,000","206,624,000","194,100,000","181,800,000","143,800,000","164,000,000","169,500,000","152,900,000","127,000,000","95,300,000","87,100,000","89,600,000","107,500,000","131,100,000","158,200,000","143,100,000","4,000,000"
TotalEquityGrossMinorityInterest,"1,658,365,000","2,910,713,000","3,530,355,000","3,056,164,000","3,357,334,000","4,298,516,000","3,688,096,000","3,719,900,000","4,940,921,000","5,384,838,000","5,630,882,000","6,077,038,000","5,125,625,000","4,525,175,000","3,861,319,000","3,813,285,000","3,557,245,000","3,576,829,000","3,265,172,000","2,808,213,000","2,513,241,000","1,951,307,000","1,657,848,000","2,112,796,000","2,191,813,000","2,201,100,000","2,100,200,000","1,896,900,000","2,000,100,000","1,795,100,000","1,753,700,000","1,562,900,000","1,165,500,000","945,900,000","826,600,000","819,800,000","1,095,400,000","980,600,000","824,100,000","554,200,000"
	StockholdersEquity,"1,658,365,000","2,910,713,000","3,530,355,000","3,056,164,000","3,357,334,000","4,298,516,000","3,688,096,000","3,719,900,000","4,940,921,000","5,384,838,000","5,630,882,000","6,077,038,000","5,125,625,000","4,525,991,000","3,861,219,000","3,815,151,000","3,555,892,000","3,576,829,000","3,265,172,000","2,808,213,000","2,513,241,000","1,951,307,000","1,657,848,000","2,112,796,000","2,191,813,000","2,201,100,000","2,100,200,000","1,896,900,000","2,000,100,000","1,795,100,000","1,753,700,000","1,562,900,000","1,165,500,000","945,900,000","826,600,000","819,800,000","1,095,400,000","980,600,000","824,100,000","554,200,000"
		CapitalStock,"97,209,000","97,166,000","97,075,000","97,985,000","97,203,000","99,206,000","98,578,000","98,955,000","103,503,000","106,654,000","108,215,000","110,078,000","110,205,000","110,557,000","107,938,000","110,285,000","109,848,000","109,798,000","112,185,000","110,108,000","111,388,000","108,170,000","108,525,000","109,998,000","112,259,000","153,500,000","33,900,000","30,100,000","26,400,000","23,600,000","19,700,000","15,500,000","11,500,000","7,800,000","3,500,000",,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,"40,517,000","37,300,000","33,900,000","30,100,000","26,400,000","23,600,000","19,700,000","15,500,000","11,500,000","7,800,000","3,500,000",,,,,
			CommonStock,"97,209,000","97,166,000","97,075,000","97,985,000","97,203,000","99,206,000","98,578,000","98,955,000","103,503,000","106,654,000","108,215,000","110,078,000","110,205,000","110,557,000","107,938,000","110,285,000","109,848,000","109,798,000","112,185,000","110,108,000","111,388,000","108,170,000","108,525,000","109,998,000","112,259,000","116,200,000","0","0","0","0","0","0","0","0","0",,,,,
		AdditionalPaidInCapital,"3,600,071,000","3,775,979,000","3,916,384,000","3,777,645,000","4,183,780,000","3,921,784,000","3,607,424,000","3,523,340,000","3,333,423,000","3,192,675,000","2,993,186,000","2,746,590,000","2,527,868,000","2,316,107,000","2,081,367,000","1,864,499,000","1,749,464,000","1,619,320,000","1,469,764,000","1,277,486,000","1,087,641,000","964,990,000","930,132,000","884,638,000","833,441,000","831,100,000",,,,,,,,,,,,,,
		RetainedEarnings,"-974,584,000","57,086,000","443,475,000","189,534,000","7,309,000","1,179,601,000","846,124,000","1,023,745,000","2,545,458,000","3,128,731,000","3,231,753,000","3,432,090,000","2,941,447,000","2,520,804,000","1,940,508,000","2,050,109,000","1,972,874,000","1,786,216,000","1,806,875,000","1,585,421,000","1,427,283,000","1,067,602,000","833,332,000","1,221,200,000","1,333,988,000","1,281,300,000","1,171,000,000","1,037,500,000","1,234,800,000","1,093,600,000","1,112,400,000","952,600,000","793,100,000","640,400,000","543,600,000","540,700,000","809,400,000","691,400,000","555,400,000","499,400,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,064,331,000","-1,019,518,000","-926,579,000","-1,009,000,000","-930,958,000","-902,075,000","-864,030,000","-926,140,000","-1,041,463,000","-1,043,222,000","-702,272,000","-211,720,000","-453,895,000","-421,477,000","-268,594,000","-209,742,000","-276,294,000","61,495,000","-123,652,000","-164,802,000","-113,071,000","-189,455,000","-214,141,000","-103,040,000","-87,875,000","-64,800,000",,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,"22,203,000","126,171,000","-3,787,000",,,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"-1,064,331,000","-1,019,518,000","-926,579,000","-1,009,000,000","-930,958,000","-902,075,000","-864,030,000","-926,140,000","-1,041,463,000","-1,043,222,000","-702,272,000","-211,720,000","-453,895,000","-421,477,000",,,"-298,497,000","-64,676,000","-119,865,000",,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,"895,300,000","829,300,000","738,900,000","677,900,000","621,600,000","594,800,000","360,900,000","297,700,000","279,500,000","279,100,000","286,000,000","289,200,000","268,700,000","54,800,000"
	MinorityInterest,,,,,,,,,,,,,"0","-816,000","100,000","-1,866,000","1,353,000",,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"6,360,649,000","8,621,727,000","8,114,616,000","8,765,313,000","5,965,603,000","6,414,400,000","5,900,651,000","5,907,689,000","6,980,101,000","6,786,658,000","7,044,729,000","7,503,867,000","6,554,791,000","6,357,772,000","4,797,101,000","4,753,645,000","4,697,438,000","4,721,639,000","3,900,531,000","3,455,941,000","3,069,880,000","2,907,690,000","2,260,135,000","3,016,831,000","3,096,849,000","2,718,900,000","2,621,900,000","2,413,100,000","2,519,200,000","2,409,300,000","2,270,400,000","2,090,500,000","1,933,100,000","1,529,100,000","1,411,700,000","1,457,300,000","1,397,700,000","1,303,500,000","1,260,600,000","678,500,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,"40,517,000","37,300,000","33,900,000","30,100,000","26,400,000","23,600,000","19,700,000","15,500,000","11,500,000","7,800,000","3,500,000",,,,,
CommonStockEquity,"1,658,365,000","2,910,713,000","3,530,355,000","3,056,164,000","3,357,334,000","4,298,516,000","3,688,096,000","3,719,900,000","4,940,921,000","5,384,838,000","5,630,882,000","6,077,038,000","5,125,625,000","4,525,991,000","3,861,219,000","3,815,151,000","3,555,892,000","3,576,829,000","3,265,172,000","2,808,213,000","2,513,241,000","1,951,307,000","1,657,848,000","2,112,796,000","2,191,813,000","2,163,800,000","2,066,300,000","1,866,800,000","1,973,700,000","1,771,500,000","1,734,000,000","1,547,400,000","1,154,000,000","938,100,000","823,100,000","819,800,000","1,095,400,000","980,600,000","824,100,000","554,200,000"
CapitalLeaseObligations,"1,466,302,000","1,504,163,000","1,377,707,000","1,640,456,000","1,373,229,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-2,731,494,000","-2,059,260,000","-2,180,485,000","-2,663,744,000","142,857,000","678,954,000","-125,233,000","-294,762,000","1,657,641,000","1,470,178,000","1,202,105,000","974,450,000","127,924,000","-506,121,000","1,160,098,000","871,150,000","828,781,000","810,567,000","1,415,798,000","966,863,000","842,127,000","931,701,000","1,184,493,000","1,097,013,000","1,089,937,000","1,208,600,000","1,148,600,000","1,082,600,000","1,136,200,000","907,500,000","842,400,000","987,600,000","610,800,000","523,800,000","399,300,000","388,000,000","645,500,000","512,100,000","375,700,000","453,900,000"
WorkingCapital,"769,968,000","1,606,943,000","1,272,683,000","2,575,393,000","2,003,132,000","2,011,853,000","1,544,494,000","1,633,664,000","2,507,698,000","2,221,423,000","2,417,504,000","2,314,981,000","1,717,371,000","1,521,912,000","1,716,585,000","1,536,773,000","1,640,828,000","1,510,742,000","1,563,162,000","1,213,233,000","1,006,354,000","1,336,674,000","1,199,696,000","1,217,587,000","1,103,896,000","763,900,000","815,200,000","835,600,000","940,000,000","799,300,000","638,900,000","840,400,000","681,600,000","560,400,000","472,700,000","548,500,000","555,400,000","448,000,000","454,200,000","291,800,000"
InvestedCapital,"7,625,308,000","9,557,523,000","8,951,129,000","8,777,397,000","7,195,433,000","7,078,723,000","7,432,022,000","6,643,238,000","7,259,819,000","7,239,599,000","7,070,526,000","7,527,844,000","6,970,223,000","6,642,202,000","4,836,414,000","5,002,277,000","4,754,340,000","4,856,987,000","4,057,874,000","3,628,853,000","3,513,942,000","2,942,782,000","2,321,831,000","3,095,427,000","3,357,853,000","3,095,300,000","2,833,900,000","2,407,600,000","2,511,600,000","2,618,300,000","2,574,600,000","2,220,800,000","2,101,600,000","1,629,800,000","1,493,500,000","1,554,800,000","1,420,600,000","1,525,300,000","1,512,900,000","720,900,000"
TangibleBookValue,"-2,731,494,000","-2,059,260,000","-2,180,485,000","-2,663,744,000","142,857,000","678,954,000","-125,233,000","-294,762,000","1,657,641,000","1,470,178,000","1,202,105,000","974,450,000","127,924,000","-506,121,000","1,160,098,000","871,150,000","828,781,000","810,567,000","1,415,798,000","966,863,000","842,127,000","931,701,000","1,184,493,000","1,097,013,000","1,089,937,000","1,171,300,000","1,114,700,000","1,052,500,000","1,109,800,000","883,900,000","822,700,000","972,100,000","599,300,000","516,000,000","395,800,000","388,000,000","645,500,000","512,100,000","375,700,000","453,900,000"
TotalDebt,"7,433,245,000","8,150,973,000","6,798,481,000","7,361,689,000","5,211,328,000","2,780,207,000","3,743,926,000","2,923,338,000","2,318,898,000","1,854,761,000","1,439,644,000","1,450,806,000","1,844,598,000","2,116,211,000","975,195,000","1,187,126,000","1,198,448,000","1,280,158,000","792,702,000","820,640,000","1,000,701,000","991,475,000","663,983,000","982,631,000","1,166,040,000","931,500,000","767,600,000","540,800,000","537,900,000","846,800,000","840,600,000","673,400,000","947,600,000","691,700,000","670,400,000","735,000,000","325,200,000","544,700,000","688,800,000","166,700,000"
NetDebt,"5,292,338,000","5,831,923,000","4,144,831,000","4,905,483,000","2,469,071,000","2,377,981,000","3,063,164,000","2,359,855,000","1,091,036,000","910,338,000","467,749,000","674,403,000","1,247,137,000","1,774,983,000","182,956,000","455,577,000","816,604,000","958,295,000","449,478,000","524,083,000","515,194,000","476,690,000","167,616,000","650,582,000","1,047,149,000","851,600,000","704,400,000","416,700,000","267,300,000","762,700,000","780,900,000","521,800,000","861,300,000","529,400,000","608,400,000","698,800,000","238,500,000","432,600,000","562,700,000","98,200,000"
ShareIssued,"388,836,219","388,665,531","388,298,375","391,941,477","388,812,158","396,824,662","394,313,070","395,821,781","414,012,954","426,614,274","432,859,891","440,310,370","440,818,936","442,227,924","431,752,420","441,140,528","440,622,324","439,191,936","448,739,440","440,431,416","445,553,412","432,680,364","434,101,472","439,992,760","449,034,224","464,820,000","477,864,000","484,900,000","511,264,000","507,512,000","513,320,000","515,912,000","476,152,000","461,600,000","456,104,000","463,888,000","544,752,000","544,944,000","540,448,000","497,552,000"
OrdinarySharesNumber,"388,836,219","388,665,531","388,298,375","391,941,477","388,812,158","396,824,662","394,313,070","395,821,781","414,012,954","426,614,274","432,859,891","440,310,370","440,818,936","442,227,924","431,752,420","441,140,528","440,622,324","439,191,936","448,739,440","440,431,416","445,553,412","432,680,364","434,101,472","439,992,760","449,034,224","464,820,000","477,864,000","484,900,000","511,264,000","507,512,000","513,320,000","515,912,000","476,152,000","461,600,000","456,104,000","463,888,000","544,752,000","544,944,000","540,448,000","497,552,000"
