name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
			ChangeInReceivables,"-53,000,000","-89,000,000","-84,000,000","-46,000,000","62,000,000","-56,000,000","-66,000,000","-19,000,000","-23,000,000","-36,000,000","-21,000,000","-12,000,000","-18,000,000","-39,000,000","-12,000,000","3,000,000","-6,000,000","-4,000,000","24,000,000","-1,000,000","-39,000,000","2,000,000","32,000,000","116,000,000","-161,000,000","-28,000,000","-8,000,000","-22,000,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,"-6,000,000",,,,,,,,,,,
			ChangeInInventory,,,,,,,,"3,000,000","0","-4,000,000","-2,000,000","18,000,000","9,000,000","-75,000,000","-68,000,000","27,000,000","-8,000,000","-31,000,000","-3,000,000","-4,000,000","-7,000,000","-1,000,000","11,000,000","-8,000,000","11,000,000","6,000,000","4,000,000","3,000,000"
			ChangeInPrepaidAssets,"-32,000,000","-15,000,000","1,000,000","-33,000,000","8,000,000","-8,000,000","0","-10,000,000","0","-14,000,000","2,000,000","-21,000,000","-14,000,000","-25,000,000","61,000,000","-7,000,000","4,000,000","-6,000,000","-33,000,000","78,000,000","-5,000,000",,"19,000,000","-3,000,000",,,,
			ChangeInPayablesAndAccruedExpense,"-23,000,000","13,000,000","-22,000,000","81,000,000","18,000,000","-13,000,000","-3,000,000","-228,000,000","-20,000,000","108,000,000","-112,000,000","-88,000,000","135,000,000","253,000,000","165,000,000","-157,000,000","57,000,000","118,000,000","-46,000,000","-10,000,000","-20,000,000","-32,000,000","-37,000,000","-13,000,000","-94,000,000","-215,000,000","10,000,000","13,000,000"
				ChangeInPayable,"-23,000,000","13,000,000","-22,000,000","81,000,000","18,000,000","-13,000,000","-3,000,000","-228,000,000","-20,000,000","108,000,000","-112,000,000","-88,000,000","135,000,000","253,000,000","165,000,000","-157,000,000","57,000,000",,,,,,,,,,,
					ChangeInTaxPayable,"-22,000,000","43,000,000","17,000,000","-41,000,000","-110,000,000","23,000,000","65,000,000","-55,000,000","20,000,000","53,000,000","-135,000,000","14,000,000","126,000,000","109,000,000","104,000,000","-95,000,000","39,000,000",,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-22,000,000","43,000,000","17,000,000","-41,000,000","-110,000,000","23,000,000","65,000,000","-55,000,000","20,000,000","53,000,000","-135,000,000","14,000,000","126,000,000","109,000,000","104,000,000","-95,000,000","39,000,000",,,,,,,,,,,
					ChangeInAccountPayable,"-1,000,000","-30,000,000","-39,000,000","122,000,000","128,000,000","-36,000,000","-68,000,000","-173,000,000","-40,000,000","55,000,000","23,000,000","-102,000,000","9,000,000","144,000,000","61,000,000","-62,000,000","18,000,000",,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000,000","-13,000,000","-20,000,000",
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"70,000,000","10,000,000","54,000,000","-131,000,000","96,000,000","59,000,000","-33,000,000","40,000,000","23,000,000","-92,000,000","43,000,000"
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,"66,000,000","65,000,000",,,,,,,,,,
InvestingCashFlow,"-386,000,000","-107,000,000","-202,000,000","-173,000,000","-335,000,000","-88,000,000","313,000,000","1,472,000,000","-4,000,000","-199,000,000","-424,000,000","-886,000,000","-1,005,000,000","-1,006,000,000","-579,000,000","-727,000,000","-641,000,000","-432,000,000","-476,000,000","-345,000,000","-541,000,000","-565,000,000","-885,000,000","-503,000,000","-237,000,000","522,000,000","302,000,000","466,000,000"
	CashFlowFromContinuingInvestingActivities,"-386,000,000","-107,000,000","-202,000,000","-173,000,000","-335,000,000","-88,000,000","313,000,000","1,472,000,000","-4,000,000","-199,000,000","-424,000,000","-886,000,000","-1,005,000,000","-1,006,000,000","-579,000,000","-727,000,000","-641,000,000","-432,000,000","-476,000,000","-345,000,000","-541,000,000","-565,000,000","-885,000,000","-503,000,000","-237,000,000","522,000,000","302,000,000","466,000,000"
		CapitalExpenditureReported,"-262,000,000","-285,000,000","-279,000,000","-230,000,000","-160,000,000","-196,000,000","-234,000,000","-318,000,000","-427,000,000","-442,000,000","-508,000,000","-1,049,000,000","-1,099,000,000","-940,000,000","-796,000,000","-797,000,000","-935,000,000",,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,"30,000,000","33,000,000","34,000,000","72,000,000","-686,000,000","-557,000,000","-528,000,000","-593,000,000","-617,000,000","-702,000,000","-579,000,000","-508,000,000","-425,000,000","-402,000,000","-315,000,000"
