name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987,01/31/1986
				BuildingsAndImprovements,"101,232,000","99,545,000","102,077,000","101,421,000","100,269,000","99,400,000","100,122,000","98,213,000","99,957,000","100,583,000","101,249,000",,"4,837,000","4,630,000",,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"328,137,000","292,791,000","273,477,000","272,630,000","240,891,000","209,223,000","192,276,000","161,054,000","154,034,000","144,370,000","141,435,000","135,067,000","105,588,000","203,845,000",,,,,,,,,,,,,,,
				OtherProperties,"23,438,000","30,325,000","31,492,000","35,475,000","38,665,000",,,,,,,,"116,000,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,"17,706,000","27,235,000","15,278,000","8,343,000","22,796,000","27,296,000","23,428,000","34,882,000","17,020,000","5,630,000",,,,"4,289,000",,,,,,,,,,,,,,,
				Leases,"12,673,000","12,761,000","12,818,000","12,941,000","8,423,000","6,569,000","10,329,000","11,176,000","12,841,000","12,781,000","12,517,000","12,660,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-345,165,000","-308,134,000","-277,327,000","-253,522,000","-218,173,000","-196,053,000","-193,187,000","-185,955,000","-177,530,000","-165,670,000","-157,668,000","-141,179,000","-150,342,000","-132,286,000","-117,317,000","-101,570,000","-84,200,000","-72,900,000","-60,100,000","-49,400,000","-40,300,000","-35,900,000","-32,000,000","-24,800,000","-18,400,000","-13,500,000","-9,900,000","-7,300,000","-4,800,000"
		GoodwillAndOtherIntangibleAssets,"257,000,000","363,700,000","363,700,000","363,700,000","367,000,000","367,000,000","367,000,000","367,000,000","540,000,000","638,712,000","641,342,000","643,972,000",,"651,000","966,000","1,030,000","900,000","2,300,000","2,400,000","2,500,000","1,900,000",,,,,,,,
			Goodwill,"0","106,700,000","106,700,000","106,700,000","110,000,000","110,000,000","110,000,000","110,000,000","110,000,000","110,000,000","110,000,000","110,000,000",,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"257,000,000","257,000,000","257,000,000","257,000,000","257,000,000","257,000,000","257,000,000","257,000,000","430,000,000","528,712,000","531,342,000","533,972,000",,"651,000","966,000","1,030,000","900,000","2,300,000","2,400,000","2,500,000","1,900,000",,,,,,,,
		OtherNonCurrentAssets,"2,748,000","3,759,000","4,702,000","5,215,000","4,921,000","5,636,000","13,881,000","17,155,000","15,145,000","22,462,000","588,000","847,000",,,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"569,886,000","701,396,000","629,938,000","675,805,000","765,247,000","788,200,000","817,042,000","842,979,000","897,017,000","945,806,000","401,961,000","394,485,000","198,402,000","193,441,000","159,989,000","213,416,000","190,800,000","155,000,000","122,300,000","108,500,000","96,200,000","69,600,000","79,200,000","68,600,000","52,300,000","59,300,000","50,300,000","46,600,000","28,300,000"
	CurrentLiabilities,"259,918,000","297,477,000","311,432,000","314,922,000","283,566,000","241,251,000","256,131,000","248,854,000","230,089,000","240,349,000","203,361,000","193,730,000","185,564,000","178,874,000","150,872,000","205,283,000","182,000,000","145,600,000","114,700,000","102,700,000","91,000,000","67,300,000","74,500,000","60,800,000","43,900,000","51,600,000","38,900,000","32,900,000","18,000,000"
		PayablesAndAccruedExpenses,"142,711,000","185,793,000","160,167,000","158,912,000","167,678,000","132,958,000","162,537,000","169,986,000","153,633,000","150,549,000","121,649,000","106,665,000","88,144,000","98,525,000","74,510,000","87,922,000","83,700,000","76,600,000","62,400,000","52,800,000","54,900,000","37,000,000","28,400,000","37,800,000","24,400,000","25,900,000",,,
			Payables,"140,717,000","181,337,000","157,801,000","158,912,000","167,678,000","132,958,000","162,537,000","169,986,000","153,633,000","140,990,000","121,649,000","106,665,000","83,363,000","96,168,000","74,510,000","87,922,000","83,700,000","76,600,000","62,400,000","52,800,000","54,900,000","37,000,000","28,400,000","37,800,000","24,400,000","25,900,000",,,
				AccountsPayable,"131,922,000","171,557,000","145,802,000","134,007,000","158,436,000","123,827,000","155,874,000","162,408,000","146,097,000","132,796,000","115,387,000","106,665,000","83,363,000","96,168,000","74,510,000","87,922,000","83,700,000","76,600,000","62,400,000","52,800,000","54,900,000","37,000,000","28,400,000","37,800,000","24,400,000","25,900,000",,,
				TotalTaxPayable,"8,795,000","9,780,000","11,999,000","24,905,000","9,242,000","9,131,000","6,663,000","7,578,000","7,536,000","8,194,000","6,262,000",,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,"4,456,000","2,366,000",,,,,,"0","9,559,000","0",,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,994,000","4,456,000","2,366,000",,,,,,"0","9,559,000","0",,"4,781,000","2,357,000",,,,,,,,,,,,,,,
				InterestPayable,"1,994,000","4,456,000","2,366,000",,,,,,"0","9,559,000","0",,,,,,,,,,,,,,,,,,
		CurrentProvisions,"21,560,000","25,030,000","23,421,000","25,716,000","21,641,000","22,222,000","11,133,000","11,794,000","12,605,000","13,868,000","13,805,000","13,524,000",,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"28,449,000","18,125,000","58,833,000","54,944,000","42,809,000","42,439,000","32,302,000","13,165,000","12,785,000","18,778,000","11,811,000","13,406,000",,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"19,024,000","19,164,000","19,367,000","18,933,000","11,014,000","5,150,000","5,150,000","5,150,000","5,150,000","5,150,000",,,"16,169,000","16,940,000","11,724,000","38,942,000","32,400,000","11,200,000","9,300,000","7,600,000",,"1,000,000","14,700,000","1,700,000","1,800,000","1,900,000","1,900,000","300,000","200,000"
			CurrentDebt,"13,000,000","13,750,000","13,750,000","13,750,000","5,150,000","5,150,000","5,150,000","5,150,000","5,150,000","5,150,000",,,"16,169,000","16,940,000","11,724,000","38,942,000","32,400,000","11,200,000","9,300,000","7,600,000",,"1,000,000","14,700,000","1,700,000","1,800,000","1,900,000","1,900,000","300,000","200,000"
				OtherCurrentBorrowings,"13,000,000","13,750,000","13,750,000","13,750,000","5,150,000","5,150,000","5,150,000","5,150,000","5,150,000","5,150,000",,,,,,,,,,,,,,,,,,,
