name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990
		NetOtherFinancingCharges,,"-3,000,000",,"-3,000,000",,"-1,000,000","-6,000,000","-1,000,000","8,000,000","-1,000,000","2,000,000",,"-1,326,000,000","-7,000,000","-42,000,000","-163,000,000","8,000,000","31,000,000","45,000,000","-7,000,000","46,000,000","-15,000,000",,,,"100,000","-100,000","100,000",,,"6,300,000","600,000","-200,000","1,900,000",
EndCashPosition,"1,704,000,000","1,793,000,000","2,253,000,000","3,205,000,000","5,625,000,000","2,355,000,000","2,184,000,000","1,300,000,000","2,433,000,000","2,161,000,000","2,626,000,000","2,678,000,000","1,199,000,000","1,103,000,000","1,826,000,000","498,000,000","1,438,000,000","1,205,000,000","748,000,000","354,000,000","245,000,000","373,000,000","1,861,000,000","743,000,000","750,723,000","785,777,000","520,127,000","0","0","0","0","0","0","0","0"
	ChangesInCash,"213,000,000","-455,000,000","-944,000,000","-2,417,000,000","3,263,000,000","172,000,000","898,000,000","-1,158,000,000","262,000,000","-719,000,000",,"896,000,000","91,000,000","-736,000,000","1,318,000,000","-959,000,000","111,000,000","469,000,000","367,000,000","100,000,000","-129,000,000","-181,000,000","1,118,000,000","-8,000,000","-35,054,000","265,650,000","430,319,000","3,400,000","-58,300,000","84,800,000","52,700,000","-105,600,000","85,800,000","3,200,000","23,000,000"
	EffectOfExchangeRateChanges,"-6,000,000","-5,000,000","-8,000,000","-3,000,000","7,000,000","-1,000,000","-14,000,000","25,000,000","10,000,000","-38,000,000","-52,000,000","-44,000,000","5,000,000","13,000,000","10,000,000","19,000,000","122,000,000","-12,000,000","27,000,000","9,000,000","1,000,000",,,,,,,,,,,,,,
	BeginningCashPosition,"1,491,000,000","2,253,000,000","3,205,000,000","5,625,000,000","2,355,000,000","2,184,000,000","1,300,000,000","2,433,000,000","2,161,000,000","2,918,000,000","2,678,000,000","1,826,000,000","1,103,000,000","1,826,000,000","498,000,000","1,438,000,000","1,205,000,000","748,000,000","354,000,000","245,000,000","373,000,000","554,000,000","743,000,000","751,000,000","785,777,000","520,127,000","89,808,000","86,400,000","144,700,000","59,900,000","7,100,000","112,800,000","27,100,000","23,800,000","800,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,"-785,700,000","-520,100,000","-89,800,000","-86,400,000","-144,700,000","-59,800,000","-7,200,000","-112,900,000","-27,000,000","-23,800,000"
IncomeTaxPaidSupplementalData,,"543,000,000","283,000,000","716,000,000","442,000,000","514,000,000","391,000,000","366,000,000","628,000,000","550,000,000","355,000,000","332,000,000","568,000,000","882,000,000","732,000,000","766,000,000",,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,,"51,000,000","31,000,000","22,000,000","50,000,000","62,000,000","71,000,000","81,000,000","76,000,000","77,000,000","81,000,000","82,000,000","89,000,000","68,000,000","78,000,000","83,000,000",,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-735,000,000","-795,000,000","-930,000,000","-737,000,000","-713,000,000","-743,000,000","-819,000,000","-688,000,000","-580,000,000","-649,000,000","-561,000,000","-547,000,000","-766,000,000","-744,000,000","-615,000,000","-1,303,000,000","-797,000,000","-733,000,000","-648,000,000","-502,000,000","-545,000,000","-725,000,000","-581,000,000","-657,000,000","-361,024,000","-165,698,000","-72,063,000","-87,600,000","-126,200,000","-118,100,000","-101,400,000","-74,900,000","-25,300,000","-20,300,000","-9,700,000"
IssuanceOfCapitalStock,,"19,000,000","16,000,000","29,000,000","28,000,000","48,000,000","38,000,000","163,000,000","171,000,000","47,000,000","50,000,000","171,000,000","67,000,000","179,000,000","138,000,000","83,000,000","146,000,000","217,000,000","292,000,000","256,000,000","114,000,000","40,000,000","48,000,000","235,000,000","32,229,000","20,644,000","14,869,000","2,700,000","3,100,000","232,400,000","86,500,000","4,900,000","91,200,000",,"100,000"
IssuanceOfDebt,,,"0","0","1,892,000,000","0","498,000,000","0","0","0","0","2,414,000,000","3,921,000,000","3,021,000,000","5,132,000,000","5,606,000,000",,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,,"-19,000,000","-19,000,000","-133,000,000","-1,916,000,000","-15,000,000","-546,000,000","-46,000,000","-394,000,000","-28,000,000","-24,000,000","-2,033,000,000","-3,412,000,000","-3,120,000,000","-5,342,000,000","-4,712,000,000",,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-330,000,000","-340,000,000","-1,014,000,000","-3,502,000,000","-312,000,000","-1,003,000,000","-1,505,000,000","-2,004,000,000","-698,000,000","-1,055,000,000","0","0","-1,500,000,000","-1,193,000,000","0",,"-3,461,000,000","-599,000,000","-772,000,000","-200,000,000","-100,000,000",,,,"-397,451,000","-2,462,000",,,,,,"-37,500,000",,,
FreeCashFlow,"1,371,000,000","675,000,000","894,000,000","2,515,000,000","4,214,000,000","1,822,000,000","1,589,000,000","1,453,000,000","1,977,000,000","694,000,000","1,374,000,000","547,000,000","2,527,000,000","446,000,000","1,591,000,000","574,000,000","1,228,000,000","1,029,000,000","1,092,000,000","1,479,000,000","790,000,000","-26,000,000","692,000,000","146,000,000","399,204,000","496,733,000","378,380,000","-74,400,000","-26,700,000","-155,500,000","-227,600,000","-105,900,000","-19,000,000","1,300,000","24,500,000"
