name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
			ChangeInReceivables,"-36,912,000","-11,216,000","-14,026,000","-1,687,000","3,010,000","-2,630,000","-8,298,000","-140,000","-1,923,000","-3,504,000","-10,966,000","-7,238,000","-9,438,000","-2,970,000","-743,000","-875,000","1,290,000","-508,000","-2,873,000","916,000","-689,000"
				ChangesInAccountReceivables,"-36,912,000","-11,216,000","-14,026,000","-1,687,000","3,010,000","-2,630,000","-8,298,000","-140,000","-1,923,000","-3,504,000","-10,966,000","-7,238,000","-9,438,000","-2,970,000","-743,000","-875,000","1,290,000","-508,000",,,
			ChangeInInventory,"427,000","-3,649,000","-3,011,000","-6,392,000","-394,000","-4,530,000","-1,722,000","-5,250,000","-91,000","262,000","-2,307,000","-1,950,000","-2,180,000","-1,816,000","-1,481,000","-825,000","-457,000","-771,000","-880,000","-369,000","-790,000"
			ChangeInPrepaidAssets,"2,502,000","-39,211,000","-14,660,000","-26,826,000","-11,442,000","-23,066,000","-3,811,000","-6,710,000","-4,259,000","-5,259,000","-658,000","-6,806,000","-5,954,000","-5,399,000","-1,632,000","-2,613,000","-2,767,000","-1,885,000","1,499,000","-3,757,000","-1,092,000"
			ChangeInPayablesAndAccruedExpense,"89,221,000","65,549,000","108,000","-12,118,000","78,420,000","47,329,000","76,479,000","45,275,000","18,374,000","12,085,000","37,187,000","14,072,000","29,156,000","26,883,000","23,596,000","36,166,000","3,106,000","15,364,000","912,000","5,553,000","-2,345,000"
				ChangeInPayable,"23,898,000","5,313,000","18,208,000","21,440,000","-3,859,000","-973,000","32,080,000","10,908,000","-6,734,000","19,525,000","2,168,000","2,052,000","7,849,000","9,432,000","6,989,000","16,362,000","3,635,000","2,065,000",,,
					ChangeInTaxPayable,,,,,,,,,,,,,,"66,555,000","-13,209,000","14,927,000",,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,"66,555,000","-13,209,000","14,927,000",,,,,
					ChangeInAccountPayable,"23,898,000","5,313,000","18,208,000","21,440,000","-3,859,000","-973,000","32,080,000","10,908,000","-6,734,000","19,525,000","2,168,000","2,052,000","7,849,000","9,432,000","6,989,000","1,435,000",,,,,
				ChangeInAccruedExpense,"65,323,000","60,236,000","-18,100,000","-33,558,000","82,279,000","48,302,000","44,399,000","34,367,000","25,108,000","-7,440,000","35,019,000","12,020,000","21,307,000","17,451,000","16,607,000","19,804,000","-529,000","13,299,000",,,
			ChangeInOtherCurrentAssets,"271,277,000","258,445,000","233,927,000","227,830,000","157,961,000","166,770,000","-2,005,000","-1,476,000","1,063,000","-5,619,000","1,071,000","-1,354,000","-20,539,000","-7,350,000","-8,956,000","374,000",,,"-242,000","-477,000","-145,000"
			ChangeInOtherCurrentLiabilities,"-209,101,000","-205,046,000","-203,333,000","-211,148,000","-163,372,000","-149,695,000","869,000","6,316,000","1,287,000","4,826,000","4,845,000","3,857,000","4,062,000","2,609,000","2,974,000","1,994,000",,"4,578,000","13,526,000","6,485,000","6,717,000"
			ChangeInOtherWorkingCapital,"-136,660,000","30,448,000","79,636,000","227,766,000","-218,293,000","-1,683,000","42,565,000","30,030,000","99,753,000","65,667,000","35,856,000","70,049,000","83,122,000","86,179,000","4,052,000","19,386,000","32,182,000","9,605,000","9,825,000","6,629,000","7,413,000"
