name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
				TotalTaxPayable,"402,000,000","333,800,000","566,000,000","260,900,000","1,468,400,000","286,600,000","226,600,000","368,400,000","259,000,000","272,000,000","125,000,000","138,300,000","109,200,000","100,200,000","127,800,000","76,100,000",,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"189,300,000","139,200,000","348,000,000","98,200,000","1,291,700,000","102,800,000",,,,,,,,"100,200,000","127,800,000","76,100,000",,,,,,,,,,,,,,,,,
				DividendsPayable,"651,200,000","608,300,000","578,100,000","0","485,700,000","445,400,000","429,500,000","365,100,000","297,000,000","239,800,000","195,800,000","157,400,000","126,600,000",,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,920,200,000","1,956,700,000","1,949,400,000","1,694,000,000","1,755,900,000","1,780,100,000","753,900,000","754,800,000","677,000,000","564,700,000","3,312,400,000","456,500,000","340,700,000","836,000,000","643,100,000","554,100,000","756,800,000","661,995,000","553,225,000","424,801,000","365,521,000","283,627,000","227,756,000",,,,,,,,,,
		CurrentProvisions,"233,500,000","232,300,000","229,300,000","243,900,000","210,500,000","213,700,000","215,200,000","246,000,000","224,800,000","196,100,000","178,500,000","167,700,000",,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,"656,800,000","524,500,000","510,800,000","522,300,000","437,900,000","420,200,000","381,600,000","364,400,000",,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"3,127,400,000","3,169,700,000","2,250,200,000","2,937,500,000",,"349,900,000",,"399,900,000",,,,,,,"200,000","713,700,000","711,100,000","700,762,000","277,748,000","735,000","722,000","710,000","62,684,000","57,017,000","64,500,000","33,600,000",,,,,"6,200,000","4,600,000","700,000"
			CurrentDebt,"1,852,100,000","1,924,000,000","998,900,000","1,688,700,000",,"349,900,000",,"399,900,000",,,,,,,"200,000","713,700,000","711,100,000","700,762,000","277,748,000","735,000","722,000","710,000","62,684,000","57,017,000","64,500,000","33,600,000",,,,,"6,200,000","4,600,000","700,000"
				OtherCurrentBorrowings,"1,852,100,000","1,924,000,000","998,900,000","1,688,700,000",,"349,900,000",,"399,900,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"1,275,300,000","1,245,700,000","1,251,300,000","1,248,800,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
