name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
	CurrentLiabilities,"7,909,000,000","8,979,000,000","10,674,000,000","10,521,000,000","8,060,000,000","7,513,000,000","7,817,000,000","7,122,000,000","6,925,000,000","7,777,000,000","7,436,000,000","8,855,000,000","8,663,000,000","8,978,000,000","8,435,000,000","6,769,000,000","6,301,000,000","6,056,000,000","4,959,000,000","4,501,000,000","3,824,000,000","3,705,000,000","2,715,000,000","1,785,049,000","1,409,716,000","1,033,700,000","817,600,000","974,700,000","631,600,000","402,000,000","186,000,000","146,300,000","75,000,000","49,600,000","38,900,000","39,300,000","25,900,000","15,700,000"
		PayablesAndAccruedExpenses,"5,539,000,000","6,530,000,000","7,749,000,000","7,951,000,000","6,194,000,000","6,239,000,000","5,874,000,000","5,875,000,000","5,380,000,000","6,042,000,000","6,142,000,000","7,337,000,000","6,621,000,000","7,273,000,000","7,119,000,000","6,049,000,000","5,745,000,000","5,169,000,000","4,477,000,000","3,833,000,000","3,503,000,000","3,280,000,000","2,319,000,000","1,313,940,000","1,011,746,000","727,100,000","487,800,000","673,900,000","406,700,000","294,100,000","118,300,000","68,700,000","41,900,000","29,700,000",,,,
			Payables,"4,637,000,000","5,687,000,000","6,803,000,000","6,979,000,000","5,288,000,000","5,257,000,000","4,873,000,000","5,010,000,000","4,578,000,000","5,260,000,000","5,269,000,000","5,652,000,000","5,150,000,000","5,592,000,000","5,278,000,000","4,297,000,000","3,934,000,000","3,234,000,000","2,824,000,000","2,460,000,000","2,195,000,000","2,202,000,000","1,773,000,000","1,313,940,000","1,011,746,000","727,100,000","487,800,000","673,900,000","406,700,000","294,100,000","118,300,000","68,700,000","41,900,000","29,700,000",,,,
				AccountsPayable,"4,637,000,000","5,687,000,000","6,803,000,000","6,979,000,000","5,288,000,000","5,257,000,000","4,873,000,000","4,984,000,000","4,450,000,000","5,030,000,000","5,122,000,000","5,364,000,000","4,894,000,000","5,276,000,000","4,997,000,000","4,297,000,000","3,934,000,000","3,234,000,000","2,824,000,000","2,460,000,000","2,195,000,000","2,202,000,000","1,773,000,000","1,313,940,000","1,011,746,000","727,100,000","487,800,000","673,900,000","406,700,000","294,100,000","118,300,000","68,700,000","41,900,000","29,700,000",,,,
				TotalTaxPayable,,,,,,,"137,000,000","26,000,000","128,000,000","230,000,000","147,000,000","288,000,000","256,000,000","316,000,000","281,000,000",,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,"137,000,000","26,000,000","128,000,000","230,000,000","147,000,000","288,000,000","256,000,000","316,000,000","281,000,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"902,000,000","843,000,000","946,000,000","972,000,000","906,000,000","982,000,000","1,001,000,000","865,000,000","802,000,000","782,000,000","873,000,000","1,685,000,000","1,471,000,000","1,681,000,000","1,841,000,000","1,752,000,000","1,811,000,000","1,935,000,000","1,653,000,000","1,373,000,000","1,308,000,000","1,078,000,000","546,000,000",,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"486,000,000","405,000,000","845,000,000","725,000,000","410,000,000","482,000,000","561,000,000","358,000,000","384,000,000","372,000,000","444,000,000","539,000,000","570,000,000","544,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"631,000,000","654,000,000","661,000,000","817,000,000","674,000,000","56,000,000","544,000,000","44,000,000","395,000,000","41,000,000","45,000,000","523,000,000","998,000,000","698,000,000","837,000,000","189,000,000","60,000,000","418,000,000","72,000,000","368,000,000","1,000,000","7,000,000","115,000,000","15,790,000","30,088,000","50,500,000","148,900,000","117,600,000","95,500,000","20,100,000","9,400,000","38,100,000","300,000","200,000","5,100,000","2,100,000","5,000,000","200,000"
			CurrentDebt,,,,"110,000,000","14,000,000","56,000,000","544,000,000","44,000,000","395,000,000","41,000,000","45,000,000","523,000,000","998,000,000","698,000,000","837,000,000","189,000,000","60,000,000","418,000,000","72,000,000","368,000,000","1,000,000","7,000,000","115,000,000","15,790,000","30,088,000","50,500,000","148,900,000","117,600,000","95,500,000","20,100,000","9,400,000","38,100,000","300,000","200,000","5,100,000","2,100,000","5,000,000","200,000"
				LineOfCredit,,,,,,,,,,,"0","480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,"110,000,000","14,000,000","56,000,000",,,,,"45,000,000","43,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"631,000,000","654,000,000","661,000,000","707,000,000","674,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"1,253,000,000","1,390,000,000","1,419,000,000","1,028,000,000","782,000,000","736,000,000","838,000,000","845,000,000","766,000,000","737,000,000","805,000,000","456,000,000","474,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"1,253,000,000","1,390,000,000","1,419,000,000","1,028,000,000","782,000,000","736,000,000","838,000,000","845,000,000","766,000,000","737,000,000","805,000,000","456,000,000","474,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,"585,000,000",,"456,000,000","474,000,000","463,000,000","479,000,000","531,000,000","496,000,000","469,000,000","410,000,000","300,000,000","320,000,000","418,000,000","281,000,000","455,319,000","367,882,000","256,100,000","180,900,000","183,200,000","129,400,000","87,800,000","58,300,000","39,500,000","32,800,000","19,700,000","33,800,000","37,200,000","20,900,000","15,500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,005,000,000","4,029,000,000","3,810,000,000","3,959,000,000","4,052,000,000","2,082,000,000","1,620,000,000","2,025,000,000","2,216,000,000","2,468,000,000","2,588,000,000","2,784,000,000","1,894,000,000","2,360,000,000","2,235,000,000","1,465,000,000","1,033,000,000","551,000,000","886,000,000","729,000,000","1,140,000,000","1,141,000,000","303,000,000","114,308,000","87,962,000","464,900,000","248,400,000","254,500,000","269,400,000","239,100,000","70,800,000","33,300,000","53,800,000","41,000,000","40,600,000","42,800,000","6,000,000","1,800,000"
		LongTermDebtAndCapitalLeaseObligation,"3,351,000,000","3,324,000,000","3,277,000,000","3,174,000,000","3,306,000,000","1,332,000,000","811,000,000","1,321,000,000","1,339,000,000","1,572,000,000","1,612,000,000","1,685,000,000","711,000,000","1,104,000,000","1,126,000,000","627,000,000","590,000,000","178,000,000","528,000,000","482,000,000","828,000,000","808,000,000","181,000,000","14,860,000","30,509,000","210,400,000","216,600,000","206,300,000","227,200,000","210,800,000","48,100,000","14,900,000","35,400,000","35,100,000","34,700,000","42,800,000","6,000,000","1,700,000"
			LongTermDebt,"1,152,000,000","1,160,000,000","1,216,000,000","1,138,000,000","1,144,000,000","1,332,000,000","811,000,000","1,321,000,000","1,339,000,000","1,572,000,000","1,612,000,000","1,685,000,000","711,000,000","1,104,000,000","1,126,000,000","627,000,000","590,000,000","178,000,000","528,000,000","482,000,000","828,000,000","808,000,000","181,000,000","14,860,000","30,509,000","210,400,000","216,600,000","206,300,000","227,200,000","210,800,000","48,100,000","14,900,000","35,400,000","35,100,000","34,700,000","42,800,000","6,000,000","1,700,000"
			LongTermCapitalLeaseObligation,"2,199,000,000","2,164,000,000","2,061,000,000","2,036,000,000","2,162,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100,000","3,600,000",,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100,000","3,600,000",,,,,,,,,,,
		DerivativeProductLiabilities,,,"50,000,000","91,000,000","89,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,,,,,,,"0","15,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"654,000,000","705,000,000","533,000,000","694,000,000","657,000,000","750,000,000","809,000,000","704,000,000","877,000,000","881,000,000","976,000,000","1,099,000,000","1,183,000,000","1,256,000,000","1,109,000,000","838,000,000","443,000,000","373,000,000","358,000,000","247,000,000","312,000,000","333,000,000","122,000,000","99,448,000","57,453,000","247,400,000","28,200,000","48,200,000","42,200,000","28,300,000","22,700,000","18,400,000","18,400,000","5,900,000","5,900,000",,,"100,000"
TotalEquityGrossMinorityInterest,"3,053,000,000","2,795,000,000","3,020,000,000","4,587,000,000","3,479,000,000","3,306,000,000","3,612,000,000","4,709,000,000","4,378,000,000","5,000,000,000","3,989,000,000","4,366,000,000","7,292,000,000","6,964,000,000","5,156,000,000","4,524,000,000","6,236,000,000","5,257,000,000","4,449,000,000","3,422,000,000","2,730,000,000","2,521,000,000","1,822,000,000","1,095,985,000","1,033,945,000","557,700,000","668,300,000","661,600,000","606,100,000","311,400,000","182,300,000","157,600,000","56,700,000","66,200,000","60,400,000","58,200,000","55,700,000","14,400,000"
