name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
			PurchaseOfInvestment,,,,,,,,,,,,,"0",,"-16,583,000","-13,539,000","-54,288,000","-1,459,736,000","-1,459,835,000","-1,016,986,000","-4,314,070,000","-3,849,077,000","-2,729,271,000","-71,220,000",,"-56,933,000",,,
			SaleOfInvestment,,,,,,,,,,,"0","0","101,963,000","2,650,000","84,542,000","77,450,000","308,673,000","1,362,911,000","1,404,805,000","605,101,000","4,778,770,000","3,771,085,000","2,418,661,000",,"45,601,000","11,332,000",,,
		NetOtherInvestingChanges,,,"12,000,000",,"50,000,000",,,,,"9,523,000","-450,000","-9,937,000","-9,339,000","-24,741,000","-16,583,000","-13,539,000","-4,877,000","-15,000,000","-15,258,000",,,,"4,954,000","-454,000","-3,000,000","-1,500,000",,,
FinancingCashFlow,"-414,820,000","-111,201,000","-155,329,000","-446,898,000","69,717,000","-147,873,000","-131,691,000","-74,813,000","-84,509,000","-106,943,000","-181,453,000","-40,831,000","-380,071,000","-265,329,000","-145,333,000","-136,050,000","30,469,000","-282,755,000","-77,135,000","-73,331,000","-411,765,000","-91,758,000","-38,926,000","-4,930,000","-50,636,000","-38,540,000","-10,300,000","-29,987,000","-21,442,000"
	CashFlowFromContinuingFinancingActivities,"-414,820,000","-111,201,000","-155,329,000","-446,898,000","69,717,000","-147,873,000","-131,691,000","-74,813,000","-84,509,000","-106,943,000","-181,453,000","-40,831,000","-380,071,000","-265,329,000","-145,333,000","-136,050,000","30,469,000","-282,755,000","-77,135,000","-73,331,000","-411,765,000","-91,758,000","-38,926,000","-4,930,000","-50,636,000","-38,540,000","-10,300,000","-29,987,000","-21,442,000"
		NetIssuancePaymentsOfDebt,"-301,303,000","-77,972,000","-7,862,000","-46,969,000","116,750,000","-20,000,000","0","-15,000,000","-25,000,000","-6,000,000","161,250,000","135,000,000","0","-59,119,000","-21,460,000","-51,944,000","80,253,000","13,536,000",,"5,164,000","20,404,000","4,145,000","4,047,000",,"-43,929,000",,"-50,000,000","-29,202,000","-112,628,000"
			NetLongTermDebtIssuance,"-301,303,000","-77,972,000","-7,862,000","-46,969,000","116,750,000","-20,000,000","0","-15,000,000","-25,000,000","-6,000,000","161,250,000","135,000,000","0","-45,002,000","-12,093,000","-51,944,000","100,000,000","0",,,,,,,,,,,
				LongTermDebtIssuance,,,"0","0","350,000,000","0","0",,"0",,"357,000,000","150,000,000","135,000,000","0","0","48,056,000","100,000,000","0",,,,,,,,,,,
				LongTermDebtPayments,"-301,303,000","-77,972,000","-7,862,000","-46,969,000","-233,250,000","-20,000,000","0","-15,000,000","-25,000,000","-6,000,000","-195,750,000","-15,000,000","-135,000,000","-45,002,000","-12,093,000","-100,000,000","0","0",,,,,,,,,,,
			NetShortTermDebtIssuance,,,"0","0","0","0","0",,,,,"-795,000","-4,646,000","-14,117,000","-9,367,000","-24,654,000","-19,747,000","13,536,000",,,,,,,,,,,
				ShortTermDebtIssuance,,,"0","0","210,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,"0","0","-210,000,000","0","0",,,,,"-795,000","-4,646,000","-14,117,000","-9,367,000",,,,,,,,,,,,,,
		NetCommonStockIssuance,"-78,456,000","0","-125,775,000","-377,290,000","-15,172,000","-63,542,000","-68,670,000","0","0","-50,033,000","-285,038,000","-115,806,000","-321,665,000","-196,605,000","-76,158,000","0","-50,000,000","-287,916,000","12,876,000","-26,277,000","-385,731,000","-95,903,000","-42,691,000","-11,069,000",,"-50,856,000","14,700,000","-929,000","118,178,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,"2,048,000","55,194,000","38,750,000","12,876,000","77,019,000","48,927,000","19,767,000",,,,,"25,900,000",,"118,178,000"
			CommonStockPayments,"-78,456,000","0","-125,775,000","-377,290,000","-15,172,000","-63,542,000","-68,670,000","0","0","-50,033,000","-285,038,000","-115,806,000","-321,665,000","-196,605,000","-76,158,000","0","-50,000,000","-287,916,000",,"-103,296,000","-434,658,000","-115,670,000","-42,691,000","-11,069,000",,"-50,856,000","-11,200,000","-929,000",
		CashDividendsPaid,,,"0","0","-12,556,000","-51,510,000","-53,714,000","-54,392,000","-54,066,000","-55,145,000","-57,362,000","-61,923,000","-57,634,000","-60,956,000","-61,656,000","-61,500,000","-60,769,000","-61,330,000","-61,623,000","-52,218,000","-46,438,000",,,,,,,,"-27,000,000"
			CommonStockDividendPaid,,,"0","0","-12,556,000","-51,510,000","-53,714,000","-54,392,000","-54,066,000","-55,145,000","-57,362,000","-61,923,000","-57,634,000","-60,956,000","-61,656,000","-61,500,000","-60,769,000","-61,330,000",,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,,"254,000","213,000","2,676,000","46,530,000","13,941,000","2,048,000","55,194,000","38,750,000",,,,,,,,,,,
		NetOtherFinancingCharges,"-35,061,000","-33,229,000","-21,692,000","-22,639,000","-19,305,000","-12,821,000","-9,307,000","-5,421,000","-5,443,000","4,235,000","-303,000","1,898,000","-3,448,000","4,821,000","4,574,000","-22,606,000","5,791,000","14,205,000","-28,388,000",,,,"-282,000","6,139,000","-6,707,000","12,316,000","25,000,000","144,000","8,000"
EndCashPosition,"745,445,000","909,685,000","527,569,000","834,368,000","1,124,157,000","692,264,000","745,829,000","697,955,000","567,632,000","588,578,000","520,708,000","600,116,000","643,505,000","583,495,000","826,353,000","669,950,000","518,672,000","118,044,000","81,959,000","50,687,000","338,735,000","47,081,000","43,355,000","167,664,000","137,581,000","147,908,000","163,600,000","42,667,000","1,945,000"
	ChangesInCash,"118,342,000","385,039,000","-298,347,000","-266,095,000","422,725,000","-49,972,000","68,849,000","106,047,000","-36,086,000","80,499,000","-44,047,000","-39,199,000","56,862,000","-240,799,000","153,480,000","147,876,000","408,283,000","34,599,000","31,272,000","-288,048,000","291,654,000","11,287,000","-144,412,000","30,083,000","-10,327,000","-15,656,000","120,900,000","40,722,000","1,071,000"
	EffectOfExchangeRateChanges,"850,000","-2,923,000","-8,452,000","-23,694,000","9,168,000","-3,593,000","-20,975,000","24,276,000","-5,441,000","-12,629,000","-35,361,000","-4,190,000","3,148,000","-2,059,000","2,923,000","3,402,000","-4,010,000","1,486,000",,,,,,,,,,,
	BeginningCashPosition,"627,103,000","527,569,000","834,368,000","1,124,157,000","692,264,000","745,829,000","697,955,000","567,632,000","609,159,000","520,708,000","600,116,000","643,505,000","583,495,000","826,353,000","669,950,000","518,672,000","114,399,000","81,959,000","50,687,000","338,735,000","47,081,000","35,794,000","187,767,000","137,581,000","147,908,000","163,564,000","42,700,000","1,945,000","874,000"
IncomeTaxPaidSupplementalData,"211,969,000","120,448,000","53,011,000","74,709,000","15,210,000","20,717,000","24,331,000","16,230,000","30,984,000","49,745,000","74,685,000","116,312,000",,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"21,310,000","24,891,000","26,687,000","28,413,000","26,629,000","17,514,000","14,221,000","13,381,000","15,254,000","16,060,000","18,609,000","4,565,000","4,217,000",,,,,,,,,,,,,,,,
CapitalExpenditure,"-149,666,000","-157,797,000","-164,566,000","-96,979,000","-101,910,000","-202,784,000","-152,393,000","-107,001,000","-140,844,000","-143,199,000","-174,624,000","-163,924,000","-339,862,000","-318,598,000","-160,935,000","-175,472,000","-367,602,000","-403,345,000","-403,476,000","-256,422,000","-185,065,000","-159,777,000","-145,662,000","-126,515,000","-153,481,000","-83,824,000","-41,900,000","-29,486,000","-24,323,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,"2,048,000","55,194,000","38,750,000","12,876,000","77,019,000","48,927,000","19,767,000",,,,,"25,900,000",,"118,178,000"
IssuanceOfDebt,,,"0","0","560,000,000","0","0",,"0",,"357,000,000","150,000,000","135,000,000","0","0","48,056,000","100,000,000","0",,,,,,,,,,,
RepaymentOfDebt,"-301,303,000","-77,972,000","-7,862,000","-46,969,000","-443,250,000","-20,000,000","0","-15,000,000","-25,000,000","-6,000,000","-195,750,000","-15,000,000","-135,000,000","-59,119,000","-21,460,000","-100,000,000","0","0",,,,,,,,,,,
RepurchaseOfCapitalStock,"-78,456,000","0","-125,775,000","-377,290,000","-15,172,000","-63,542,000","-68,670,000","0","0","-50,033,000","-285,038,000","-115,806,000","-321,665,000","-196,605,000","-76,158,000","0","-50,000,000","-287,916,000",,"-103,296,000","-434,658,000","-115,670,000","-42,691,000","-11,069,000",,"-50,856,000","-11,200,000","-929,000",
FreeCashFlow,"547,547,000","495,625,000","-166,909,000","180,803,000","303,008,000","97,901,000","200,540,000","180,657,000","44,325,000","166,810,000","137,856,000","11,569,000","344,309,000","46,621,000","230,854,000","220,015,000","123,429,000","414,179,000","178,695,000","197,168,000","238,719,000","181,037,000","200,170,000","106,687,000","-2,292,000","69,985,000","131,200,000","70,709,000","22,513,000"
