name,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013
		PrepaidAssets,"1,291,000","2,344,000","2,292,000","2,901,000","766,000","6,339,000","9,554,000","12,779,000","0","4,625,000","4,121,000","2,640,000"
		CurrentDeferredAssets,,,,,,,,,,"24,358,000","21,689,000","19,500,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,"24,358,000","21,689,000","19,500,000"
		AssetsHeldForSaleCurrent,"0","27,430,000","3,544,000",,,,,,,,,
		OtherCurrentAssets,"39,158,000","49,512,000","59,899,000","61,933,000","16,177,000","11,778,000","11,847,000","10,698,000","6,453,000","4,625,000","4,121,000","2,640,000"
	TotalNonCurrentAssets,"374,328,000","443,778,000","539,848,000","530,280,000","571,513,000","354,820,000","419,840,000","697,201,000","625,231,000","619,702,000","612,271,000","623,188,000"
		NetPPE,"255,434,000","315,125,000","360,168,000","329,628,000","348,576,000","109,777,000","111,287,000","116,613,000","111,185,000","107,557,000","99,608,000","99,423,000"
			GrossPPE,"787,333,000","857,884,000","892,219,000","865,161,000","867,466,000","600,872,000","571,348,000","551,052,000","514,979,000","484,468,000","446,992,000","419,832,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","135,421,000","129,860,000"
				BuildingsAndImprovements,,,,,,,,,,"149,065,000","135,421,000","129,860,000"
				MachineryFurnitureEquipment,"475,686,000","483,062,000","474,082,000","462,951,000","454,420,000","435,765,000","415,875,000","388,241,000","355,082,000","335,403,000","311,571,000","289,972,000"
				OtherProperties,"202,522,000","249,491,000","289,103,000","265,982,000","267,566,000","11,593,000","514,000",,,,,"0"
				ConstructionInProgress,"2,361,000","4,644,000","3,710,000","4,444,000","3,878,000","5,499,000","6,546,000","18,551,000","17,302,000","10,758,000",,
				Leases,"106,764,000","120,687,000","125,324,000","131,784,000","141,602,000","148,015,000","148,413,000","144,260,000","142,595,000","138,307,000",,
			AccumulatedDepreciation,"-531,899,000","-542,759,000","-532,051,000","-535,533,000","-518,890,000","-491,095,000","-460,061,000","-434,439,000","-403,794,000","-376,911,000","-347,384,000","-320,409,000"
		GoodwillAndOtherIntangibleAssets,"94,191,000","110,632,000","126,993,000","155,604,000","179,825,000","199,678,000","268,411,000","539,352,000","480,574,000","472,260,000","482,511,000","492,738,000"
			Goodwill,,,"4,700,000","4,700,000","4,700,000","4,700,000","49,282,000","329,467,000","280,911,000","274,070,000","274,070,000","274,070,000"
			OtherIntangibleAssets,"94,191,000","110,632,000","126,993,000","150,904,000","175,125,000","194,978,000","219,129,000","209,885,000","199,663,000","198,190,000","208,441,000","218,668,000"
		NonCurrentDeferredAssets,"0","132,000","0","15,943,000","7,805,000","2,425,000","0",,,,,
			NonCurrentDeferredTaxesAssets,"0","132,000","0","15,943,000","7,805,000","2,425,000","0",,,,,
		OtherNonCurrentAssets,"24,703,000","17,889,000","52,687,000","29,105,000","35,307,000","42,940,000","40,142,000","41,236,000","33,472,000","39,885,000","30,152,000","31,027,000"
TotalLiabilitiesNetMinorityInterest,"834,505,000","850,028,000","843,179,000","738,102,000","738,681,000","495,552,000","571,248,000","586,124,000","363,297,000","363,999,000","335,825,000","315,938,000"
	CurrentLiabilities,"478,804,000","462,085,000","415,402,000","373,680,000","406,669,000","408,538,000","413,465,000","413,220,000","258,052,000","252,778,000","258,217,000","228,526,000"
		PayablesAndAccruedExpenses,"376,598,000","353,682,000","271,157,000","231,167,000","239,098,000","308,538,000","313,465,000","313,220,000","258,052,000","252,778,000","258,217,000","228,526,000"
			Payables,"299,157,000","267,923,000","182,617,000","137,578,000","143,678,000","186,818,000","187,909,000","192,742,000","152,175,000","155,203,000","165,573,000","143,038,000"
				AccountsPayable,"299,157,000","267,923,000","182,617,000","137,578,000","143,678,000","186,818,000","187,909,000","192,742,000","152,175,000","155,203,000","165,573,000","143,038,000"
				OtherPayable,,,,,,,,,,,,"0"
			CurrentAccruedExpenses,"77,441,000","85,759,000","88,540,000","93,589,000","95,420,000","121,720,000","125,556,000","120,478,000","105,877,000","97,575,000","92,644,000","85,488,000"
		CurrentDebtAndCapitalLeaseObligation,"102,206,000","99,980,000","137,143,000","142,513,000","167,571,000","100,000,000","100,000,000","100,000,000",,,,
			CurrentDebt,,,"40,000,000","50,000,000","75,000,000","100,000,000","100,000,000","100,000,000",,,,
				LineOfCredit,,"0","40,000,000","50,000,000","75,000,000","100,000,000","100,000,000","100,000,000","0",,,
				OtherCurrentBorrowings,,,,,"75,000,000","100,000,000","100,000,000","100,000,000",,,,
			CurrentCapitalLeaseObligation,"102,206,000","99,980,000","97,143,000","92,513,000","92,571,000","0",,,,,,
		OtherCurrentLiabilities,,"8,423,000","7,102,000",,,,,,,,,"0"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"355,701,000","387,943,000","427,777,000","364,422,000","332,012,000","87,014,000","157,783,000","172,904,000","105,245,000","111,221,000","77,608,000","87,412,000"
		LongTermDebtAndCapitalLeaseObligation,"338,530,000","366,905,000","405,294,000","312,380,000","285,842,000","33,500,000","96,400,000","59,600,000",,,,
			LongTermDebt,"196,337,000","182,151,000","185,700,000","127,600,000","99,700,000","33,500,000","96,400,000","59,600,000",,,,
			LongTermCapitalLeaseObligation,"142,193,000","184,754,000","219,594,000","184,780,000","186,142,000","0",,,,,,
		NonCurrentDeferredLiabilities,"1,289,000","1,970,000","1,430,000","0",,"0","2,106,000","16,871,000","29,865,000","45,815,000","77,139,000","84,862,000"
			NonCurrentDeferredTaxesLiabilities,"1,289,000","1,970,000","1,430,000","0",,"0","2,106,000","16,871,000","29,865,000","41,733,000","74,753,000","82,526,000"
		TradeandOtherPayablesNonCurrent,,,,,,,,,"69,345,000","63,673,000","180,000","96,000"
		DerivativeProductLiabilities,,,,,,,,,,,"0","1,700,000"
		OtherNonCurrentLiabilities,"15,882,000","19,068,000","21,053,000","52,042,000","46,170,000","53,514,000","59,277,000","96,433,000","75,380,000","1,733,000","289,000","754,000"
TotalEquityGrossMinorityInterest,"70,579,000","130,751,000","228,374,000","293,011,000","417,751,000","450,628,000","467,963,000","713,708,000","708,386,000","726,669,000","807,935,000","710,522,000"
	StockholdersEquity,"70,579,000","130,751,000","228,374,000","293,011,000","417,751,000","450,628,000","467,963,000","713,708,000","708,386,000","726,669,000","807,935,000","710,522,000"
		CapitalStock,"558,000","551,000","542,000","533,000","521,000","510,000","501,000","494,000","486,000","0",,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0",,
			CommonStock,"558,000","551,000","542,000","533,000","521,000","510,000","501,000","494,000","486,000","0",,
		AdditionalPaidInCapital,"749,140,000","745,932,000","740,838,000","734,257,000","732,958,000","726,331,000","717,323,000","708,871,000","699,513,000","0",,
		RetainedEarnings,"-656,567,000","-593,356,000","-491,494,000","-422,637,000","-282,827,000","-244,577,000","-220,203,000","32,363,000","27,002,000","0",,
		TreasuryStock,"22,552,000","22,376,000","21,512,000","19,142,000","32,901,000","31,636,000","29,658,000","28,020,000","18,615,000","0",,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,"1,000","0",,
		OtherEquityInterest,,,,,,,,,,"726,669,000","807,935,000","710,522,000"
TotalCapitalization,"266,916,000","312,902,000","414,074,000","420,611,000","517,451,000","484,128,000","564,363,000","773,308,000","708,386,000","726,669,000","807,935,000","710,522,000"
CommonStockEquity,"70,579,000","130,751,000","228,374,000","293,011,000","417,751,000","450,628,000","467,963,000","713,708,000","708,386,000","726,669,000","807,935,000","710,522,000"
CapitalLeaseObligations,"244,399,000","284,734,000","316,737,000","277,293,000","278,713,000","0",,,,,,
NetTangibleAssets,"-23,612,000","20,119,000","101,381,000","137,407,000","237,926,000","250,950,000","199,552,000","174,356,000","227,812,000","254,409,000","325,424,000","217,784,000"
WorkingCapital,"51,952,000","74,916,000","116,303,000","127,153,000","178,250,000","182,822,000","205,906,000","189,411,000","188,400,000","218,188,000","273,272,000","174,746,000"
InvestedCapital,"266,916,000","312,902,000","454,074,000","470,611,000","592,451,000","584,128,000","664,363,000","873,308,000","708,386,000","726,669,000","807,935,000","710,522,000"
TangibleBookValue,"-23,612,000","20,119,000","101,381,000","137,407,000","237,926,000","250,950,000","199,552,000","174,356,000","227,812,000","254,409,000","325,424,000","217,784,000"
TotalDebt,"440,736,000","466,885,000","542,437,000","454,893,000","453,413,000","133,500,000","196,400,000","159,600,000",,,,
NetDebt,"185,878,000","167,932,000","216,905,000","169,576,000","166,458,000","119,487,000","180,274,000","140,597,000",,,,
ShareIssued,"2,564,892","2,530,020","2,488,450","2,446,833","2,392,369","2,341,439","2,295,647","2,265,363","2,232,006","2,211,589","2,211,589","2,211,589"
OrdinarySharesNumber,"2,441,007","2,413,660","2,388,057","2,357,452","2,216,085","2,182,361","2,152,720","2,134,366","2,145,287","2,211,589","2,211,589","2,211,589"
TreasurySharesNumber,"123,885","116,360","100,393","89,381","176,284","159,078","142,927","130,997","86,719",,,
