name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,07/31/1995,07/31/1994,07/31/1993
			OtherReceivables,,"61,427,000","89,697,000","39,022,000","50,129,000","38,063,000","19,562,000","19,264,000","27,328,000","25,543,000","33,847,000","14,920,000","14,134,000",,,,,,,,,,,,,,,,,,,
		Inventory,"640,662,000","585,083,000","553,458,000","405,445,000","446,278,000","424,404,000","398,213,000","358,446,000","305,178,000","278,972,000","291,541,000","332,452,000","367,514,000","301,208,000","326,454,000","294,928,000","286,485,000","263,644,000","210,739,000","170,576,000","120,586,000","124,708,000","91,096,000","84,064,000","74,363,000","49,688,000","36,278,000","27,117,000","23,394,000","79,000,000","45,200,000","24,400,000"
			FinishedGoods,"640,662,000","585,083,000","553,458,000","405,445,000","446,278,000","424,404,000","398,213,000","358,446,000","305,178,000","278,972,000","291,541,000","332,452,000","367,514,000",,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,"122,013,000","120,619,000","65,658,000","102,907,000","78,400,000","77,536,000","77,218,000","70,477,000","88,155,000","73,805,000","74,947,000","53,727,000","47,039,000","59,660,000","35,486,000","33,720,000","30,110,000","25,856,000","27,589,000","32,153,000","23,503,000","18,864,000","9,075,000","2,757,000","5,388,000","4,381,000","4,429,000",,,
		CurrentDeferredAssets,,,,,,,,,,"59,102,000","45,478,000","58,230,000","48,761,000","48,059,000","60,156,000","45,447,000","47,004,000","51,886,000","44,560,000","39,313,000","20,584,000","15,846,000","19,000,000","24,894,000","19,525,000","8,199,000","4,801,000","4,380,000","2,891,000",,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"59,102,000","45,478,000","58,230,000","48,761,000","48,059,000","60,156,000","45,447,000","47,004,000","51,886,000","44,560,000","39,313,000","20,584,000","15,846,000","19,000,000","24,894,000","19,525,000","8,199,000","4,801,000","4,380,000","2,891,000",,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,"0","10,912,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"90,660,000","102,563,000","122,013,000","120,619,000","65,658,000","102,907,000","78,400,000","77,536,000","77,218,000","70,477,000","88,155,000","73,805,000","74,947,000",,,,,,"12,183,000","13,581,000",,,,"43,758,000",,,,,"7,300,000","9,000,000","9,100,000","2,600,000"
	TotalNonCurrentAssets,"2,124,559,000","2,320,715,000","2,389,719,000","1,912,163,000","2,280,749,000","857,125,000","847,783,000","881,431,000","888,871,000","868,868,000","766,173,000","614,252,000","663,314,000","705,588,000","971,118,000","1,038,317,000","846,846,000","790,450,000","527,393,000","463,561,000","401,714,000","313,461,000","297,186,000","224,385,000","76,547,000","56,444,000","42,322,000","36,678,000","39,021,000","38,700,000","23,000,000","12,800,000"
		NetPPE,"1,718,629,000","1,868,513,000","1,921,293,000","1,779,773,000","2,154,036,000","742,149,000","724,239,000","707,797,000","703,586,000","698,227,000","632,986,000","509,632,000","582,162,000","643,120,000","713,142,000","740,240,000","625,568,000","481,645,000","345,518,000","339,833,000","340,955,000","267,479,000","257,731,000","183,373,000","68,241,000","53,370,000","38,547,000","34,191,000","33,729,000","37,100,000","21,000,000","12,400,000"
			GrossPPE,"3,432,407,000","3,794,060,000","3,673,459,000","3,406,939,000","3,733,344,000","2,180,850,000","2,023,875,000","1,884,297,000","1,792,382,000","1,690,176,000","1,594,360,000","1,431,629,000","1,458,522,000","1,432,802,000","1,394,806,000","1,298,629,000","1,091,310,000","857,690,000","667,023,000","603,478,000","566,757,000","403,776,000","349,236,000","240,237,000","102,817,000","83,303,000","61,820,000","55,789,000","56,773,000","60,600,000","42,600,000","33,400,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				LandAndImprovements,"17,910,000","17,910,000","17,910,000","17,910,000","17,910,000","17,910,000","17,910,000","17,910,000","17,910,000","19,796,000","17,986,000","6,364,000","6,364,000","6,364,000","6,364,000","6,364,000","6,869,000","6,869,000","4,284,000","3,250,000","2,355,000","219,457,000","2,355,000","1,855,000",,,,,,,,
				BuildingsAndImprovements,"222,660,000","222,857,000","219,194,000","216,429,000","211,814,000","209,487,000","206,505,000","204,890,000","204,690,000","204,190,000","140,600,000","153,729,000","153,538,000","152,984,000","151,484,000","122,414,000","634,820,000","468,974,000","391,820,000","358,161,000","375,405,000","20,144,000","212,050,000","145,196,000","60,215,000","46,996,000","35,978,000","32,671,000","30,326,000",,,
				MachineryFurnitureEquipment,"1,335,173,000","1,635,897,000","1,496,972,000","1,325,711,000","1,316,198,000","1,221,203,000","1,143,140,000","1,028,117,000","963,758,000","852,408,000","732,228,000","671,075,000","656,337,000","647,346,000","590,610,000","536,009,000","427,827,000","289,828,000","269,821,000","239,749,000","187,304,000","164,175,000","134,831,000","93,186,000","42,602,000","36,307,000","25,842,000","23,118,000","26,447,000",,,
				OtherProperties,"1,005,293,000","1,086,999,000","1,193,021,000","1,155,965,000","1,418,916,000",,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"852,000","8,105,000","7,117,000","1,039,000","46,992,000","34,221,000","25,595,000","26,858,000","25,266,000","42,470,000","102,974,000","8,725,000","3,787,000","1,629,000","554,000","28,543,000","21,794,000","92,019,000","1,098,000","2,318,000","1,693,000",,,,,,,,,,,
				Leases,"850,519,000","822,292,000","739,245,000","689,885,000","721,514,000","698,029,000","630,725,000","606,522,000","580,758,000","571,312,000","600,572,000","591,736,000","638,496,000","624,479,000","645,794,000","605,299,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,713,778,000","-1,925,547,000","-1,752,166,000","-1,627,166,000","-1,579,308,000","-1,438,701,000","-1,299,636,000","-1,176,500,000","-1,088,796,000","-991,949,000","-961,374,000","-921,997,000","-876,360,000","-789,682,000","-681,664,000","-558,389,000","-465,742,000","-376,045,000","-321,505,000","-263,645,000","-225,802,000","-136,297,000","-91,505,000","-56,864,000","-34,576,000","-29,933,000","-23,273,000","-21,598,000","-23,044,000","-23,500,000","-21,600,000","-21,000,000"
		GoodwillAndOtherIntangibleAssets,"271,412,000","359,481,000","374,117,000","70,332,000","53,004,000","58,167,000","61,736,000","64,260,000","69,018,000","60,302,000","62,801,000","49,620,000","51,301,000","11,472,000","11,210,000","10,706,000","11,479,000","9,950,000","9,950,000","9,950,000","10,136,000","23,614,000","23,966,000","26,123,000",,,,,,,,
			Goodwill,"225,303,000","264,945,000","271,416,000","13,267,000","13,157,000","14,899,000","15,070,000","14,887,000","17,186,000","13,096,000","13,530,000","11,484,000","11,469,000","11,472,000","11,210,000","10,706,000","11,479,000","9,950,000","9,950,000",,,,,"26,123,000",,,,,,,,
			OtherIntangibleAssets,"46,109,000","94,536,000","102,701,000","57,065,000","39,847,000","43,268,000","46,666,000","49,373,000","51,832,000","47,206,000","49,271,000","38,136,000","39,832,000",,,,,,"9,950,000","9,950,000","10,136,000","23,614,000","23,966,000","23,780,000",,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,"5,915,000","197,773,000","251,007,000",,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"82,064,000","36,483,000","44,167,000","33,045,000","22,724,000","14,062,000","9,344,000","49,250,000","64,927,000","73,137,000","24,835,000","31,282,000","13,467,000","19,616,000","27,305,000","15,001,000","24,238,000","18,260,000",,,,,,"10,129,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,"82,064,000","36,483,000","44,167,000","33,045,000","22,724,000","14,062,000","9,344,000","49,250,000","64,927,000","73,137,000","24,835,000","31,282,000","13,467,000","19,616,000","27,305,000","15,001,000","24,238,000","18,260,000",,,,,,"10,129,000",,,,,,,,
		OtherNonCurrentAssets,"52,454,000","56,238,000","50,142,000","29,013,000","50,985,000","42,747,000","52,464,000","60,124,000","51,340,000","37,202,000","45,551,000","23,718,000","16,384,000","25,465,000","21,688,000","21,363,000","185,561,000","280,595,000","171,925,000","113,778,000","50,623,000","22,368,000","15,489,000","4,760,000","8,306,000","3,074,000","3,775,000","2,487,000","5,292,000","1,600,000","2,000,000","400,000"
TotalLiabilitiesNetMinorityInterest,"1,821,150,000","1,821,793,000","2,362,971,000","2,348,141,000","2,080,826,000","615,823,000","569,522,000","578,091,000","560,870,000","557,162,000","527,986,000","534,866,000","533,951,000","528,927,000","559,631,000","554,645,000","527,216,000","562,246,000","450,097,000","365,440,000","295,037,000","163,857,000","171,843,000","175,351,000","70,282,000","59,751,000","53,987,000","39,382,000","31,567,000","76,600,000","32,800,000","35,700,000"
	CurrentLiabilities,"891,172,000","768,948,000","842,871,000","858,482,000","751,756,000","542,645,000","485,221,000","493,783,000","463,682,000","459,093,000","415,478,000","435,902,000","405,401,000","387,837,000","408,955,000","401,763,000","376,178,000","464,618,000","351,487,000","282,626,000","208,979,000","141,586,000","151,116,000","149,147,000","70,282,000","59,751,000","53,987,000","39,382,000","31,567,000","76,600,000","32,700,000","28,300,000"
		PayablesAndAccruedExpenses,"466,775,000","297,171,000","389,873,000","412,334,000","338,797,000","342,908,000","387,120,000","391,227,000","361,796,000","347,707,000","309,607,000","349,435,000","323,464,000","330,633,000","322,178,000","270,738,000","292,386,000","378,998,000","283,026,000","223,952,000","155,076,000","104,740,000","122,016,000","42,038,000","45,388,000","36,290,000","33,833,000","25,356,000","20,421,000","37,800,000","23,800,000","11,300,000"
			Payables,"466,775,000","297,171,000","389,873,000","412,334,000","338,797,000","342,908,000","303,808,000","312,608,000","284,314,000","269,140,000","233,210,000","271,562,000","246,543,000","167,723,000","158,526,000","170,367,000","157,928,000","171,150,000","139,197,000","108,929,000","71,330,000","50,608,000","39,067,000","42,038,000","29,801,000","18,551,000","24,606,000","20,430,000","16,166,000","37,800,000","23,800,000","11,300,000"
				AccountsPayable,"268,308,000","234,340,000","231,782,000","255,912,000","285,746,000","240,671,000","236,703,000","246,204,000","182,789,000","191,146,000","203,872,000","176,874,000","183,783,000","167,723,000","158,526,000","152,068,000","157,928,000","171,150,000","139,197,000","108,929,000","71,330,000","50,608,000","39,067,000","42,038,000","29,801,000","18,551,000","24,606,000","20,430,000","16,166,000","37,800,000","23,800,000","11,300,000"
