name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2004
		OtherCurrentAssets,"46,652,000","79,962,000","32,550,000","25,579,000","4,239,000","57,949,000","48,098,000","39,069,000","26,987,000","24,124,000","46,197,000","35,301,000","8,357,000","6,408,000",,,"3,038,498","192,302","273,723",
	TotalNonCurrentAssets,"3,031,364,000","2,447,585,000","2,327,625,000","2,060,836,000","1,473,416,000","655,429,000","562,201,000","494,804,000","397,038,000","345,201,000","306,849,000","264,025,000","207,541,000","110,023,000","90,848,000","94,648,441","54,755,656","23,800,366","14,696,643",
		NetPPE,"2,811,421,000","2,239,033,000","1,731,253,000","1,480,522,000","1,361,357,000","567,237,000","473,642,000","423,499,000","349,605,000","296,008,000","255,603,000","214,639,000","162,941,000","70,954,000","61,591,000","61,661,813","43,604,970","18,175,944","10,426,795",
			GrossPPE,"4,028,846,000","3,226,331,000","2,560,387,000","2,171,109,000","1,883,033,000","972,481,000","817,350,000","701,824,000","553,406,000","453,863,000","374,600,000","306,373,000","254,417,000","138,332,000","107,397,000","88,371,400","59,411,198","25,387,596","13,838,335",
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"79,498,000","80,692,000","74,297,000","74,261,000","71,829,000","78,636,000","83,048,000","78,561,000","55,488,000","60,548,000","67,903,000","72,679,000","60,014,000","0",,,,,,
				BuildingsAndImprovements,"29,032,000","28,850,000","30,880,000","30,870,000","30,187,000","38,030,000","39,278,000","32,174,000","30,885,000","29,099,000","20,407,000","10,969,000","5,018,000","0",,"52,100,706","32,922,397","16,393,457","8,857,568",
				MachineryFurnitureEquipment,"1,399,837,000","1,084,401,000","811,485,000","677,991,000","561,221,000","418,973,000","342,315,000","281,019,000","241,429,000","187,539,000","145,542,000","113,492,000","75,454,000","53,559,000","43,398,000","36,270,694","26,488,801","7,402,567","4,113,147",
				OtherProperties,"1,265,610,000","969,419,000","803,543,000","734,835,000","689,664,000","15,009,000","14,806,000","11,966,000","11,929,000","11,908,000","4,108,000","1,486,000","1,285,000","1,038,000",,,,"1,591,572","867,620",
				ConstructionInProgress,"247,943,000","244,898,000","163,420,000","69,847,000","40,930,000","74,271,000","51,260,000","46,113,000",,,,,,,,,,,,
				Leases,"1,006,926,000","818,071,000","676,762,000","583,305,000","489,202,000","362,571,000","301,449,000","263,957,000","225,604,000","176,677,000","140,748,000","109,233,000","113,931,000","84,773,000","63,999,000",,,,,
			AccumulatedDepreciation,"-1,217,425,000","-987,298,000","-829,134,000","-690,587,000","-521,676,000","-405,244,000","-343,708,000","-278,325,000","-203,801,000","-157,855,000","-118,997,000","-91,734,000","-91,476,000","-67,378,000","-45,806,000","-26,709,587","-15,806,228","-7,211,652","-3,411,540",
		GoodwillAndOtherIntangibleAssets,"24,083,000","46,105,000","458,179,000","466,957,000","24,423,000","24,239,000","24,679,000","24,557,000","24,777,000","26,163,000","28,201,000","30,201,000","31,872,000","27,112,000","8,050,000","8,160,334","8,118,588","2,951,689","3,282,064",
			Goodwill,"24,083,000","24,144,000","386,880,000","386,877,000","24,182,000","24,239,000","24,606,000","24,233,000","23,830,000","24,413,000","25,279,000","26,060,000","26,336,000","20,274,000","899,000","774,128","962,618","811,678","840,325",
			OtherIntangibleAssets,,"21,961,000","71,299,000","80,080,000","241,000",,"73,000","324,000","947,000","1,750,000","2,922,000","4,141,000","5,536,000","6,838,000","7,151,000","7,386,206","7,155,970","2,140,011","2,441,739",
		NonCurrentDeferredAssets,"9,176,000","6,402,000","6,091,000","6,731,000","31,435,000","35,835,000","32,491,000","26,256,000","11,802,000","16,018,000","18,300,000","15,033,000","8,587,000","7,894,000","16,589,000","19,373,559","1,124,595","588,397","186,772",
			NonCurrentDeferredTaxesAssets,"9,176,000","6,402,000","6,091,000","6,731,000","31,435,000","26,549,000","32,491,000","26,256,000","11,802,000","16,018,000","18,300,000","15,033,000","8,587,000","7,894,000","15,102,000","19,373,559","1,124,595","588,397","186,772",
		NonCurrentPrepaidAssets,"31,825,000","28,447,000","24,083,000","23,154,000","19,901,000","15,793,000",,,,,,,,,"945,000",,,,,
		OtherNonCurrentAssets,"154,859,000","127,598,000","108,019,000","83,472,000","36,300,000","12,325,000","31,389,000","20,492,000","10,854,000","7,012,000","4,745,000","4,152,000","4,141,000","4,063,000","3,673,000","5,452,735","1,907,503","2,084,336","801,012",
TotalLiabilitiesNetMinorityInterest,"2,859,860,000","2,458,239,000","2,202,432,000","1,626,649,000","1,329,136,000","638,736,000","401,523,000","297,568,000","286,595,000","206,645,000","155,706,000","163,779,000","128,453,000","105,009,000","74,150,000","56,793,684","43,058,228","34,346,612","13,852,183","1,904,000"
	CurrentLiabilities,"1,631,261,000","1,492,198,000","1,405,334,000","883,178,000","620,418,000","500,477,000","292,598,000","241,990,000","225,504,000","159,881,000","116,214,000","133,357,000","103,439,000","85,364,000","58,678,000","45,334,917","36,140,477","31,284,037","12,242,067",
		PayablesAndAccruedExpenses,"627,141,000","651,236,000","677,389,000","342,756,000","203,363,000","263,848,000","111,667,000","106,958,000","116,161,000","76,167,000","43,108,000","62,504,000","50,987,000","44,238,000","46,603,000","33,234,264","20,630,620","22,106,084","8,864,756",
			Payables,"363,627,000","367,136,000","437,120,000","195,849,000","123,803,000","179,036,000","52,157,000","65,318,000","58,623,000","37,991,000","21,757,000","49,183,000","35,996,000","29,563,000","18,770,000","5,269,423","5,397,102","4,935,037","5,877,048",
				AccountsPayable,"348,441,000","172,732,000","289,728,000","172,246,000","79,997,000","95,533,000","24,646,000","24,846,000","10,381,000","9,339,000","12,647,000","1,045,000","14,536,000","6,659,000","11,028,000","5,269,423","5,397,102","4,935,037","5,877,048",
				TotalTaxPayable,"15,186,000","194,404,000","147,392,000","23,603,000","43,806,000","83,503,000","27,511,000","40,472,000","48,242,000","28,652,000","9,110,000","48,138,000","21,460,000","22,904,000","7,742,000",,,,,
					IncomeTaxPayable,"12,098,000","174,221,000","133,852,000","8,357,000","26,436,000","67,412,000","15,700,000","30,290,000","37,736,000","20,073,000","769,000","39,637,000","8,720,000","18,399,000","7,742,000",,,,,
			CurrentAccruedExpenses,"263,514,000","284,100,000","240,269,000","146,907,000","79,560,000","84,812,000","59,510,000","41,640,000","57,538,000","38,176,000","21,351,000","13,321,000","14,991,000","14,675,000","27,833,000","27,964,841","15,233,518","17,171,047","2,987,708",
		CurrentProvisions,"61,634,000","55,528,000","41,690,000","32,560,000","12,897,000","11,318,000","6,293,000","4,728,000",,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"326,110,000","248,167,000","204,921,000","130,171,000","133,688,000","109,181,000","70,141,000","55,238,000","43,524,000","29,932,000","19,445,000","27,530,000","22,875,000","16,872,000",,,,,,
		CurrentDebtAndCapitalLeaseObligation,"249,270,000","207,972,000","188,996,000","166,091,000","128,497,000",,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"249,270,000","207,972,000","188,996,000","166,091,000","128,497,000","0",,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"306,479,000","251,478,000","208,195,000","155,848,000","120,413,000","107,457,000","85,121,000","70,454,000","57,736,000","46,252,000","38,343,000","35,113,000","22,773,000","18,168,000",,,,,,
			CurrentDeferredRevenue,"306,479,000","251,478,000","208,195,000","155,848,000","120,413,000","107,457,000","85,121,000","70,454,000","57,736,000","46,252,000","38,343,000","35,113,000","22,773,000","18,168,000",,,,,,
		OtherCurrentLiabilities,"60,627,000","77,817,000","84,143,000","55,752,000","21,560,000","8,673,000","19,376,000","4,612,000","8,083,000","7,530,000","15,318,000","8,210,000","6,804,000","6,086,000","12,075,000","12,100,653","15,509,857","9,177,953","3,377,311",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,228,599,000","966,041,000","797,098,000","743,471,000","708,718,000","138,259,000","108,925,000","55,578,000","61,091,000","46,764,000","39,492,000","30,422,000","25,014,000","19,645,000","15,472,000","11,458,767","6,917,751","3,062,575","1,610,116",
		LongTermDebtAndCapitalLeaseObligation,"1,154,012,000","862,362,000","692,056,000","632,590,000","611,464,000","0",,,,,,,,,,,,,,
			LongTermCapitalLeaseObligation,"1,154,012,000","862,362,000","692,056,000","632,590,000","611,464,000","0",,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"29,522,000","55,084,000","53,352,000","58,755,000","43,432,000","47,655,000","28,522,000","33,910,000","36,482,000","24,470,000","21,971,000","16,785,000","15,302,000","13,129,000","10,822,000","158,054","196,538","384,354","536,707",
			NonCurrentDeferredTaxesLiabilities,"29,522,000","55,084,000","53,352,000","58,755,000","43,432,000","14,249,000","1,336,000","7,262,000","10,759,000","3,633,000","3,977,000","0",,,"0","158,054","196,538","384,354","536,707",
		TradeandOtherPayablesNonCurrent,"15,864,000","28,555,000","38,074,000","43,150,000","48,226,000","42,099,000","48,268,000","0",,,,,,,,,,,,
		OtherNonCurrentLiabilities,"29,201,000","20,040,000","13,616,000","8,976,000","5,596,000","48,505,000","32,135,000","21,668,000","24,609,000","22,294,000","17,521,000","13,637,000","9,712,000","6,516,000","4,650,000","11,300,713","6,721,213","2,678,221","1,073,409",
TotalEquityGrossMinorityInterest,"4,232,081,000","3,148,799,000","2,740,046,000","2,558,566,000","1,952,218,000","1,445,975,000","1,596,960,000","1,359,973,000","1,027,482,000","1,089,568,000","1,096,682,000","887,299,000","606,181,000","394,293,000","233,108,000","154,842,685","112,034,009","37,946,497","28,061,784","419,000"
	StockholdersEquity,"4,232,081,000","3,148,799,000","2,740,046,000","2,558,566,000","1,952,218,000","1,445,975,000","1,596,960,000","1,359,973,000","1,027,482,000","1,089,568,000","1,096,682,000","887,299,000","601,376,000","390,389,000","233,108,000","154,842,685","112,034,009","37,378,798","28,051,784","419,000"
		CapitalStock,"606,000","611,000","616,000","626,000","621,000","608,000","628,000","637,000","637,000","661,000","577,000","562,000","551,000","534,000","511,000","504,418","467,056","443,117","2,251",
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"2,255","2,250",
			CommonStock,"606,000","611,000","616,000","626,000","621,000","608,000","628,000","637,000","637,000","661,000","577,000","562,000","551,000","534,000","511,000","504,418","467,056","443,117","1",
		AdditionalPaidInCapital,"575,369,000","474,645,000","422,507,000","388,667,000","355,541,000","315,285,000","284,253,000","266,622,000","245,533,000","241,695,000","240,351,000","221,372,000","205,557,000","179,870,000","158,921,000","155,960,785","136,004,955","98,669,641","95,834,516",
		RetainedEarnings,"3,920,362,000","2,926,127,000","2,512,840,000","2,346,428,000","1,820,637,000","1,346,890,000","1,455,002,000","1,294,214,000","1,019,515,000","1,020,619,000","923,822,000","644,275,000","373,719,000","189,656,000","67,809,000","9,528,271","-29,834,956","-60,677,395","-68,343,726",
		GainsLossesNotAffectingRetainedEarnings,"-264,256,000","-252,584,000","-195,917,000","-177,155,000","-224,581,000","-216,808,000","-142,923,000","-201,500,000","-238,203,000","-173,407,000","-68,068,000","21,090,000","21,549,000","20,329,000","5,867,000","-11,150,789","5,396,954","-1,056,565","558,743",
			OtherEquityAdjustments,"-264,256,000","-252,584,000","-195,917,000","-177,155,000","-224,581,000","-216,808,000","-142,923,000","-201,500,000","-238,203,000","-173,407,000","-68,068,000","21,090,000","21,549,000","20,329,000",,,,,,
	MinorityInterest,,,,,,,,,,,,"0","4,805,000","3,904,000",,,"318,824","567,699","10,000",
TotalCapitalization,"4,232,081,000","3,148,799,000","2,740,046,000","2,558,566,000","1,952,218,000","1,445,975,000","1,596,960,000","1,359,973,000","1,027,482,000","1,089,568,000","1,096,682,000","887,299,000","601,376,000","390,389,000","233,108,000","154,842,685","112,034,009","37,378,798","28,051,784","419,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,"2,255","2,250",
CommonStockEquity,"4,232,081,000","3,148,799,000","2,740,046,000","2,558,566,000","1,952,218,000","1,445,975,000","1,596,960,000","1,359,973,000","1,027,482,000","1,089,568,000","1,096,682,000","887,299,000","601,376,000","390,389,000","233,108,000","154,842,685","112,034,009","37,378,798","28,049,534","419,000"
CapitalLeaseObligations,"1,403,282,000","1,070,334,000","881,052,000","798,681,000","739,961,000","0",,,,,,,,,,,,,,
NetTangibleAssets,"4,207,998,000","3,102,694,000","2,281,867,000","2,091,609,000","1,927,795,000","1,421,736,000","1,572,281,000","1,335,416,000","1,002,705,000","1,063,405,000","1,068,481,000","857,098,000","569,504,000","363,277,000","225,058,000","146,682,351","103,915,421","34,427,109","24,769,720","419,000"
WorkingCapital,"2,429,316,000","1,667,255,000","1,209,519,000","1,241,201,000","1,187,520,000","928,805,000","1,143,684,000","920,747,000","691,535,000","791,131,000","829,325,000","653,696,000","423,654,000","303,915,000","157,732,000","71,653,011","64,196,104","17,208,706","14,975,257",
InvestedCapital,"4,232,081,000","3,148,799,000","2,740,046,000","2,558,566,000","1,952,218,000","1,445,975,000","1,596,960,000","1,359,973,000","1,027,482,000","1,089,568,000","1,096,682,000","887,299,000","601,376,000","390,389,000","233,108,000","154,842,685","112,034,009","37,378,798","28,049,534","419,000"
TangibleBookValue,"4,207,998,000","3,102,694,000","2,281,867,000","2,091,609,000","1,927,795,000","1,421,736,000","1,572,281,000","1,335,416,000","1,002,705,000","1,063,405,000","1,068,481,000","857,098,000","569,504,000","363,277,000","225,058,000","146,682,351","103,915,421","34,427,109","24,767,470","419,000"
TotalDebt,"1,403,282,000","1,070,334,000","881,052,000","798,681,000","739,961,000","0",,,,,,,,,,,,,,
ShareIssued,"126,222,000","127,321,000","128,500,000","130,353,000","130,349,000","129,269,716","125,650,000","137,085,000","137,286,000","141,945,000","145,297,000","144,436,000","143,547,000","124,574,000","102,252,000","100,596,146","93,184,290","88,601,548","88,601,548","88,601,548"
OrdinarySharesNumber,"126,222,000","127,321,000","128,500,000","130,353,000","130,349,000","129,269,716","125,650,000","137,085,000","137,286,000","141,945,000","145,297,000","144,436,000","143,547,000","124,574,000","102,252,000","100,596,146","93,184,290","88,601,548","88,601,548","88,601,548"
