name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
				ShortTermDebtPayments,,,"-785,800,000","0","-1,423,000,000","-2,734,000,000","-2,473,000,000","-2,755,000,000","0",,,"0","0","-398,400,000","-871,500,000","-599,950,000",,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-2,307,069,000","-3,059,839,000","-3,202,909,000","-2,391,133,000","-2,024,910,000","-1,372,585,000","-1,641,867,000","-2,126,768,000","-1,445,803,000","-1,071,600,000","-796,864,000","-863,678,000","-1,381,773,000","-919,070,000","63,116,000","59,508,000","22,995,000","21,727,000","20,493,000","18,709,000","14,373,000","24,162,000","7,265,000","17,102,000","5,354,000","132,600,000","3,100,000","1,500,000","1,900,000","48,700,000","600,000","19,800,000"
			CommonStockIssuance,"116,426,000","91,316,000","79,356,000","84,915,000","62,284,000","60,206,000","72,146,000","45,762,000","59,634,000","64,613,000","69,620,000","69,350,000","63,514,000","57,562,000","63,116,000","59,508,000","22,995,000","21,727,000","20,493,000","18,709,000","14,373,000","24,162,000","7,265,000","17,102,000","5,354,000","132,600,000","3,100,000","1,500,000","1,900,000","48,700,000","600,000","19,800,000"
			CommonStockPayments,"-2,423,495,000","-3,151,155,000","-3,282,265,000","-2,476,048,000","-2,087,194,000","-1,432,791,000","-1,714,013,000","-2,172,530,000","-1,505,437,000","-1,136,213,000","-866,484,000","-933,028,000","-1,445,287,000","-976,632,000","0",,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,"10,215,000","2,184,000",,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-5,534,000","-5,343,000","-6,941,000","-3,725,000","-8,182,000","-4,181,000","-6,079,000","-7,746,000","-4,677,000","-934,000","49,150,000","27,844,000","36,255,000","13,043,000","18,587,000","10,635,000","-1,238,000","6,835,000","8,538,000",,,,,,,,,,,,,"-500,000"
EndCashPosition,"145,625,000","279,132,000","108,583,000","362,113,000","465,640,000","40,406,000","31,315,000","46,348,000","146,598,000","116,301,000","250,560,000","231,318,000","248,128,000","361,552,000","29,721,000","26,935,000","31,301,000","47,555,000","29,903,000","31,384,000","69,028,000","21,094,000","29,333,000","15,041,000","9,204,000","9,800,000","1,700,000","0","0","0","0","0"
	ChangesInCash,"87,745,000","169,410,000","-254,271,000","-103,168,000","425,131,000","8,922,000","-15,033,000","-100,250,000","30,297,000","-134,259,000","19,242,000","-16,810,000","-113,424,000","331,831,000","2,786,000","-4,366,000","-16,254,000","17,652,000","-1,481,000","-37,644,000","47,934,000","-8,239,000","14,292,000","5,837,000","-587,000","8,000,000","-600,000","1,100,000","-1,600,000","-500,000","200,000","1,600,000"
	EffectOfExchangeRateChanges,"-583,000","1,139,000","741,000","-359,000","103,000","169,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"57,880,000","108,583,000","362,113,000","465,640,000","40,406,000","31,315,000","46,348,000","146,598,000","116,301,000","250,560,000","231,318,000","248,128,000","361,552,000","29,721,000","26,935,000","31,301,000","47,555,000","29,903,000","31,384,000","69,028,000","21,094,000","29,333,000","15,041,000","9,204,000","9,791,000","1,700,000","2,300,000","1,200,000","2,800,000","3,400,000","3,200,000","1,600,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","-1,700,000","-2,300,000","-1,200,000","-2,900,000","-3,400,000","-3,200,000"
IncomeTaxPaidSupplementalData,"330,100,000","315,060,000","415,165,000","450,935,000","305,087,000","394,931,000","311,376,000","496,728,000","569,677,000","485,824,000","416,458,000","362,596,000","274,637,000","252,769,000","154,146,000","130,720,000","74,227,000",,,"98,440,000","55,140,000","43,007,000",,,,,,,,,,
InterestPaidSupplementalData,"211,136,000","189,611,000","155,853,000","144,293,000","159,717,000","134,634,000","117,938,000","77,766,000","63,648,000","55,061,000","51,203,000","46,760,000","34,655,000","13,350,000","31,211,000","36,881,000","17,824,000",,,"5,062,000","4,960,000","6,864,000",,,,,,,,,,
CapitalExpenditure,"-1,019,929,000","-1,006,264,000","-563,342,000","-442,853,000","-465,579,000","-628,057,000","-504,268,000","-465,940,000","-476,344,000","-414,020,000","-429,987,000","-395,881,000","-300,719,000","-328,319,000","-365,419,000","-414,779,000","-341,679,000","-282,655,000","-228,871,000","-205,159,000","-173,486,000","-136,497,000","-102,257,000","-68,521,000","-81,987,000","-86,000,000","-107,000,000","-37,200,000","-34,500,000","-28,600,000","-13,700,000","-8,500,000"
IssuanceOfCapitalStock,"116,426,000","91,316,000","79,356,000","84,915,000","62,284,000","60,206,000","72,146,000","45,762,000","59,634,000","64,613,000","69,620,000","69,350,000","63,514,000","57,562,000","63,116,000","59,508,000","22,995,000","21,727,000","20,493,000","18,709,000","14,373,000","24,162,000","7,265,000","17,102,000","5,354,000","132,600,000","3,100,000","1,500,000","1,900,000","48,700,000","600,000","19,800,000"
IssuanceOfDebt,"1,977,444,000","4,723,444,000","1,633,114,000","0","2,159,515,000","3,207,955,000","2,912,660,000","3,849,800,000","499,160,000",,"0","299,976,000","298,881,000","838,363,000","548,700,000","664,550,000","925,256,000",,,"0","0","27,900,000",,,,,,,,,,
RepaymentOfDebt,"-1,454,500,000","-3,527,000,000","-1,085,800,000","-300,000,000","-1,923,000,000","-2,734,000,000","-2,473,000,000","-2,755,000,000","0","-25,000","-72,000","-224,000","-935,000","-399,843,000","-980,027,000","-613,598,000","-896,396,000",,,"-602,000","-20,989,000","-98,577,000",,,,,,,,,,
RepurchaseOfCapitalStock,"-2,423,495,000","-3,151,155,000","-3,282,265,000","-2,476,048,000","-2,087,194,000","-1,432,791,000","-1,714,013,000","-2,172,530,000","-1,505,437,000","-1,136,213,000","-866,484,000","-933,028,000","-1,445,287,000","-976,632,000","0",,,,,,,,,,,,,,,,,
FreeCashFlow,"2,015,860,000","2,027,820,000","2,584,908,000","2,764,457,000","2,371,024,000","1,080,422,000","1,223,287,000","937,747,000","1,034,369,000","931,468,000","760,443,000","512,145,000","950,836,000","790,672,000","338,268,000","-129,579,000","-43,137,000","16,763,000","-42,943,000","8,163,000","53,050,000","32,339,000","2,276,000","-18,492,000","-76,155,000","-56,300,000","-126,100,000","-19,300,000","-29,600,000","-27,700,000","-5,300,000","-10,300,000"
