name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017
		CapitalExpenditureReported,"-48,477,000","-49,457,000","-29,095,000","-20,866,000","-10,864,000","-7,289,000","-6,794,000","-6,542,000","-5,556,000"
		NetPPEPurchaseAndSale,"-162,785,000","-176,529,000","-235,019,000","-112,143,000","-52,799,000","-80,198,000","-35,851,000","-22,906,000","-6,591,000"
			PurchaseOfPPE,"-162,785,000","-176,529,000","-235,019,000","-112,143,000","-52,799,000","-80,198,000","-35,851,000","-22,906,000","-6,591,000"
		NetIntangiblesPurchaseAndSale,"-10,626,000","-11,126,000","-2,323,000","-680,000","-180,000","0","0","-307,000","-500,000"
			PurchaseOfIntangibles,"-10,626,000","-11,126,000","-2,323,000","-680,000","-180,000","0","0","-307,000","-500,000"
		NetBusinessPurchaseAndSale,"-335,411,000","-239,030,000","-18,349,000","-414,518,000","-85,517,000","0","0","-6,471,000","0"
			PurchaseOfBusiness,"-335,411,000","-239,030,000","-18,349,000","-414,518,000","-85,517,000","0","0","-6,471,000","0"
		NetInvestmentPurchaseAndSale,"2,870,000","135,492,000","-271,872,000","-16,309,000","644,787,000","-542,144,000","-99,385,000","7,896,000","793,000"
			PurchaseOfInvestment,"-205,647,000","-214,789,000","-271,872,000","-16,309,000","-86,404,000","-780,701,000","-199,335,000","-9,559,000","-12,072,000"
			SaleOfInvestment,"208,517,000","350,281,000","0","0","731,191,000","238,557,000","99,950,000","17,455,000","12,865,000"
FinancingCashFlow,"95,491,000","93,158,000","77,437,000","72,531,000","800,135,000","706,144,000","190,389,000","126,831,000","17,460,000"
	CashFlowFromContinuingFinancingActivities,"95,491,000","93,158,000","77,437,000","72,531,000","800,135,000","706,144,000","190,389,000","126,831,000","17,460,000"
		NetIssuancePaymentsOfDebt,,"0","-1,591,000","0","739,569,000","0","-16,158,000","-9,324,000","16,940,000"
			NetLongTermDebtIssuance,,"0","-1,591,000","0","739,569,000","0","-16,158,000","-9,324,000","16,940,000"
				LongTermDebtIssuance,,,"0","0","739,569,000","0","10,000,000","10,000,000","19,340,000"
				LongTermDebtPayments,,"0","-1,591,000","0","0","0","-26,158,000","-19,324,000","-2,400,000"
			NetShortTermDebtIssuance,"0",,,,,"0","-10,000,000","10,000,000","0"
				ShortTermDebtIssuance,"0",,,,,"0","10,000,000","10,000,000","0"
				ShortTermDebtPayments,"0",,,,,"0","-20,000,000","0","0"
		NetCommonStockIssuance,,,,"0","0","665,092,000","0","0",
			CommonStockIssuance,,,,"0","0","665,092,000","0","0",
		NetPreferredStockIssuance,,,,,"0","0","206,896,000","130,435,000","0"
			PreferredStockIssuance,,,,,"0","0","206,896,000","130,435,000","0"
		ProceedsFromStockOptionExercised,"94,076,000","85,070,000","68,074,000","66,176,000","63,094,000","44,141,000","1,582,000","3,701,000","767,000"
		NetOtherFinancingCharges,"1,415,000","8,088,000","10,954,000","6,355,000","-2,528,000","-3,089,000","-1,931,000","2,019,000","-247,000"
EndCashPosition,"4,040,581,000","3,377,597,000","2,456,924,000","1,996,633,000","1,918,608,000","264,798,000","88,408,000","63,179,000","22,826,000"
	ChangesInCash,"871,465,000","918,715,000","461,786,000","82,799,000","1,652,128,000","176,456,000","25,391,000","39,735,000","-46,392,000"
	EffectOfExchangeRateChanges,"-165,000","1,958,000","-1,495,000","-4,774,000","1,682,000","-66,000","-162,000","618,000","0"
	BeginningCashPosition,"3,169,116,000","2,456,924,000","1,996,633,000","1,918,608,000","264,798,000","88,408,000","63,179,000","22,826,000","69,218,000"
IncomeTaxPaidSupplementalData,"22,867,000","22,608,000","11,943,000","74,677,000","1,732,000","1,862,000","1,394,000","107,000","48,000"
InterestPaidSupplementalData,"22,500,000","22,500,000","22,551,000","13,088,000","18,000","7,000","449,000","1,648,000","529,000"
CapitalExpenditure,"-221,888,000","-237,112,000","-266,437,000","-133,689,000","-63,843,000","-87,487,000","-42,645,000","-29,755,000","-12,647,000"
IssuanceOfCapitalStock,,,,"0","0","665,092,000","206,896,000","130,435,000","0"
IssuanceOfDebt,,,"0","0","739,569,000","0","10,000,000","10,000,000","19,340,000"
RepaymentOfDebt,,"0","-1,591,000","0","0","0","-26,158,000","-19,324,000","-2,400,000"
FreeCashFlow,"1,108,515,000","929,095,000","674,570,000","441,095,000","292,723,000","12,456,000","-65,613,000","-88,521,000","-64,645,000"
