name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalEquityGrossMinorityInterest,"1,892,100,000","1,901,300,000","1,865,400,000","1,587,100,000","1,376,200,000","1,182,100,000","991,391,000","868,939,000","784,794,000","634,408,000","640,133,000","532,723,000","246,743,000","219,487,000","226,661,000","218,514,000","193,034,000","165,944,000","76,637,000","74,471,000","115,885,000","201,047,000","114,779,000","95,291,000","63,447,000","54,200,000","39,300,000","27,600,000","19,100,000","13,800,000","9,800,000","6,900,000","3,900,000"
	StockholdersEquity,"1,892,100,000","1,901,300,000","1,865,400,000","1,587,100,000","1,376,200,000","1,182,100,000","991,391,000","868,939,000","784,794,000","634,408,000","640,133,000","532,723,000","246,743,000","219,487,000","226,661,000","218,514,000","193,034,000","165,944,000","76,637,000","74,471,000","115,885,000","201,047,000","114,779,000","95,291,000","63,447,000","54,200,000","39,300,000","27,600,000","19,100,000","13,800,000","9,800,000","6,900,000","3,900,000"
		CapitalStock,"500,000","500,000","500,000","500,000","500,000","500,000","521,000","527,000","530,000","514,000","539,000","530,000","370,000","365,000","363,000","388,000","382,000","367,000","286,000","280,000","279,000","279,000","238,000","231,000","108,000",,,,,,,,"2,700,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,"2,700,000"
			CommonStock,"500,000","500,000","500,000","500,000","500,000","500,000","521,000","527,000","530,000","514,000","539,000","530,000","370,000","365,000","363,000","388,000","382,000","367,000","286,000","280,000","279,000","279,000","238,000","231,000","108,000",,,,,,,,"0"
		AdditionalPaidInCapital,"696,000,000","703,500,000","690,800,000","661,300,000","638,000,000","601,800,000","566,090,000","562,862,000","542,859,000","483,902,000","493,279,000","471,711,000","229,377,000","224,139,000","220,082,000","227,522,000","219,217,000","199,355,000","121,232,000","117,894,000","117,511,000","116,961,000","40,402,000","30,466,000","10,206,000",,,,,,,,
		RetainedEarnings,"1,195,600,000","1,200,000,000","1,174,400,000","926,300,000","744,700,000","586,100,000","428,419,000","315,573,000","249,567,000","154,562,000","146,199,000","61,687,000","19,034,000","-5,021,000","5,090,000","16,215,000","-2,755,000","-11,860,000","-22,904,000","-22,808,000","19,585,000","101,385,000","89,137,000","72,097,000","52,850,000","38,400,000","27,100,000","18,800,000","13,000,000","8,700,000","5,400,000","2,900,000","1,100,000"
		TreasuryStock,,,,,,,,,,,,,,,"0","26,411,000","26,000,000","23,480,000","22,970,000","22,970,000","22,970,000","18,418,000","15,310,000","7,812,000",,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"0","-2,700,000","-300,000","-1,000,000","-7,000,000","-6,300,000","-3,639,000","-10,023,000","-8,162,000","-4,570,000","116,000","-1,205,000","-2,038,000","4,000","1,126,000","800,000","2,190,000","1,562,000","993,000","2,075,000","1,480,000","840,000","312,000","309,000","283,000",,,,,,,,
			OtherEquityAdjustments,,"-2,700,000","-300,000","-1,000,000","-7,000,000","-6,300,000","-3,639,000","-10,023,000","-8,162,000","-4,570,000","116,000","-1,205,000","-2,038,000","4,000",,,,,,,,,,,,,,,,,,,
