name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
			DeferredIncomeTax,"-189,700,000","-133,600,000","-564,200,000","-419,600,000","-211,300,000","-236,800,000","-238,500,000","-8,400,000","13,400,000","45,300,000","-59,050,000","-22,658,000","-72,374,000","63,250,000","28,053,000","-49,423,000","-34,155,000","106,570,480.6","-71,348,636.54","17,816,629.62","114,616,292.32","-79,437,937.32","-22,346,193.53","-196,227,942.54","-8,105,865.62","4,273,297","-3,836,970","3,636,360","2,330,063","2,417,721"
		AssetImpairmentCharge,"48,300,000","37,500,000","39,300,000","-15,900,000","5,500,000","7,800,000","19,000,000","9,000,000","3,500,000","2,300,000","10,528,000","13,057,000","3,234,000","12,272,000","8,563,000","15,896,000","25,109,000",,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"545,200,000","485,300,000","278,500,000","180,700,000","192,400,000","221,500,000","218,200,000","120,100,000","76,200,000","215,700,000","162,954,000","165,914,000","131,369,000","61,149,000","54,435,000","88,525,000",,,,,,,,,,,,,,
		StockBasedCompensation,"149,400,000","134,800,000","68,900,000","117,500,000","53,900,000","74,600,000","46,300,000","53,100,000","47,700,000","59,000,000","63,380,000","52,371,000","18,714,000","12,430,000","12,109,000","13,394,000","13,535,000",,,,,,,,,,,,,
		OtherNonCashItems,,,,,,,,,"100,000",,,,,"60,300,000",,"88,525,000","139,816,000","105,107,519.89","81,450,159.62","-844.31","737.68","-794.03",,,"-1,064.74",,"-85,266",,"-80,347","-77,991"
		ChangeInWorkingCapital,"-3,167,400,000","-3,663,600,000","2,441,200,000","4,892,400,000","531,600,000","111,600,000","-48,200,000","-878,900,000","-394,900,000","17,500,000","-607,392,000","-401,599,000","-712,673,000","285,826,000","-339,289,000","36,043,000","-309,376,000","-322,396,622.85","-228,567,796.16","271,448,197.93","-223,414,502.48","514,073,284.69","-242,435,568","-97,088,965.35","-216,205,039.66","-89,540,479","-144,952,200","-172,272,555","-76,008,262","-40,087,374"
			ChangeInReceivables,,"871,300,000","-2,125,800,000","-1,212,600,000","-617,900,000","-350,300,000","-452,500,000","-891,600,000","150,500,000","97,900,000","-101,896,000","-114,741,000","-6,300,000","157,378,000","-732,203,000","168,807,000","132,147,000","42,476,614.97","-362,387,973.2","203,333,488.68","-192,676,852.24","211,257,239.71","-57,144,846.05","391,440,994.35","-223,021,505.14","-245,664,888","60,453,594","-95,636,268","-62,831,354","-58,883,205"
				ChangesInAccountReceivables,,"959,900,000","-2,338,000,000","-1,754,900,000","507,500,000","-255,000,000","212,400,000","-1,128,600,000","213,400,000","243,200,000","-164,850,000","-192,149,000","246,982,000","267,209,000","-748,898,000","81,838,000","132,147,000",,,,,,,,,,,,,
			ChangeInInventory,,"-1,646,900,000","-2,080,900,000","-483,200,000","-706,700,000","-404,700,000","-515,700,000","-284,100,000","5,400,000","-87,800,000","-293,404,000","-518,121,000","-352,716,000","-276,243,000","-706,233,000","-158,024,000","-87,804,000","-439,437,594.87","-85,212,848.16","-41,365,279.83","-149,105,045.36","95,124,794","-77,357,339.75","-377,357,278.14","-124,651,241.28","13,217,407","-134,549,748","-100,181,718","-49,172,364","-31,508,364"
			ChangeInPayablesAndAccruedExpense,,"-39,700,000","845,900,000","1,066,200,000","381,800,000","70,000,000","335,600,000","357,500,000","23,900,000","158,300,000","-99,668,000","264,204,000","-372,774,000","462,983,000","1,213,150,000","10,430,000","-252,652,000","-39,005,426.9","-8,915,738.23","3,403,413.61","121,907,521.44","7,218,526.73","-71,879,668.19","25,790,362.77","130,895,941.38","82,683,328","-58,663,008","44,272,683","34,870,598","-12,244,587"
				ChangeInPayable,,"-261,700,000","406,200,000","718,600,000","334,300,000","-12,100,000","97,900,000","266,600,000","50,900,000","-77,100,000","-136,192,000","321,486,000","-225,083,000","-126,234,000","350,231,000","10,430,000","-252,652,000",,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,,,,"71,267,000","-158,277,000",,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,"71,267,000","-158,277,000",,,,,,,,,,,,,
					ChangeInAccountPayable,,"-261,700,000","406,200,000","718,600,000","334,300,000","-12,100,000","97,900,000","266,600,000","50,900,000","-77,100,000","-136,192,000","321,486,000","-225,083,000","-126,234,000","350,231,000","10,430,000","-94,375,000",,,,,,,,,,,,,
				ChangeInAccruedExpense,,"222,000,000","439,700,000","347,600,000","47,500,000","82,100,000","237,700,000","90,900,000","-27,000,000","235,400,000","36,524,000","-57,282,000","-147,691,000","589,217,000","862,919,000",,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,"-344,300,000","-864,300,000","-222,200,000","-75,100,000","-199,100,000","-404,000,000","-169,400,000","-122,100,000","-146,300,000","-112,424,000","-32,941,000","19,117,000","-58,292,000","-114,003,000","4,893,000",,,,"-20,072,625.94","1,126,437.36","44,866,665.15","31,344,136.27","-109,061,978.58","-60,339,880.54","14,111,818","-13,301,496","-9,545,445","-241,041","701,919"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,"862,919,000","9,937,000","-158,652,572.4","-74,545,152.69","97,739,736.93","126,149,201.41","-4,666,563.68","155,606,059.1","-67,397,850.28","-27,901,065.75","60,911,645.92","46,111,856","1,108,458","-11,181,807","1,365,899","61,846,863"
			ChangeInOtherWorkingCapital,,"-2,504,000,000","6,666,300,000","5,744,200,000","1,549,500,000","995,700,000","988,400,000","108,700,000","-452,600,000","-4,600,000",,,,"-130,822,000",,"14,830,000","-101,067,000","188,114,936.64","130,209,026.5",,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,"-2,016,212.28","-5,875,621.2",,,,,,,,,
InvestingCashFlow,"-2,869,300,000","-2,689,300,000","-1,028,900,000","-72,000,000","-1,352,200,000","-1,157,500,000","-491,500,000","-1,229,000,000","-3,188,400,000","-1,159,900,000","-16,212,000","-368,341,000","-1,119,833,000","-300,898,000","-124,903,000","-98,082,000","-259,805,000","-362,723,035.37","-70,628,831.04","-60,756,547.6","-60,353,289.2","-25,657,491.39","-79,798,848.89","-360,599,780.04","-128,604,620.9","-120,049,832","-101,722,338","-12,818,169","-34,388,516","-25,191,093"
	CashFlowFromContinuingInvestingActivities,"-2,869,300,000","-2,689,300,000","-1,028,900,000","-72,000,000","-1,352,200,000","-1,157,500,000","-491,500,000","-1,229,000,000","-3,188,400,000","-1,159,900,000","-16,212,000","-368,341,000","-1,119,833,000","-300,898,000","-124,903,000","-98,082,000","-259,805,000","-362,723,035.37","-70,628,831.04","-60,756,547.6","-60,353,289.2","-25,657,491.39","-79,798,848.89","-360,599,780.04","-128,604,620.9","-120,049,832","-101,722,338","-12,818,169","-34,388,516","-25,191,093"
		NetPPEPurchaseAndSale,"-2,034,100,000","-2,155,600,000","-1,281,800,000","-900,700,000","-962,000,000","-766,600,000","-574,000,000","-338,900,000","-316,300,000","-371,800,000","-358,280,000","-210,804,000","-171,878,000","-300,898,000","-124,903,000","-98,082,000","-259,770,000","-174,415,369.26","-70,628,831.04","-59,379,477.99","-59,797,816.16","-22,563,156.48","-79,798,848.89","-325,629,320.39","-128,604,620.9","-106,931,804","-94,901,058","-28,636,335","-37,763,090","-22,149,444"
			PurchaseOfPPE,"-2,034,100,000","-2,155,600,000","-1,281,800,000","-900,700,000","-962,000,000","-766,600,000","-574,000,000","-338,900,000","-316,300,000","-371,800,000","-358,280,000","-210,804,000","-171,878,000","-300,898,000","-128,728,000","-104,959,000","-259,770,000","-179,434,565.92","-70,738,696.09","-72,604,749.83","-74,923,944.56","-71,315,010.42","-138,495,130.1","-347,338,765.95","-131,599,734.52","-109,813,795","-97,970,634","-40,999,959","-37,763,090","-22,149,444"
			SaleOfPPE,,,,,,,,,,,,,"0","0","3,825,000","6,877,000","0","5,019,196.66","109,865.05","13,225,271.84","15,126,128.4","48,751,853.94","58,696,281.21","21,709,445.56","2,995,113.62","2,881,991","3,069,576","12,363,624",,
		NetIntangiblesPurchaseAndSale,"-40,100,000","-40,600,000","-37,500,000","-39,600,000","-38,800,000","-119,300,000","-35,500,000","-19,100,000","-8,400,000","-1,100,000","-2,952,000","-4,000,000","-7,658,000","0","0","0","-35,000",,,,,,,,,,,,,
			PurchaseOfIntangibles,"-40,100,000","-40,600,000","-37,500,000","-39,600,000","-38,800,000","-119,300,000","-35,500,000","-19,100,000","-8,400,000","-1,100,000","-2,952,000","-4,000,000","-7,658,000","0","0","0","-35,000",,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,"-33,600,000","0","329,000,000","-222,800,000","0","0","-1,019,700,000","-2,641,300,000","0","0","-443,712,000","-10,292,000","0","0","0","0","-188,306,980.24",,,,,,,,,,,,
			PurchaseOfBusiness,,"-33,600,000","0","0","-222,800,000","0","0","-1,019,700,000","-2,641,300,000","0","0","-443,712,000","-10,292,000","0","0","0","0",,,,,,,,,,,,,
			SaleOfBusiness,,"0","0","329,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-200,500,000","102,000,000","530,400,000","663,700,000","-116,400,000","-272,500,000","113,600,000","147,700,000","-215,000,000","-787,000,000","345,020,000","290,175,000","-930,005,000","0","0",,,,,,,,,,,,,"15,818,166","3,374,574","-5,303,388"
			PurchaseOfInvestment,"-305,400,000","-23,600,000","-334,300,000","-1,162,700,000","-1,475,500,000","-1,291,500,000","-920,500,000","-1,102,300,000","-2,535,000,000","-1,121,900,000","-504,756,000","-904,856,000","-1,379,997,000","0","0",,,,,,,,,,,,,,"-1,847,981","-5,303,388"
			SaleOfInvestment,"104,900,000","125,600,000","864,700,000","1,826,400,000","1,359,100,000","1,019,000,000","1,034,100,000","1,250,000,000","2,320,000,000","334,900,000","849,776,000","1,195,031,000","449,992,000","0","0",,,,,,,,,,,,,"15,818,166","5,222,555",
		DividendsReceivedCFI,,,,,,,,"19,700,000",,"0",,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,,"-561,500,000","-240,000,000","-124,400,000","-12,200,000","900,000","4,400,000","1,000,000","-7,400,000",,,,,,,,,"-685.87",,"-1,377,069.61","-555,473.04","-3,094,334.91",,"-34,970,459.65",,"-13,118,028","-6,821,280",,,"2,261,739"
FinancingCashFlow,"-3,651,000,000","-3,003,900,000","-7,138,300,000","-9,891,700,000","-753,000,000","-1,712,300,000","-1,724,300,000","-1,209,100,000","1,963,600,000","-833,900,000","-928,439,000","-113,111,000","-545,583,000","-991,561,000","92,702,000","-74,874,000","-184,238,000","-716,490,666.15","-657,623,397.08","2,876,564.17","18,857,313.84","-55,323,246.22","-105,975,981.82","505,277,342.61","137,627,227.66","535,553,431","271,231,146","3,727,269","22,497,160","11,698,650"
	CashFlowFromContinuingFinancingActivities,"-3,651,000,000","-3,003,900,000","-7,138,300,000","-9,891,700,000","-753,000,000","-1,712,300,000","-1,724,300,000","-1,209,100,000","1,963,600,000","-833,900,000","-928,439,000","-113,111,000","-545,583,000","-991,561,000","92,702,000","-74,874,000","-184,238,000","-716,490,666.15","-657,623,397.08","2,876,564.17","18,857,313.84","-68,037,254.58","21,413,235.9","505,277,342.61","137,627,227.66","535,553,431","271,231,146","3,727,269","22,497,160","11,698,650"
		NetIssuancePaymentsOfDebt,"-751,500,000","245,000,000","-20,600,000","-12,100,000","1,483,000,000","-3,800,000","-2,800,000","-243,000,000","2,225,900,000","-3,600,000","-4,128,000","368,042,000","-2,776,000","-2,537,000","-1,444,000","-1,415,000","-2,411,000","584,957,261.03","-8,317,920.82","-12,939,050.75","-1,158,895.28","-65,850,495.96",,"653,310,900.44",,"516,770,800","270,719,550","-1,818,180","-21,613,343","13,258,470"
			NetLongTermDebtIssuance,"-751,500,000","245,000,000","-20,600,000","-12,100,000","1,483,000,000","-3,800,000","-2,800,000","-243,000,000","2,225,900,000","-3,600,000","-4,128,000","368,042,000","-2,776,000","-2,537,000","-1,444,000","-1,415,000","-2,411,000",,,,,,,,,,,,,
				LongTermDebtIssuance,"0","997,800,000","495,600,000","0","1,486,300,000","0","0","0","2,230,600,000","0","0","740,445,000","0","0","0","32,000","0",,,,,,,,,,,,,
				LongTermDebtPayments,"-751,500,000","-752,800,000","-516,200,000","-12,100,000","-3,300,000","-3,800,000","-2,800,000","-243,000,000","-4,700,000","-3,600,000","-4,128,000","-372,403,000","-2,776,000","-2,537,000","-1,444,000","-1,447,000","-2,411,000",,,,,,,,,,,,,
