name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
TotalExpenses,"86,600,000,000","83,214,000,000","96,530,000,000","96,538,000,000","82,985,000,000","82,449,000,000","90,812,000,000","81,456,000,000","64,554,000,000","51,425,000,000","54,458,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"3,972,000,000","3,211,000,000","2,442,000,000","5,563,000,000","3,250,000,000","4,616,000,000","-2,310,000,000","-2,849,000,000","-1,167,000,000","-1,104,000,000","-1,221,000,000"
NormalizedIncome,"3,990,781,718.282","3,280,048,000","3,467,115,000","2,509,504,000","1,449,295,000","-304,400,000","-2,435,664,000","-2,823,826,000","-2,802,560,000","-1,069,028,000","-1,012,240,000"
InterestIncome,"272,000,000","305,000,000","100,000,000","62,000,000","148,000,000","99,000,000","313,000,000","207,000,000","102,000,000","39,000,000","47,000,000"
InterestExpense,"1,488,000,000","1,545,000,000","1,281,000,000","1,542,000,000","2,052,000,000","2,396,000,000","2,619,000,000","2,519,000,000","1,796,000,000","702,000,000","841,000,000"
NetInterestIncome,"-1,216,000,000","-1,240,000,000","-1,181,000,000","-1,480,000,000","-1,904,000,000","-2,297,000,000","-2,306,000,000","-2,312,000,000","-1,694,000,000","-663,000,000","-794,000,000"
EBIT,"5,492,000,000","5,432,000,000","4,506,000,000","7,465,000,000","4,398,000,000","2,345,000,000","258,000,000","-2,250,000,000","-2,698,000,000","-584,000,000","-374,000,000"
EBITDA,"8,739,000,000","8,735,000,000","7,662,000,000","12,016,000,000","9,788,000,000","8,488,000,000","8,004,000,000","6,384,000,000","2,240,000,000","2,288,000,000","2,603,000,000"
ReconciledCostOfRevenue,"71,258,000,000","67,556,000,000","79,615,000,000","79,306,000,000","66,530,000,000","64,176,000,000","65,568,000,000","58,503,000,000","48,515,000,000","42,524,000,000","45,246,000,000"
ReconciledDepreciation,"3,247,000,000","3,303,000,000","3,156,000,000","4,551,000,000","5,390,000,000","6,143,000,000","7,746,000,000","8,634,000,000","4,938,000,000","2,872,000,000","2,977,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"3,972,000,000","3,211,000,000","2,442,000,000","4,798,000,000","1,990,000,000","-392,000,000","-2,310,000,000","-2,849,000,000","-3,083,000,000","-1,168,000,000","-1,108,000,000"
TotalUnusualItemsExcludingGoodwill,"-19,000,000","-84,000,000","-1,365,000,000","2,744,000,000","565,000,000","-120,000,000","136,000,000","-41,000,000","-410,000,000","-109,000,000","-105,000,000"
TotalUnusualItems,"-19,000,000","-84,000,000","-1,365,000,000","2,744,000,000","565,000,000","-120,000,000","136,000,000","-41,000,000","-410,000,000","-109,000,000","-105,000,000"
NormalizedEBITDA,"8,758,000,000","8,819,000,000","9,027,000,000","9,272,000,000","9,223,000,000","8,608,000,000","7,868,000,000","6,425,000,000","2,650,000,000","2,397,000,000","2,708,000,000"
TaxRateForCalcs,"0.011","0.178","0.249","0.166","0.043","0.27","0.076","0.386","0.316","0.092","0.088"
TaxEffectOfUnusualItems,"-218,281.718","-14,952,000","-339,885,000","455,504,000","24,295,000","-32,400,000","10,336,000","-15,826,000","-129,560,000","-10,028,000","-9,240,000"
