name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,"30,328,000",,,,,,,,,,,,,
OperatingIncome,"333,300,000","364,100,000","409,500,000","350,900,000","281,200,000","276,200,000","260,200,000","224,700,000","189,726,000","152,108,000","137,782,000","116,587,000","82,272,000","38,633,000","18,626,000","15,227,000","43,514,000","27,595,000","9,941,000","-906,000","-47,112,000","-83,159,000","19,118,000","24,511,000","28,197,000","21,393,000","16,700,000","12,449,000","9,300,000","6,700,000","5,400,000","3,900,000","2,900,000","1,800,000"
NetNonOperatingInterestIncomeExpense,"-68,600,000","-66,400,000","-45,900,000","-37,500,000","-39,700,000","-52,900,000","-56,000,000","-27,600,000","-32,327,000","-26,444,000","-12,730,000","-13,931,000","-15,768,000","-2,936,000","-8,168,000","-6,442,000","-9,283,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,"39,000","141,000","170,000","715,000",,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"68,600,000","66,400,000","45,900,000","37,500,000","39,700,000","52,900,000","56,000,000","27,600,000","32,327,000","26,444,000","12,730,000","13,931,000","15,768,000","2,936,000","8,168,000","6,612,000","9,998,000",,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,"18,900,000",,,,"3,751,000",,"14,958,000","813,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,"-18,900,000",,,,"-3,751,000",,"-14,958,000","-813,000",,"-15,399,000",,,"-1,206,000",,,"-30,328,000",,,,,,"1,300,000","800,000","100,000","400,000","200,000","100,000","100,000",
	SpecialIncomeCharges,,,,"0","0","-18,900,000","0","0","0","-3,751,000","0","-14,958,000","-813,000","0","-15,399,000","0",,"-1,206,000",,,"-30,328,000",,,,,,"1,300,000","800,000","100,000","400,000","200,000","100,000","100,000",
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,"0","0","15,399,000","0",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"18,900,000",,,,"3,751,000",,"14,958,000","813,000",,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"264,700,000","297,700,000","363,600,000","313,400,000","241,500,000","204,400,000","204,200,000","197,100,000","157,399,000","121,913,000","125,052,000","87,698,000","65,691,000","35,697,000","-4,941,000","8,785,000","34,231,000","16,815,000","11,585,000","-225,000","-46,717,000","-82,767,000","19,818,000","27,086,000","30,639,000","23,028,000","18,000,000","13,300,000","9,400,000","7,200,000","5,500,000","4,000,000","2,900,000","1,800,000"
TaxProvision,"69,700,000","78,400,000","96,700,000","81,600,000","63,900,000","54,700,000","46,200,000","39,200,000","60,203,000","50,491,000","51,557,000","36,558,000","28,496,000","14,833,000","4,956,000","4,078,000","15,261,000","7,493,000","541,000","-129,000","-4,324,000","-967,000","7,570,000","10,046,000","11,392,000","8,566,000","6,700,000","5,000,000","3,800,000","2,900,000","2,200,000","1,500,000","1,100,000","700,000"
NetIncomeCommonStockholders,"195,000,000","219,300,000","268,100,000","409,900,000","200,300,000","174,700,000","157,700,000","157,700,000","97,201,000","97,650,000","77,184,000","84,512,000","42,653,000","24,297,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
	NetIncome,"195,000,000","219,300,000","268,100,000","409,900,000","200,300,000","174,700,000","157,700,000","157,700,000","97,201,000","97,650,000","77,184,000","84,512,000","42,653,000","24,297,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
		NetIncomeIncludingNoncontrollingInterests,"195,000,000","219,300,000","268,100,000","409,900,000","200,300,000","174,700,000","157,700,000","157,700,000","97,201,000","97,650,000","77,184,000","84,512,000","42,653,000","24,297,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
			NetIncomeContinuousOperations,"195,000,000","219,300,000","266,900,000","231,800,000","177,600,000","149,700,000","158,000,000","157,900,000","97,196,000","71,422,000","73,495,000","51,140,000","37,195,000","20,864,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
			NetIncomeDiscontinuousOperations,,"0","1,200,000","178,100,000","22,700,000","25,000,000","-300,000","-200,000","5,000","26,228,000","3,689,000","33,372,000","5,458,000","3,433,000",,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"195,000,000","219,300,000","268,100,000","409,900,000","200,300,000","174,700,000","157,700,000","157,700,000","97,201,000","97,650,000","77,184,000","84,512,000","42,653,000","24,297,000","-9,897,000","4,707,000","18,970,000","9,322,000","11,044,000","-96,000","-42,393,000","-81,800,000","12,248,000","17,040,000","19,247,000","14,462,000","11,300,000","8,300,000","5,600,000","4,300,000","3,300,000","2,500,000","1,800,000","1,100,000"
BasicEPS,"4.16","4.54","5.3","7.78","3.8","3.31","3.02","3.01","1.83","1.87","1.44","1.58","0.91","0.66","-0.27","0.13","0.53","0.27","0.41","0","-1.68","-3.22","0.48","0.75","0.87","0.66","0.52","0.39","0.28","0.22","0.18","0.14","0.1","0.07"
DilutedEPS,"4.12","4.5","5.23","7.66","3.76","3.28","2.98","2.97","1.81","1.84","1.42","1.55","0.89","0.64","-0.27","0.13","0.53","0.26","0.39","0","-1.68","-3.22","0.48","0.74","0.83","0.645","0.5","0.38","0.26","0.21","0.17","0.12","0.1","0.07"
BasicAverageShares,"46,800,000","48,300,000","50,600,000","52,700,000","52,700,000","52,800,000","52,333,000","52,503,000","53,192,000","52,259,000","53,437,000","53,481,000","46,739,000","36,876,000","36,429,000","36,011,000","35,487,000","35,138,000","27,155,000","25,464,000","25,231,000","25,422,000","25,413,000","22,645,000","22,193,000","21,906,000","21,720,000","21,111,111","20,000,000","19,545,455","18,333,333","17,857,143","18,000,000","15,714,286"
DilutedAverageShares,"47,200,000","48,700,000","51,300,000","53,500,000","53,300,000","53,400,000","53,061,000","53,205,000","53,747,000","53,005,000","54,294,000","54,555,000","47,826,000","37,758,000","36,429,000","36,335,000","35,858,000","35,771,000","28,052,000","25,464,000","25,231,000","25,422,000","25,542,000","23,037,000","23,080,000","22,372,000","22,604,000","21,111,111","21,538,462","20,476,190","19,411,765","20,833,333","18,000,000","15,714,286"
