name,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001
			CurrentDeferredTaxesAssets,,,,,,,,,"879,320,000","731,820,000","794,917,000","685,732,000","556,160,000","569,678,000","479,662,000","425,859,000","318,172,000","187,720,000","121,386,000","87,636,000","147,040,000","189,976,000","166,372,000"
		OtherCurrentAssets,"2,105,138,000","1,940,290,000","1,765,831,000","1,393,225,000","1,225,364,000","1,024,639,000","1,082,161,000","845,339,000","611,436,000","585,381,000","568,277,000","778,701,000","587,224,000","490,243,000","599,501,000","594,832,000","407,998,000","479,501,000","509,818,000","501,231,000","230,062,000","321,570,000","233,068,000"
	TotalNonCurrentAssets,"27,863,374,000","25,652,519,000","23,509,332,000","19,328,837,000","14,339,279,000","10,863,524,000","10,592,601,000","8,632,782,000","7,502,573,000","6,026,010,000","5,022,871,000","4,077,484,000","4,260,327,000","3,271,628,000","3,265,220,000","3,239,397,000","2,775,984,000","2,306,633,000","2,272,085,000","1,874,290,000","1,422,029,000","1,426,637,000","1,481,719,000"
		NetPPE,"4,167,486,000","4,677,675,000","4,821,624,000","4,728,914,000","1,391,166,000","1,264,020,000","1,140,598,000","956,542,000","801,884,000","793,444,000","779,675,000","779,494,000","785,231,000","659,569,000","701,144,000","800,164,000","808,069,000","727,692,000","693,710,000","643,946,000","650,455,000","716,504,000","822,318,000"
			GrossPPE,"6,742,171,000","7,167,862,000","7,234,073,000","7,042,645,000","3,347,195,000","3,126,118,000","3,052,744,000","2,686,567,000","2,450,852,000","2,546,409,000","2,387,886,000","2,327,750,000","2,425,196,000","2,219,307,000","2,341,017,000","2,425,849,000","2,364,215,000","2,087,670,000","1,962,368,000","1,863,446,000","1,759,601,000","1,569,202,000","1,517,887,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,"374,969,000","332,126,000"
				BuildingsAndImprovements,"0","5,609,000","60,000","61,000","56,000","60,000","3,162,000","2,914,000","2,939,000","3,484,000","3,502,000","3,296,000","3,807,000","3,321,000","4,286,000","4,424,000","621,407,000","534,144,000","462,715,000","440,986,000","3,058,000","10,699,000","75,371,000"
				MachineryFurnitureEquipment,"2,546,319,000","2,597,488,000","2,523,032,000","2,434,516,000","2,118,294,000","2,000,244,000","2,004,992,000","1,782,657,000","1,697,197,000","1,773,311,000","1,686,930,000","1,670,320,000","1,763,402,000","1,637,271,000","1,736,030,000","1,783,584,000","1,742,808,000","1,553,526,000","1,499,653,000","1,422,460,000","1,327,399,000","1,183,534,000","1,110,390,000"
				OtherProperties,"2,637,479,000","3,018,535,000","3,182,519,000","3,183,346,000",,,,,,,,,,,,,,,,,,,
				Leases,"1,558,373,000","1,546,230,000","1,528,462,000","1,424,722,000","1,228,845,000","1,125,814,000","1,044,590,000","900,996,000","750,716,000","769,614,000","697,454,000","654,134,000","657,987,000","578,715,000","600,701,000","637,841,000",,,,"437,780,000","429,144,000",,
			AccumulatedDepreciation,"-2,574,685,000","-2,490,187,000","-2,412,449,000","-2,313,731,000","-1,956,029,000","-1,862,098,000","-1,912,146,000","-1,730,025,000","-1,648,968,000","-1,752,965,000","-1,608,211,000","-1,548,256,000","-1,639,965,000","-1,559,738,000","-1,639,873,000","-1,625,685,000","-1,556,146,000","-1,359,978,000","-1,268,658,000","-1,219,500,000","-1,109,146,000","-852,698,000","-695,569,000"
		GoodwillAndOtherIntangibleAssets,"17,645,960,000","15,064,101,000","11,125,861,000","7,709,820,000","7,046,329,000","6,070,122,000","5,712,734,000","4,119,588,000","3,394,740,000","2,793,774,000","2,144,537,000","1,215,383,000","1,131,991,000","841,234,000","825,152,000","839,957,000","643,728,000","527,648,000","378,488,000","214,482,000","188,659,000","167,603,000",
			Goodwill,"15,573,003,000","13,133,293,000","11,125,861,000","7,709,820,000","6,205,550,000","5,383,012,000","5,002,352,000","3,609,437,000","2,929,833,000","2,395,894,000","1,818,586,000","1,215,383,000","1,131,991,000","841,234,000","825,152,000","839,957,000","643,728,000","527,648,000",,"214,482,000","188,659,000",,
			OtherIntangibleAssets,"2,072,957,000","1,930,808,000","1,710,938,000","1,029,218,000","840,779,000","687,110,000","710,382,000","510,151,000","464,907,000","397,880,000","325,951,000",,,,,,,,"378,488,000","214,482,000","188,659,000","167,603,000",
		InvestmentsAndAdvances,"197,443,000","317,972,000","329,526,000","324,514,000","240,313,000","215,532,000","211,610,000","198,633,000","45,027,000","66,783,000","43,631,000","28,180,000","40,365,000","41,023,000","29,011,000","19,034,000",,,,"340,121,000","33,330,000",,
			LongTermEquityInvestment,"23,985,000","164,164,000","184,157,000",,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"173,458,000","153,808,000","145,369,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"106,994,000","46,844,000","38,334,000","43,257,000","71,002,000","23,036,000","40,938,000","68,145,000","15,501,000","28,039,000","18,447,000","12,151,000","49,192,000","54,310,000","94,496,000","43,627,000",,,,"211,705,000","132,522,000",,
		NonCurrentDeferredAssets,"5,006,850,000","4,809,140,000","4,738,575,000","4,876,314,000","5,030,956,000","2,791,931,000","2,970,772,000","2,810,531,000","2,745,410,000","1,782,010,000","1,573,314,000","1,346,708,000","1,315,873,000","1,050,971,000","1,277,005,000","1,153,799,000","389,858,000","392,211,000","291,033,000","327,045,000","326,286,000","283,969,000","213,617,000"
			NonCurrentDeferredTaxesAssets,"4,154,878,000","4,001,200,000","4,007,130,000","4,153,146,000","4,349,464,000","2,086,807,000","2,214,901,000","2,077,312,000","2,089,928,000","1,152,105,000","1,018,567,000","808,765,000","756,079,000","532,191,000","745,228,000","613,943,000","389,858,000","392,211,000","291,033,000","327,045,000","326,286,000","283,969,000","213,617,000"
		OtherNonCurrentAssets,"738,641,000","736,787,000","2,455,412,000","1,646,018,000","559,513,000","498,883,000","515,949,000","479,343,000","500,011,000","561,960,000","463,267,000","695,568,000","937,675,000","624,521,000","338,412,000","382,816,000","934,329,000","659,082,000","908,854,000","688,817,000","90,777,000","258,561,000","445,784,000"
TotalLiabilitiesNetMinorityInterest,"24,786,712,000","24,516,302,000","23,078,729,000","19,579,420,000","14,962,189,000","13,724,495,000","12,979,690,000","12,419,628,000","11,555,076,000","11,645,115,000","11,439,220,000","12,040,987,000","11,380,638,000","9,560,530,000","8,869,528,000","9,205,850,000","7,943,644,000","6,735,359,000","6,279,479,000","5,600,715,000","4,703,604,000","4,520,926,000","5,371,242,000"
	CurrentLiabilities,"18,009,038,000","17,523,496,000","15,708,867,000","12,662,590,000","11,061,896,000","10,151,751,000","9,824,279,000","8,878,924,000","8,491,006,000","8,158,079,000","8,160,990,000","8,109,205,000","7,906,589,000","6,567,604,000","6,238,959,000","6,847,878,000","6,962,616,000","5,772,703,000","4,931,133,000","4,393,789,000","3,308,323,000","3,327,062,000","4,178,820,000"
