name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
		AmortizationOfSecurities,"-49,363,000","-33,518,000","12,767,000","26,847,000","10,381,000","-6,771,000","-3,360,000","1,452,000","1,493,000","1,471,000","348,000","0",,
		AssetImpairmentCharge,,,,,,,,,"0","0","680,000","0","0",
		ProvisionandWriteOffofAssets,,,,,,,,,,,"860,000","191,000","326,000","1,170,000"
		UnrealizedGainLossOnInvestmentSecurities,,,"-27,479,000","0","-4,164,000","-5,427,000","13,800,000","0","0",,,,,
		StockBasedCompensation,"323,255,000","296,756,000","230,934,000","186,875,000","137,042,000","101,280,000","91,202,000","75,427,000","59,032,000","45,303,000","27,619,000","10,159,000","4,703,000","1,974,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-42,855,000","-37,251,000","-17,436,000","-882,000","-95,000","0"
		OtherNonCashItems,"18,374,000","18,236,000","18,648,000","17,112,000","16,970,000","16,179,000",,,,,"-3,473,000","1,118,000","1,040,000","836,000"
		ChangeInWorkingCapital,"379,889,000","-15,916,000","-912,821,000","-6,876,000","-85,686,000","40,798,000","103,587,000","102,481,000","-68,448,000","80,646,000","34,040,000","-14,420,000","926,000","-22,644,000"
			ChangeInReceivables,"-447,069,000","-101,473,000","-401,531,000","-126,969,000","10,673,000","-60,210,000","-77,916,000","5,773,000","-108,856,000","-47,281,000","-18,984,000","-28,098,000","-22,043,000","-11,596,000"
				ChangesInAccountReceivables,"-447,069,000","-101,473,000","-401,531,000","-126,969,000","10,673,000","-60,210,000","-77,916,000","5,773,000","-108,856,000","-47,281,000","-18,984,000","-28,098,000","-22,043,000","-11,596,000"
			ChangeInInventory,"10,558,000","-655,474,000","-638,948,000","-170,449,000","-235,318,000","20,927,000","51,054,000","-69,708,000","-144,361,000","-14,123,000","-13,425,000","-49,179,000","-7,153,000","-7,733,000"
			ChangeInPrepaidAssets,,,"-85,166,000","-134,814,000","-5,966,000","54,259,000","21,411,000","-11,645,000","-115,074,000","-7,827,000","-15,257,000","2,981,000","-5,009,000","591,000"
			ChangeInPayablesAndAccruedExpense,"-334,043,000","198,612,000","31,436,000","66,681,000","72,506,000","37,952,000","24,439,000","33,352,000","111,957,000","61,453,000","36,298,000","23,974,000","21,316,000","-10,584,000"
				ChangeInPayable,"-176,562,000","198,612,000","31,436,000","66,681,000","69,778,000","21,586,000","39,225,000","-10,183,000","81,328,000","41,055,000","18,384,000","6,006,000","8,756,000","8,365,000"
					ChangeInTaxPayable,"25,944,000",,"44,026,000","6,223,000","28,617,000","23,523,000","-112,000","19,921,000","42,650,000","32,018,000","4,377,000","2,141,000","4,914,000","6,931,000"
						ChangeInIncomeTaxPayable,"25,944,000",,"44,026,000","6,223,000","28,617,000","23,523,000","-112,000","19,921,000","42,650,000","32,018,000","4,377,000","2,141,000","4,914,000","6,931,000"
					ChangeInAccountPayable,"-52,529,000","198,612,000","31,436,000","66,681,000","41,161,000","-1,937,000","39,337,000","-30,104,000","38,678,000","9,037,000","14,007,000","3,865,000","3,842,000","1,434,000"
				ChangeInAccruedExpense,,,"66,586,000","83,524,000","2,728,000","16,366,000","-14,786,000","43,535,000","30,629,000","20,398,000","17,914,000","17,968,000","12,560,000","-18,949,000"
					ChangeInInterestPayable,,,,,,,,,"0","0","-960,000","6,001,000","6,016,000","-19,949,000"
			ChangeInOtherCurrentAssets,"-38,114,000","-66,401,000","-117,465,000","-130,222,000","4,965,000","-8,112,000","-3,389,000","907,000","2,866,000","-3,087,000","-4,261,000","-305,000","-173,000",
			ChangeInOtherCurrentLiabilities,"134,507,000","123,694,000","70,704,000","78,187,000","17,102,000","7,921,000","17,455,000","1,475,000","8,894,000","1,171,000","2,105,000","2,080,000","537,000","541,000"
			ChangeInOtherWorkingCapital,"1,054,050,000","485,126,000","142,983,000","275,896,000","50,352,000","-11,939,000","70,533,000","142,327,000","176,126,000","90,340,000","47,564,000","34,127,000","13,451,000","6,137,000"
InvestingCashFlow,"-1,336,342,000","-687,454,000","216,327,000","-925,562,000","-608,802,000","-284,072,000","-755,113,000","-391,320,000","-325,775,000","184,170,000","-249,362,000","-19,491,000","-12,352,000","-2,770,000"
	CashFlowFromContinuingInvestingActivities,"-1,336,342,000","-687,454,000","216,327,000","-925,562,000","-608,802,000","-284,072,000","-755,113,000","-391,320,000","-325,775,000","184,170,000","-249,362,000","-19,491,000","-12,352,000","-2,770,000"
		NetPPEPurchaseAndSale,"-29,777,000","-34,434,000","-44,644,000","-64,736,000","-15,384,000","-15,751,000","-23,830,000","-15,279,000","-21,419,000","-19,989,000","-13,134,000","-20,316,000","-3,312,000","-2,770,000"
			PurchaseOfPPE,"-29,777,000","-34,434,000","-44,644,000","-64,736,000","-15,384,000","-15,751,000","-23,830,000","-15,279,000","-21,419,000","-19,989,000","-13,134,000","-20,316,000","-3,312,000","-2,770,000"
		NetBusinessPurchaseAndSale,"0","1,799,000","-145,087,000","1,299,000","-224,021,000","26,855,000","-104,821,000","0","-2,500,000",,,,,
			PurchaseOfBusiness,,,"-145,087,000","-19,933,000","-227,420,000","-1,365,000","-104,821,000","0","-2,500,000",,,,,
			SaleOfBusiness,"0","1,799,000",,"1,299,000","3,399,000","28,220,000",,,,,,,,
		NetInvestmentPurchaseAndSale,"-1,306,565,000","-654,819,000","406,058,000","-862,125,000","-369,397,000","-295,176,000","-626,462,000","-379,041,000","-301,856,000","208,200,000","-210,019,000","0","0",
			PurchaseOfInvestment,"-2,964,080,000","-2,610,042,000","-1,431,548,000","-2,337,197,000","-2,688,064,000","-1,503,893,000","-1,174,259,000","-585,373,000","-439,711,000","0","-210,019,000","0","0",
			SaleOfInvestment,"1,657,515,000","1,955,223,000","1,837,606,000","1,475,072,000","2,318,667,000","1,208,717,000","547,797,000","206,332,000","137,855,000","208,200,000","0","0",,
		NetOtherInvestingChanges,,,,"1,299,000",,,,"3,000,000","-2,704,000","-4,041,000","-26,209,000","825,000","-9,040,000",
FinancingCashFlow,"-222,262,000","-83,749,000","-654,601,000","-360,882,000","-346,339,000","-217,964,000","42,851,000","51,469,000","32,745,000","25,854,000","243,978,000","9,886,000","3,977,000","46,505,000"
	CashFlowFromContinuingFinancingActivities,"-222,262,000","-83,749,000","-654,601,000","-360,882,000","-346,339,000","-217,964,000","42,851,000","51,469,000","32,745,000","25,854,000","243,978,000","9,886,000","3,977,000","46,505,000"
		NetIssuancePaymentsOfDebt,,,,,"0","0","-1,929,000","-1,617,000","-1,336,000","-1,086,000","-20,793,000","0","0","40,242,000"
			NetLongTermDebtIssuance,,,,,"0","0","-1,929,000","-1,617,000","-1,336,000","-1,086,000","-20,793,000","0","0","40,242,000"
				LongTermDebtIssuance,,,,,,,,,,,,"0",,"95,797,000"
				LongTermDebtPayments,,,,,"0","0","-1,929,000","-1,617,000","-1,336,000","-1,086,000","-20,793,000","0","0","-55,555,000"
		NetCommonStockIssuance,"-234,666,000","-112,279,000","-670,287,000","-411,645,000","-395,173,000","-266,142,000","0","0","0","-261,000","239,315,000","0","0","4,203,000"
			CommonStockIssuance,,,,,,,,,"0",,"239,315,000","0","0","4,203,000"
			CommonStockPayments,"-234,666,000","-112,279,000","-670,287,000","-411,645,000","-395,173,000","-266,142,000","0","0",,"-261,000",,,,
		ProceedsFromStockOptionExercised,"66,200,000","62,093,000","48,411,000","67,245,000","57,556,000","57,378,000","53,658,000","57,111,000","35,181,000","27,201,000","8,020,000","9,004,000","3,882,000","2,060,000"
		NetOtherFinancingCharges,"-53,796,000","-33,563,000","-32,725,000","-16,482,000","-8,722,000","-9,200,000","-8,878,000","-4,025,000","-1,100,000","37,251,000","17,436,000","882,000","95,000",
EndCashPosition,"2,432,345,000","1,939,464,000","675,978,000","625,050,000","897,454,000","1,115,515,000","654,164,000","864,697,000","572,168,000","687,326,000","240,031,000","113,664,000","88,655,000","70,725,000"
	ChangesInCash,"1,169,653,000","1,262,811,000","54,539,000","-270,588,000","-220,027,000","460,998,000","-209,143,000","291,776,000","-118,735,000","447,808,000","126,491,000","25,043,000","17,931,000","56,165,000"
	EffectOfExchangeRateChanges,"-2,446,000","675,000","-3,611,000","-1,816,000","1,966,000","353,000","-1,390,000","753,000","-464,000","-513,000","-124,000","-34,000","-1,000","-18,000"
	BeginningCashPosition,"1,262,692,000","675,978,000","625,050,000","897,454,000","1,115,515,000","654,164,000","864,697,000","572,168,000","691,367,000","240,031,000","113,664,000","88,655,000","70,725,000","14,578,000"
IncomeTaxPaidSupplementalData,,"686,155,000","427,846,000","189,774,000","82,601,000","32,832,000","17,573,000","44,216,000","39,638,000","6,591,000","44,770,000","16,806,000","-15,114,000","520,000"
InterestPaidSupplementalData,,,,,"0","0","2,692,000","2,814,000","2,916,000","2,999,000","6,448,000","0","0","25,530,000"
CapitalExpenditure,"-29,777,000","-34,434,000","-44,644,000","-64,736,000","-15,384,000","-15,751,000","-23,830,000","-15,279,000","-21,419,000","-19,989,000","-13,134,000","-20,316,000","-3,312,000","-2,770,000"
IssuanceOfCapitalStock,,,,,,,,,"0",,"239,315,000","0","0","4,203,000"
IssuanceOfDebt,,,,,,,,,,,,"0",,"95,797,000"
RepaymentOfDebt,,,,,"0","0","-1,929,000","-1,617,000","-1,336,000","-1,086,000","-20,793,000","0","0","-55,555,000"
RepurchaseOfCapitalStock,"-234,666,000","-112,279,000","-670,287,000","-411,645,000","-395,173,000","-266,142,000","0","0",,"-261,000",,,,
FreeCashFlow,"2,698,480,000","1,999,580,000","448,169,000","951,120,000","719,730,000","947,283,000","479,289,000","616,348,000","152,876,000","217,795,000","118,741,000","14,332,000","22,994,000","9,660,000"
