name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
		AdditionalPaidInCapital,,,,,,,,,,,"9,874,000,000","11,956,000,000","10,394,000,000","6,856,000,000","8,493,000,000","7,511,000,000","7,057,000,000","7,242,000,000","6,753,000,000","6,940,000,000","6,325,000,000","4,918,000,000","4,791,559,000","4,653,818,000","2,587,900,000","957,589,000","906,373,000",,,,,,,
		RetainedEarnings,"20,733,000,000","17,840,000,000","9,822,000,000","5,284,000,000","4,466,000,000","542,000,000","30,088,000,000","30,936,000,000","31,226,000,000","30,799,000,000","25,461,000,000","20,701,000,000","16,204,000,000","13,305,000,000","11,235,000,000","10,717,000,000","8,541,000,000","6,100,000,000","4,328,000,000","2,709,000,000","1,297,000,000","605,000,000","244,947,000","871,090,000","200,900,000",,"117,798,000","25,900,000","4,800,000","-25,300,000","-40,500,000","-52,600,000","-48,500,000","-40,100,000"
		GainsLossesNotAffectingRetainedEarnings,"358,000,000","-22,000,000","128,000,000","207,000,000","100,000,000","265,000,000","384,000,000","428,000,000","195,000,000","634,000,000","753,000,000","866,000,000","353,000,000","697,000,000","588,000,000","-284,000,000","237,000,000","64,000,000","38,000,000","15,000,000","-24,000,000","-131,000,000","-224,167,000","-8,655,000","82,900,000",,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,"-15,000,000","-3,000,000","-23,000,000",,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"358,000,000","-22,000,000","128,000,000","207,000,000","100,000,000","265,000,000","384,000,000","428,000,000","195,000,000","634,000,000","753,000,000","866,000,000","353,000,000","697,000,000","588,000,000","-269,000,000","240,000,000","87,000,000",,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,"1,000,000",,,,"100,000",,,"819,000,000","794,800,000","287,500,000","277,200,000","121,400,000","51,100,000","49,200,000"
	MinorityInterest,,,,,,,"0","-10,000,000","-7,000,000","-3,000,000","-1,000,000","22,000,000","21,000,000","0",,,,,,,"50,000","45,000,000","5,887,000","46,643,000","711,200,000","698,500,000","660,000,000",,,,,,,
TotalCapitalization,"36,065,000,000","31,550,000,000","23,651,000,000","21,303,000,000","18,346,000,000","16,172,000,000","50,144,000,000","41,786,000,000","41,390,000,000","39,169,000,000","36,088,000,000","33,523,000,000","26,951,000,000","20,858,000,000","20,316,000,000","17,944,000,000","15,835,000,000","13,406,000,000","11,119,000,000","9,664,000,000","7,722,000,000","5,486,000,000","4,812,415,000","5,516,328,000","2,872,600,000","961,500,000","1,031,907,000","855,800,000","833,100,000","285,900,000","261,600,000","74,300,000","16,200,000","16,500,000"
CommonStockEquity,"21,581,000,000","18,013,000,000","9,950,000,000","6,077,000,000","4,909,000,000","807,000,000","30,746,000,000","31,778,000,000","31,421,000,000","39,169,000,000","36,088,000,000","33,523,000,000","26,951,000,000","20,858,000,000","20,316,000,000","17,944,000,000","15,835,000,000","13,406,000,000","11,119,000,000","9,664,000,000","7,599,000,000","5,392,000,000","4,812,415,000","5,516,328,000","2,871,800,000","957,600,000","1,024,178,000","844,900,000","799,600,000","262,200,000","236,700,000","68,800,000","2,600,000","9,100,000"
NetTangibleAssets,"9,531,000,000","5,623,000,000","1,246,000,000","-1,899,000,000","-3,545,000,000","-8,646,000,000","20,386,000,000","22,599,000,000","22,200,000,000","32,101,000,000","29,559,000,000","26,668,000,000","20,420,000,000","16,348,000,000","15,759,000,000","13,323,000,000","14,510,000,000","12,176,000,000","10,548,000,000","9,308,000,000","7,253,000,000","5,047,000,000","4,227,369,000","4,694,494,000","2,871,800,000","936,600,000","1,024,178,000","844,900,000","799,600,000","262,200,000","236,700,000","68,800,000","2,600,000","9,100,000"
WorkingCapital,"12,836,000,000","8,858,000,000","8,124,000,000","9,847,000,000","7,830,000,000","5,995,000,000","32,686,000,000","15,670,000,000","15,999,000,000","16,400,000,000","14,342,000,000","10,343,000,000","9,004,000,000","6,665,000,000","9,757,000,000","9,432,000,000","6,563,000,000","5,627,000,000","6,721,000,000","6,333,000,000","5,141,000,000","3,266,000,000","2,533,769,000","2,257,687,000","2,101,800,000","655,600,000","982,117,000","425,200,000","599,600,000","151,400,000","200,600,000","56,600,000","-2,100,000","3,600,000"
InvestedCapital,"36,979,000,000","33,495,000,000","25,695,000,000","21,803,000,000","20,842,000,000","17,177,000,000","52,639,000,000","43,535,000,000","42,390,000,000","39,169,000,000","36,088,000,000","33,523,000,000","27,945,000,000","21,944,000,000","20,316,000,000","18,117,000,000","15,835,000,000","13,406,000,000","11,119,000,000","9,664,000,000","7,825,000,000","5,486,000,000","4,812,415,000","5,516,328,000","2,987,700,000","1,115,600,000","1,145,145,000","938,700,000","834,100,000","289,600,000","267,200,000","78,900,000","20,100,000","19,100,000"
TangibleBookValue,"9,531,000,000","5,623,000,000","1,246,000,000","-1,899,000,000","-3,545,000,000","-8,646,000,000","20,386,000,000","22,599,000,000","22,200,000,000","32,101,000,000","29,559,000,000","26,668,000,000","20,420,000,000","16,348,000,000","15,759,000,000","13,323,000,000","14,510,000,000","12,176,000,000","10,548,000,000","9,308,000,000","7,253,000,000","5,047,000,000","4,227,369,000","4,694,494,000","2,871,800,000","936,600,000","1,024,178,000","844,900,000","799,600,000","262,200,000","236,700,000","68,800,000","2,600,000","9,100,000"
TotalDebt,"15,398,000,000","15,482,000,000","15,745,000,000","15,726,000,000","15,933,000,000","16,370,000,000","21,893,000,000","11,757,000,000","10,969,000,000",,,,"994,000,000","1,086,000,000",,"173,000,000",,,,,"226,000,000","94,000,000",,,"115,900,000","158,000,000","120,967,000","93,800,000","34,500,000","27,400,000","30,500,000","10,100,000","17,500,000","10,000,000"
NetDebt,"6,948,000,000","12,709,000,000","8,629,000,000","9,019,000,000","4,094,000,000","4,593,000,000",,"5,811,000,000","3,409,000,000",,,,,,,,,,,,,,,,,,,,,,,,"17,400,000","6,200,000"
ShareIssued,"1,114,000,000","1,121,000,000","1,125,000,000","1,131,000,000","1,145,000,000","1,219,000,000","1,474,000,000","1,476,000,000","1,524,000,000","1,669,000,000","1,685,000,000","1,706,000,000","1,681,000,000","1,612,000,000","1,669,000,000","1,656,000,000","1,636,486,963","1,652,000,000","1,640,000,000","1,635,000,000","1,596,706,000","1,557,098,000","1,526,578,000","1,495,302,000","1,292,728,000","1,129,456,000","1,089,984,000","1,064,560,000","1,035,088,000","823,776,000","804,288,000","668,352,000","650,640,000","650,640,000"
OrdinarySharesNumber,"1,114,000,000","1,121,000,000","1,125,000,000","1,131,000,000","1,145,000,000","1,219,000,000","1,474,000,000","1,476,000,000","1,524,000,000","1,669,000,000","1,685,000,000","1,706,000,000","1,681,000,000","1,612,000,000","1,669,000,000","1,656,000,000","1,636,486,963","1,652,000,000","1,640,000,000","1,635,000,000","1,596,706,000","1,557,098,000","1,526,578,000","1,495,302,000","1,292,728,000","1,129,456,000","1,089,984,000","1,064,560,000","1,035,088,000","823,776,000","804,288,000","668,352,000","650,640,000","650,640,000"
