name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
				ChangeInPayable,"-1,125,000","-1,125,000","-1,686,000","-3,771,000","7,417,000","-1,596,000","3,171,000","-563,000"
					ChangeInAccountPayable,"-1,125,000","-1,125,000","-1,686,000","-3,771,000","7,417,000","-1,596,000","3,171,000","-563,000"
				ChangeInAccruedExpense,"20,992,000","20,992,000","34,465,000","7,460,000","22,980,000","9,755,000","4,336,000","1,642,000"
			ChangeInOtherCurrentAssets,"7,528,000","7,528,000","320,000","5,105,000","-12,525,000","-4,928,000","-995,000","-2,828,000"
			ChangeInOtherCurrentLiabilities,"-24,419,000","-24,419,000","-13,400,000","-14,626,000","8,987,000","12,991,000","302,000","35,000"
			ChangeInOtherWorkingCapital,"-5,564,000","-5,564,000","-7,343,000","5,599,000","6,854,000","3,258,000","47,000","771,000"
InvestingCashFlow,"-409,374,000","-409,374,000","259,285,000","-1,127,302,000","-1,426,890,000","-249,487,000","-96,106,000","-417,822,000"
	CashFlowFromContinuingInvestingActivities,"-409,374,000","-409,374,000","259,285,000","-1,127,302,000","-1,426,890,000","-249,487,000","-96,106,000","-417,822,000"
		CapitalExpenditureReported,"-19,917,000","-19,917,000","-23,614,000","-10,259,000","-2,304,000","-639,000","-1,556,000","-733,000"
		NetPPEPurchaseAndSale,"-976,000","-976,000","-7,589,000","-5,377,000","-18,902,000","-11,437,000","-2,743,000","-1,313,000"
			PurchaseOfPPE,"-976,000","-976,000","-7,589,000","-5,377,000","-18,902,000","-11,437,000","-2,743,000","-1,313,000"
		NetIntangiblesPurchaseAndSale,,,,,,"-639,000","-1,556,000","-733,000"
			PurchaseOfIntangibles,,,,,,"-639,000","-1,556,000","-733,000"
		NetBusinessPurchaseAndSale,"0","0","-28,902,000","-144,349,000","-556,090,000","0","0",
			PurchaseOfBusiness,"0","0","-28,902,000","-144,349,000","-556,090,000","0","0",
		NetInvestmentPurchaseAndSale,"-202,495,000","-202,495,000","550,399,000","-843,479,000","-823,099,000","-236,452,000","-81,604,000","-419,462,000"
			PurchaseOfInvestment,"-3,042,313,000","-3,042,313,000","-2,749,641,000","-2,801,697,000","-2,070,296,000","-1,088,611,000","-830,622,000","-726,788,000"
			SaleOfInvestment,"2,839,818,000","2,839,818,000","3,300,040,000","1,958,218,000","1,247,197,000","852,159,000","749,018,000","307,326,000"
		InterestReceivedCFI,"0","0","2,080,000","6,699,000","0","0",,
		NetOtherInvestingChanges,"-185,986,000","-185,986,000","-233,089,000","-130,537,000","-26,495,000","-959,000","-10,203,000","3,686,000"
FinancingCashFlow,"-742,599,000","-742,599,000","235,110,000","2,878,566,000","1,639,583,000","863,126,000","491,655,000","326,282,000"
	CashFlowFromContinuingFinancingActivities,"-742,599,000","-742,599,000","235,110,000","2,878,566,000","1,639,583,000","863,126,000","491,655,000","326,282,000"
		NetIssuancePaymentsOfDebt,"-888,187,000","-888,187,000","60,000,000","557,575,000","1,127,079,000","2,300,000","-9,500,000","6,113,000"
			NetLongTermDebtIssuance,"-933,187,000","-933,187,000","0","560,075,000","1,129,379,000","0","0","-3,387,000"
				LongTermDebtIssuance,"0","0","0","560,075,000","1,129,379,000","0","0","9,500,000"
				LongTermDebtPayments,"-933,187,000","-933,187,000","0","0",,"0","-9,500,000","-3,387,000"
			NetShortTermDebtIssuance,"45,000,000","45,000,000","60,000,000","-2,500,000","-2,300,000","2,300,000","-9,500,000","9,500,000"
				ShortTermDebtIssuance,"45,000,000","45,000,000","60,000,000","37,500,000","0","2,300,000","0","9,500,000"
				ShortTermDebtPayments,"0","0","0","-40,000,000","-2,300,000","0","-9,500,000",
		NetCommonStockIssuance,"-211,902,000","-211,902,000","-87,615,000","1,341,122,000","0","533,657,000","0","0"
			CommonStockIssuance,"0","0","0","1,341,122,000","0","533,657,000","0","0"
			CommonStockPayments,"-211,902,000","-211,902,000","-87,615,000","0","0",,,
		NetPreferredStockIssuance,"15,359,000",,,,"0","0","85,160,000","55,805,000"
			PreferredStockIssuance,"15,359,000",,,,"0","0","85,160,000","55,805,000"
		ProceedsFromStockOptionExercised,"24,609,000","24,609,000","31,751,000","46,873,000","37,073,000","12,232,000","1,702,000","693,000"
		NetOtherFinancingCharges,"332,881,000","332,881,000","230,974,000","932,996,000","475,431,000","314,937,000","414,293,000","263,671,000"
EndCashPosition,"3,351,398,000","3,351,398,000","4,224,840,000","3,542,715,000","1,809,693,000","1,592,377,000","983,168,000","591,568,000"
	ChangesInCash,"-873,202,000","-873,202,000","682,163,000","1,733,171,000","217,316,000","609,209,000","391,600,000","-99,896,000"
	EffectOfExchangeRateChanges,"-240,000","-240,000","-38,000","-149,000","0","0",,
	BeginningCashPosition,"4,224,840,000","4,224,840,000","3,542,715,000","1,809,693,000","1,592,377,000","983,168,000","591,568,000","691,464,000"
IncomeTaxPaidSupplementalData,"5,628,000","5,628,000","13,810,000","0",,,,
InterestPaidSupplementalData,"12,611,000","12,611,000","7,440,000","4,867,000","112,000","174,000","872,000","436,000"
CapitalExpenditure,"-20,893,000","-20,893,000","-31,203,000","-15,636,000","-21,206,000","-12,076,000","-4,299,000","-2,046,000"
IssuanceOfCapitalStock,"0","0","0","1,341,122,000","0","533,657,000","85,160,000","55,805,000"
IssuanceOfDebt,"45,000,000","45,000,000","60,000,000","597,575,000","1,129,379,000","2,300,000","0","9,500,000"
RepaymentOfDebt,"-933,187,000","-933,187,000","0","-40,000,000","-2,300,000","0","-9,500,000","-3,387,000"
RepurchaseOfCapitalStock,"-211,902,000","-211,902,000","-87,615,000","0","0",,,
FreeCashFlow,"257,878,000","257,878,000","156,565,000","-33,729,000","-16,583,000","-16,506,000","-8,248,000","-10,402,000"
