name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalOperatingIncomeAsReported,"1,447,000,000","1,241,100,000","969,600,000","650,400,000","531,800,000","351,000,000","234,400,000","109,800,000","42,900,000","14,877,000","59,324,000","72,090,000","100,475,000","88,904,000","55,341,000","25,334,000","4,927,000","-21,577,000","-5,997,000"
TotalExpenses,"4,090,300,000","4,068,300,000","3,452,400,000","2,696,400,000","2,102,800,000","1,812,000,000","1,570,200,000","1,384,800,000","1,228,500,000","986,791,000","711,040,000","543,207,000","433,164,000","344,672,000","269,355,000","226,781,000","206,864,000","176,943,000","129,463,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,312,900,000","1,147,800,000","857,300,000","606,800,000","488,500,000","331,700,000","334,900,000","31,400,000","32,200,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000","-5,344,000"
NormalizedIncome,"1,312,900,000","1,143,706,000","852,838,000","602,292,000","452,320,000","331,700,000","334,900,000","31,580,000","35,200,000","12,547,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,050,300","6,001,987.137","-21,842,000","-5,344,000"
InterestIncome,"138,000,000","119,700,000","17,400,000","4,500,000","17,700,000","42,500,000","26,500,000","13,500,000","7,300,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000","2,376,000"
InterestExpense,"20,900,000","21,000,000","18,000,000","14,900,000","0","0",,,,,,,,,,,,,
NetInterestIncome,"117,100,000","98,700,000","-600,000","-10,400,000","17,700,000","42,500,000","26,500,000","13,500,000","7,300,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000","2,376,000"
EBIT,"1,578,000,000","1,354,700,000","973,500,000","643,300,000","541,700,000","386,000,000","234,400,000","110,100,000","46,900,000","22,477,000","59,324,000","72,090,000","100,475,000","88,904,000","55,341,000","25,334,000","4,927,000","-21,577,000","-5,997,000"
EBITDA,"1,694,300,000","1,468,100,000","1,077,800,000","727,700,000","610,500,000","447,600,000","290,100,000","165,600,000","95,400,000","54,066,000","81,352,000","87,713,000","112,039,000","95,893,000","61,037,000","31,269,000","9,161,000","-17,424,000","-2,488,000"
ReconciledCostOfRevenue,"1,213,300,000","1,237,200,000","1,084,900,000","783,000,000","570,000,000","505,900,000","450,400,000","385,300,000","337,800,000","286,777,000","231,009,000","180,643,000","147,420,000","113,598,000","85,206,000","69,975,000","65,472,000","56,652,000","40,964,000"
ReconciledDepreciation,"116,300,000","113,400,000","104,300,000","84,400,000","68,800,000","61,600,000","55,700,000","55,500,000","48,500,000","31,589,000","22,028,000","15,623,000","11,564,000","6,989,000","5,696,000","5,935,000","4,234,000","4,153,000","3,509,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,312,900,000","1,147,800,000","857,300,000","606,800,000","488,500,000","331,700,000","334,900,000","31,400,000","32,200,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000","-5,344,000"
TotalUnusualItemsExcludingGoodwill,,"4,600,000","4,600,000","4,600,000","40,200,000","0","0","-300,000","-4,000,000","-7,600,000","0","0",,"-354,000","-815,000","198,000","1,710,000","-1,991,000",
TotalUnusualItems,,"4,600,000","4,600,000","4,600,000","40,200,000","0","0","-300,000","-4,000,000","-7,600,000","0","0",,"-354,000","-815,000","198,000","1,710,000","-1,991,000",
NormalizedEBITDA,"1,694,300,000","1,463,500,000","1,073,200,000","723,100,000","570,300,000","447,600,000","290,100,000","165,900,000","99,400,000","61,666,000","81,352,000","87,713,000","112,039,000","95,893,000","61,037,000","31,071,000","7,451,000","-17,424,000","-2,488,000"
TaxRateForCalcs,"0.135","0.11","0.03","0.02","0.1","0.14","0.27","0.4","0.25","0.4","0.35","0.35","0.36","0.32","0.27","0.35","0.204","0.35","0.4"
TaxEffectOfUnusualItems,"0","506,000","138,000","92,000","4,020,000","0","0","-120,000","-1,000,000","-3,040,000","0","0","0","0","0","69,300","348,987.137","0","0"
