name,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
				LineOfCredit,,"135,046,000","75,097,000",,"2,300,000","0",
				OtherCurrentBorrowings,,"135,046,000","75,097,000",,,,"3,667,000"
			CurrentCapitalLeaseObligation,,,,,"1,107,000","494,000","193,000"
		CurrentDeferredLiabilities,"3,721,913,000","3,382,237,000","3,174,528,000","2,221,446,000","1,650,141,000","1,333,269,000","918,483,000"
			CurrentDeferredRevenue,"3,721,913,000","3,382,237,000","3,174,528,000","2,221,446,000","1,650,141,000","1,332,775,000","918,290,000"
		OtherCurrentLiabilities,,,,,"3,112,000","3,079,000","1,866,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"981,588,000","1,796,613,000","1,803,675,000","1,113,924,000","16,449,000","279,540,000","200,609,000"
		LongTermDebtAndCapitalLeaseObligation,"976,847,000","1,777,259,000","1,780,713,000","1,076,020,000","0",,"5,833,000"
			LongTermDebt,"914,000,000","1,704,782,000","1,697,985,000","989,381,000",,,"5,833,000"
			LongTermCapitalLeaseObligation,"62,847,000","72,477,000","82,728,000","86,639,000","0",,
		NonCurrentDeferredLiabilities,"4,167,000","410,000","2,159,000","2,926,000","2,622,000","1,786,000","1,931,000"
			NonCurrentDeferredTaxesLiabilities,,,,"9,090,000","0",,
			NonCurrentDeferredRevenue,"4,167,000","410,000","2,159,000","2,926,000","2,622,000","1,786,000","1,931,000"
		PreferredSecuritiesOutsideStockEquity,,,,,"0","276,307,000","191,147,000"
		OtherNonCurrentLiabilities,"574,000","18,944,000","20,803,000","34,978,000","13,827,000","1,447,000","1,698,000"
TotalEquityGrossMinorityInterest,"4,134,201,000","4,085,969,000","4,043,694,000","2,529,590,000","710,719,000","-102,657,000","-101,904,000"
	StockholdersEquity,"4,134,201,000","4,085,969,000","4,043,694,000","2,529,590,000","710,719,000","-102,657,000","-101,904,000"
		CapitalStock,"2,000","2,000","2,000","2,000","2,000","1,000","1,000"
			PreferredStock,"0","0","0","0","0","0",
			CommonStock,"2,000","2,000","2,000","2,000","2,000","1,000","1,000"
		AdditionalPaidInCapital,"5,233,037,000","4,946,623,000","4,598,737,000","2,777,155,000","857,044,000","14,672,000","8,614,000"
		RetainedEarnings,"-1,096,948,000","-856,168,000","-544,828,000","-247,467,000","-148,747,000","-117,656,000","-110,342,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,890,000","-4,488,000","-10,217,000","-100,000","2,420,000","326,000","-177,000"
			OtherEquityAdjustments,"-1,890,000","-4,488,000","-10,217,000","-100,000","2,420,000","326,000","-177,000"
TotalCapitalization,"5,048,201,000","5,790,751,000","5,741,679,000","3,518,971,000","710,719,000","-102,657,000","-96,071,000"
CommonStockEquity,"4,134,201,000","4,085,969,000","4,043,694,000","2,529,590,000","710,719,000","-102,657,000","-101,904,000"
CapitalLeaseObligations,"62,847,000","72,477,000","82,728,000","86,639,000","0","494,000","193,000"
NetTangibleAssets,"1,456,221,000","1,328,033,000","1,248,218,000","340,206,000","710,719,000","-102,657,000","-101,904,000"
WorkingCapital,"2,251,793,000","2,919,728,000","2,870,733,000","1,280,378,000","702,602,000","163,685,000","88,131,000"
InvestedCapital,"5,048,201,000","5,925,797,000","5,816,776,000","3,518,971,000","710,719,000","-102,657,000","-92,404,000"
TangibleBookValue,"1,456,221,000","1,328,033,000","1,248,218,000","340,206,000","710,719,000","-102,657,000","-101,904,000"
TotalDebt,"976,847,000","1,912,305,000","1,855,810,000","1,076,020,000","0","494,000","9,500,000"
NetDebt,,"222,677,000","176,540,000","479,766,000",,,
ShareIssued,"106,645,577","106,550,000","104,731,000","94,503,565","79,635,000","69,554,392","69,554,392"
OrdinarySharesNumber,"106,645,577","106,550,000","104,731,000","94,503,565","79,635,000","69,554,392","69,554,392"
