name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
			NotesReceivable,,,,,,,,,,,"4,000,000","1,000,000"
		Inventory,"1,945,180,000","1,289,706,000","650,117,000","479,668,000","243,825,000","264,557,000","306,198,000","236,490,000","92,129,000","78,006,000","67,094,000","24,181,000"
			RawMaterials,"930,777,000","759,519,000","316,737,000","219,218,000","96,712,000","76,795,000","69,673,000","99,190,000","29,831,000","17,094,000","18,286,000","6,501,000"
			FinishedGoods,"1,014,403,000","530,187,000","333,380,000","260,450,000","147,113,000","187,762,000","236,525,000","137,300,000","62,298,000","60,912,000","48,808,000","17,680,000"
		PrepaidAssets,"412,518,000","314,217,000","64,842,000","34,366,000","46,992,000","66,591,000","81,115,000","89,544,000","21,340,000","31,270,000","2,516,000","7,125,000"
		CurrentDeferredAssets,,,,,,,,,,"12,252,000","12,356,000","6,309,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,"12,252,000","12,356,000","6,309,000"
		OtherCurrentAssets,,"124,357,000","172,893,000","60,556,000","64,464,000","95,730,000","96,215,000","79,140,000","29,270,000","11,512,000","5,137,000",
	TotalNonCurrentAssets,"1,556,571,000","1,224,662,000","921,753,000","901,921,000","713,654,000","367,181,000","194,431,000","202,881,000","185,562,000","131,544,000","81,754,000","42,996,000"
		NetPPE,"101,580,000","95,009,000","143,816,000","109,519,000","127,043,000","75,355,000","74,279,000","76,961,000","79,706,000","71,558,000","67,204,000","30,546,000"
			GrossPPE,"289,658,000","251,856,000","276,839,000","224,700,000","224,419,000","165,367,000","143,299,000","126,093,000","110,045,000","88,516,000","74,390,000","35,428,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"44,645,000","41,500,000","40,145,000",,,,,,,,,
				BuildingsAndImprovements,,,,,"0","35,154,000","35,154,000","35,154,000","35,154,000","35,154,000","35,154,000","0"
				MachineryFurnitureEquipment,"206,187,000","178,130,000","138,632,000","114,523,000","105,149,000","90,175,000","72,855,000","61,020,000","44,111,000","27,410,000","18,773,000","8,039,000"
				OtherProperties,,"175,797,000","65,182,000","77,288,000","87,770,000","55,912,000","47,711,000","40,721,000","29,101,000","18,265,000","13,733,000","6,066,000"
				ConstructionInProgress,"4,242,000","2,124,000","2,378,000","1,441,000","265,000","3,591,000","4,742,000","421,000","6,408,000","6,532,000","1,056,000","25,252,000"
				Leases,"34,584,000","30,102,000","30,502,000","31,448,000","31,235,000","36,447,000","30,548,000","29,498,000","24,372,000","19,420,000","19,407,000","2,137,000"
			AccumulatedDepreciation,"-188,078,000","-156,847,000","-133,023,000","-115,181,000","-97,376,000","-90,012,000","-69,020,000","-49,132,000","-30,339,000","-16,958,000","-7,186,000","-4,882,000"
		GoodwillAndOtherIntangibleAssets,"357,299,000","388,129,000","281,952,000","312,486,000","100,090,000","112,294,000","0",,,,,
			Goodwill,"268,531,000","265,924,000","188,397,000","189,696,000","54,855,000","53,684,000","0",,,,,
			OtherIntangibleAssets,"88,768,000","122,205,000","93,555,000","122,790,000","45,235,000","58,610,000",,,,,,
		InvestmentsAndAdvances,,"39,468,000","20,247,000","8,314,000","4,150,000","30,336,000","36,136,000","36,136,000","36,636,000","36,636,000","0",
			InvestmentinFinancialAssets,,,,,,"30,336,000","36,136,000","36,136,000","36,636,000","36,636,000","0",
				AvailableForSaleSecurities,,,,,,"30,336,000","36,136,000","36,136,000","36,636,000","36,636,000",,
		NonCurrentNoteReceivables,,,,,,,,,,,"0","4,000,000"
		NonCurrentDeferredAssets,"945,792,000","574,912,000","442,295,000","441,531,000","452,025,000","126,492,000","65,125,000","70,960,000","48,429,000","11,510,000","4,541,000","1,679,000"
			NonCurrentDeferredTaxesAssets,"945,792,000","574,912,000","442,295,000","441,531,000","452,025,000","126,492,000","65,125,000","70,960,000","48,429,000","11,510,000","4,541,000","1,679,000"
		NonCurrentPrepaidAssets,,,,,,,,,,,"3,212,000","2,731,000"
